

CACHE_LINE_WIDTH: 512 bits, SET_COUNT: 4, ASSOCIATIVITY: 4-way
Test                          | Branch Acc |       CPI |  Pipe CPI |   I$ Hit |   D$ Hit
rv-arch-test-remw             |      7.35% |  181.2709 |    1.1160 |   94.37% |   90.67%
rv-arch-test-sb-align         |      0.00% |  177.7142 |    1.0112 |   93.97% |   89.02%
rv-arch-test-sd-align         |      0.00% |  179.3644 |    1.0114 |   93.93% |   88.96%
rv-arch-test-sh-align         |      0.00% |  177.9190 |    1.0113 |   93.98% |   91.35%
rv-arch-test-sll              |     64.15% |  184.0432 |    1.0770 |   94.18% |   88.89%
rv-arch-test-slli             |     75.80% |  185.5825 |    1.0588 |   94.09% |   89.13%
rv-arch-test-slliw            |     91.03% |  189.8195 |    1.0257 |   93.97% |   89.42%
rv-arch-test-sllw             |     76.73% |  189.0576 |    1.0568 |   94.07% |   89.34%
rv-arch-test-slt              |      9.09% |  182.3569 |    1.1280 |   94.39% |   89.80%
rv-arch-test-slti             |     13.80% |  204.3538 |    1.1834 |   94.48% |   89.73%
rv-arch-test-sltiu            |     12.94% |  206.9987 |    1.1916 |   94.50% |   89.54%
rv-arch-test-sltu             |      8.36% |  184.4491 |    1.1333 |   94.40% |   89.86%
rv-arch-test-sra              |     68.12% |  184.7640 |    1.0711 |   94.16% |   88.71%
rv-arch-test-srai             |     78.48% |  189.6995 |    1.0539 |   94.08% |   89.18%
rv-arch-test-sraiw            |     88.61% |  192.3976 |    1.0320 |   94.01% |   88.95%
rv-arch-test-sraw             |     76.25% |  189.3717 |    1.0579 |   94.06% |   89.06%
rv-arch-test-srl              |     60.38% |  183.8476 |    1.0830 |   94.15% |   88.89%
rv-arch-test-srli             |     71.70% |  187.7737 |    1.0665 |   94.12% |   89.01%
rv-arch-test-srliw            |     86.08% |  191.2832 |    1.0374 |   94.01% |   88.83%
rv-arch-test-srlw             |     73.12% |  186.7229 |    1.0629 |   94.11% |   89.06%
rv-arch-test-sub              |      7.40% |  172.1086 |    1.1003 |   94.34% |   89.81%
rv-arch-test-subw             |      8.48% |  180.0443 |    1.1227 |   94.39% |   90.17%
rv-arch-test-sw-align         |      0.00% |  178.9283 |    1.0114 |   93.94% |   89.22%
rv-arch-test-xor              |      7.64% |  172.2390 |    1.1004 |   94.34% |   89.86%
rv-arch-test-xori             |      9.37% |  186.8411 |    1.1404 |   94.40% |   89.73%
rv-tests-add                  |     59.42% |  113.3720 |    1.1290 |   95.62% |      N/A
rv-tests-addi                 |     65.79% |  136.3750 |    1.1250 |   94.74% |      N/A
rv-tests-addiw                |     65.79% |  138.0886 |    1.1266 |   94.66% |      N/A
rv-tests-addw                 |     59.42% |  114.5935 |    1.1304 |   95.58% |      N/A
rv-tests-and                  |     50.00% |  105.6759 |    1.1148 |   95.85% |      N/A
rv-tests-andi                 |     51.85% |  124.0948 |    1.1422 |   95.24% |      N/A
rv-tests-auipc                |     33.33% |  245.7547 |    1.2264 |   91.43% |      N/A
rv-tests-beq                  |     46.58% |  122.5350 |    1.2867 |   95.80% |      N/A
rv-tests-bge                  |     40.24% |  122.7862 |    1.3355 |   95.92% |      N/A
rv-tests-bgeu                 |     45.12% |  111.7614 |    1.2386 |   96.03% |      N/A
rv-tests-blt                  |     46.58% |  122.5350 |    1.2867 |   95.80% |      N/A
rv-tests-bltu                 |     54.79% |  112.4812 |    1.1882 |   95.86% |      N/A
rv-tests-bne                  |     43.84% |  122.5490 |    1.3007 |   95.84% |      N/A
rv-tests-div                  |     81.82% |  184.0729 |    1.0833 |   92.79% |      N/A
rv-tests-divu                 |     81.82% |  193.2451 |    1.0784 |   92.44% |      N/A
rv-tests-divuw                |     81.82% |  188.1702 |    1.0851 |   92.73% |      N/A
rv-tests-divw                 |     81.82% |  193.6484 |    1.0879 |   92.52% |      N/A
rv-tests-jal                  |     33.33% |  260.4400 |    1.2400 |   91.04% |      N/A
rv-tests-jalr                 |     30.00% |  158.0000 |    1.2909 |   94.67% |      N/A
rv-tests-lb                   |     68.42% |  132.0121 |    1.1129 |   95.17% |   96.00%
rv-tests-lbu                  |     68.42% |  132.0121 |    1.1129 |   95.17% |   96.00%
rv-tests-ld                   |     63.16% |  122.4605 |    1.0744 |   95.26% |   96.30%
rv-tests-ld_st                |     71.77% |  148.5674 |    1.0865 |   94.21% |   99.83%
rv-tests-lh                   |     68.42% |  132.4697 |    1.1061 |   95.11% |   96.00%
rv-tests-lhu                  |     63.16% |  128.1502 |    1.1172 |   95.30% |   96.30%
rv-tests-lui                  |     71.43% |  217.1333 |    1.1333 |   91.89% |      N/A
rv-tests-lw                   |     68.42% |  133.9209 |    1.1007 |   95.03% |   96.00%
rv-tests-lwu                  |     65.79% |  126.3942 |    1.0962 |   95.26% |   96.30%
rv-tests-mul                  |     53.12% |  122.4659 |    1.1407 |   95.56% |      N/A
rv-tests-mulh                 |     53.33% |  110.4946 |    1.1296 |   95.96% |      N/A
rv-tests-mulhsu               |     53.33% |  110.4946 |    1.1296 |   95.96% |      N/A
rv-tests-mulhu                |     58.06% |  112.3556 |    1.1131 |   95.83% |      N/A
rv-tests-mulw                 |     48.33% |  118.4061 |    1.1675 |   95.82% |      N/A
rv-tests-or                   |     51.72% |  107.0733 |    1.1047 |   95.76% |      N/A
rv-tests-ori                  |     48.15% |  128.3284 |    1.1569 |   95.14% |      N/A
rv-tests-rem                  |     81.82% |  186.6737 |    1.0842 |   92.79% |      N/A
rv-tests-remu                 |     81.82% |  184.7396 |    1.0833 |   92.79% |      N/A
rv-tests-remuw                |     81.82% |  194.3516 |    1.0879 |   92.52% |      N/A
rv-tests-remw                 |     83.33% |  182.4021 |    1.0825 |   92.92% |      N/A
rv-tests-sb                   |     54.41% |  113.3653 |    1.1470 |   95.89% |   98.65%
rv-tests-sd                   |     57.35% |  120.2721 |    1.0998 |   95.52% |   97.37%
rv-tests-sh                   |     55.88% |  110.2012 |    1.1275 |   95.93% |   98.68%
rv-tests-simple               |      0.00% |  241.3611 |    1.1667 |   91.30% |      N/A
rv-tests-sll                  |     66.23% |  119.8486 |    1.1047 |   95.32% |      N/A
rv-tests-slli                 |     70.73% |  131.9623 |    1.1057 |   94.81% |      N/A
rv-tests-slliw                |     73.81% |  136.8346 |    1.0956 |   94.60% |      N/A
rv-tests-sllw                 |     64.10% |  119.8561 |    1.1121 |   95.35% |      N/A
rv-tests-slt                  |     57.97% |  116.0991 |    1.1366 |   95.55% |      N/A
rv-tests-slti                 |     65.79% |  131.9526 |    1.1293 |   94.93% |      N/A
rv-tests-sltiw                |     65.79% |  131.9526 |    1.1293 |   94.93% |      N/A
rv-tests-sltw                 |     57.97% |  117.3843 |    1.1316 |   95.50% |      N/A
rv-tests-sra                  |     60.81% |  117.8659 |    1.1223 |   95.45% |      N/A
rv-tests-srai                 |     68.42% |  138.1739 |    1.1107 |   94.61% |      N/A
rv-tests-sraiw                |     77.27% |  131.8161 |    1.0803 |   94.72% |      N/A
rv-tests-sraw                 |     69.23% |  120.1042 |    1.0951 |   95.23% |      N/A
rv-tests-srl                  |     66.22% |  116.8142 |    1.0984 |   95.41% |      N/A
rv-tests-srli                 |     65.79% |  135.8577 |    1.1095 |   94.70% |      N/A
rv-tests-srliw                |     73.81% |  132.4840 |    1.0925 |   94.74% |      N/A
rv-tests-srlw                 |     65.38% |  118.5342 |    1.1072 |   95.37% |      N/A
rv-tests-st_ld                |     97.18% |  146.4875 |    1.0111 |   93.93% |   99.34%
rv-tests-sub                  |     57.35% |  115.5943 |    1.1360 |   95.56% |      N/A
rv-tests-subw                 |     57.35% |  116.6084 |    1.1372 |   95.54% |      N/A
rv-tests-sw                   |     57.35% |  112.0511 |    1.1218 |   95.80% |   98.67%
rv-tests-xor                  |     51.72% |  108.0070 |    1.1056 |   95.72% |      N/A
rv-tests-xori                 |     51.85% |  129.5792 |    1.1485 |   95.06% |      N/A
snippy-add                    |     40.84% |  148.2313 |    1.0585 |   96.33% |   96.17%
snippy-addi                   |     25.00% |  185.4306 |    1.0819 |   95.44% |   92.27%
snippy-addiw                  |     28.57% |  225.7723 |    1.0779 |   95.85% |   90.18%
snippy-addw                   |     33.11% |  165.3091 |    1.0637 |   96.56% |   94.63%
snippy-and                    |     40.41% |  145.1984 |    1.0582 |   96.65% |   96.11%
snippy-andi                   |     31.03% |  176.0918 |    1.0704 |   95.85% |   95.07%
snippy-auipc                  |     30.58% |  197.7812 |    1.0781 |   96.26% |   93.77%
snippy-beq                    |     71.20% |   69.2900 |    1.1333 |   97.99% |   98.73%
snippy-bge                    |     77.32% |   52.2975 |    1.1459 |   98.55% |   98.15%
snippy-bgeu                   |     79.73% |   56.0879 |    1.1220 |   98.49% |   97.76%
snippy-blt                    |     71.72% |   64.0024 |    1.1769 |   98.57% |   95.85%
snippy-bltu                   |     74.92% |   58.2608 |    1.1168 |   98.20% |   98.56%
snippy-bne                    |     69.03% |   64.9959 |    1.2030 |   98.39% |   99.03%
snippy-div                    |     33.09% |  183.5364 |    1.0731 |   95.71% |   97.51%
snippy-divu                   |     35.43% |  193.5718 |    1.0605 |   96.20% |   96.81%
snippy-divuw                  |     30.00% |  217.0647 |    1.0818 |   95.26% |   97.32%
snippy-divw                   |     34.78% |  219.9521 |    1.0643 |   95.62% |   95.42%
snippy-jal                    |     56.18% |  156.4678 |    1.0475 |   95.36% |   98.74%
snippy-jalr                   |     37.74% |  177.1662 |    1.0698 |   95.70% |   96.52%
snippy-lb                     |     30.89% |  402.5438 |    1.0426 |   95.62% |   88.44%
snippy-lbu                    |     25.20% |  384.0169 |    1.0521 |   95.51% |   87.33%
snippy-ld                     |     34.27% |  306.8491 |    1.0404 |   95.85% |   90.77%
snippy-lh                     |     34.13% |  393.7920 |    1.0387 |   95.41% |   87.48%
snippy-lhu                    |     39.44% |  351.6253 |    1.0359 |   95.74% |   89.54%
snippy-load-store             |     23.08% |  582.6800 |    1.0269 |   95.36% |   81.76%
snippy-lui                    |     40.65% |  152.2291 |    1.0575 |   96.75% |   93.78%
