PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0x000000134236b000
PC: 0x0000000080000120, INSTR: 0x7e530313, REG x6: 0x000000134236b7e5
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x000134236b7e5000
PC: 0x0000000080000128, INSTR: 0xbc930313, REG x6: 0x000134236b7e4bc9
PC: 0x000000008000012c, INSTR: 0x00c31313, REG x6: 0x134236b7e4bc9000
PC: 0x0000000080000130, INSTR: 0x93730313, REG x6: 0x134236b7e4bc8937
PC: 0x0000000080000134, INSTR: 0xfae713b7, REG x7: 0xfffffffffae71000
PC: 0x0000000080000138, INSTR: 0xd653839b, REG x7: 0xfffffffffae70d65
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0xffffffae70d65000
PC: 0x0000000080000140, INSTR: 0xf8138393, REG x7: 0xffffffae70d64f81
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0xfffae70d64f81000
PC: 0x0000000080000148, INSTR: 0x4cf38393, REG x7: 0xfffae70d64f814cf
PC: 0x000000008000014c, INSTR: 0x00c39393, REG x7: 0xae70d64f814cf000
PC: 0x0000000080000150, INSTR: 0x14038393, REG x7: 0xae70d64f814cf140
PC: 0x0000000080000154, INSTR: 0xc2f7d437, REG x8: 0xffffffffc2f7d000
PC: 0x0000000080000158, INSTR: 0x3914041b, REG x8: 0xffffffffc2f7d391
PC: 0x000000008000015c, INSTR: 0x00d41413, REG x8: 0xfffff85efa722000
PC: 0x0000000080000160, INSTR: 0x0fd40413, REG x8: 0xfffff85efa7220fd
PC: 0x0000000080000164, INSTR: 0x00f41413, REG x8: 0xfc2f7d39107e8000
PC: 0x0000000080000168, INSTR: 0x30640413, REG x8: 0xfc2f7d39107e8306
PC: 0x000000008000016c, INSTR: 0x013564b7, REG x9: 0x0000000001356000
PC: 0x0000000080000170, INSTR: 0x4254849b, REG x9: 0x0000000001356425
PC: 0x0000000080000174, INSTR: 0x00c49493, REG x9: 0x0000001356425000
PC: 0x0000000080000178, INSTR: 0x24d48493, REG x9: 0x000000135642524d
PC: 0x000000008000017c, INSTR: 0x00c49493, REG x9: 0x000135642524d000
PC: 0x0000000080000180, INSTR: 0x8f148493, REG x9: 0x000135642524c8f1
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0x135642524c8f1000
PC: 0x0000000080000188, INSTR: 0xbd948493, REG x9: 0x135642524c8f0bd9
PC: 0x000000008000018c, INSTR: 0xfa751537, REG x10: 0xfffffffffa751000
PC: 0x0000000080000190, INSTR: 0xa575051b, REG x10: 0xfffffffffa750a57
PC: 0x0000000080000194, INSTR: 0x00d51513, REG x10: 0xffffff4ea14ae000
PC: 0x0000000080000198, INSTR: 0x73b50513, REG x10: 0xffffff4ea14ae73b
PC: 0x000000008000019c, INSTR: 0x01451513, REG x10: 0xf4ea14ae73b00000
PC: 0x00000000800001a0, INSTR: 0xf4f50513, REG x10: 0xf4ea14ae73afff4f
PC: 0x00000000800001a4, INSTR: 0x012b05b7, REG x11: 0x00000000012b0000
PC: 0x00000000800001a8, INSTR: 0x7a75859b, REG x11: 0x00000000012b07a7
PC: 0x00000000800001ac, INSTR: 0x00e59593, REG x11: 0x0000004ac1e9c000
PC: 0x00000000800001b0, INSTR: 0x02758593, REG x11: 0x0000004ac1e9c027
PC: 0x00000000800001b4, INSTR: 0x00c59593, REG x11: 0x0004ac1e9c027000
PC: 0x00000000800001b8, INSTR: 0x02f58593, REG x11: 0x0004ac1e9c02702f
PC: 0x00000000800001bc, INSTR: 0x00c59593, REG x11: 0x4ac1e9c02702f000
PC: 0x00000000800001c0, INSTR: 0x6e458593, REG x11: 0x4ac1e9c02702f6e4
PC: 0x00000000800001c4, INSTR: 0x35ed2637, REG x12: 0x0000000035ed2000
PC: 0x00000000800001c8, INSTR: 0x6636061b, REG x12: 0x0000000035ed2663
PC: 0x00000000800001cc, INSTR: 0x01061613, REG x12: 0x000035ed26630000
PC: 0x00000000800001d0, INSTR: 0x49760613, REG x12: 0x000035ed26630497
PC: 0x00000000800001d4, INSTR: 0x00c61613, REG x12: 0x035ed26630497000
PC: 0x00000000800001d8, INSTR: 0xaf960613, REG x12: 0x035ed26630496af9
PC: 0x00000000800001dc, INSTR: 0x3bdfa6b7, REG x13: 0x000000003bdfa000
PC: 0x00000000800001e0, INSTR: 0x4af6869b, REG x13: 0x000000003bdfa4af
PC: 0x00000000800001e4, INSTR: 0x00c69693, REG x13: 0x000003bdfa4af000
PC: 0x00000000800001e8, INSTR: 0xf0768693, REG x13: 0x000003bdfa4aef07
PC: 0x00000000800001ec, INSTR: 0x00f69693, REG x13: 0x01defd2577838000
PC: 0x00000000800001f0, INSTR: 0x2f568693, REG x13: 0x01defd25778382f5
PC: 0x00000000800001f4, INSTR: 0x00369693, REG x13: 0x0ef7e92bbc1c17a8
PC: 0x00000000800001f8, INSTR: 0xffd3f737, REG x14: 0xffffffffffd3f000
PC: 0x00000000800001fc, INSTR: 0x8477071b, REG x14: 0xffffffffffd3e847
PC: 0x0000000080000200, INSTR: 0x00e71713, REG x14: 0xfffffff4fa11c000
PC: 0x0000000080000204, INSTR: 0x81b70713, REG x14: 0xfffffff4fa11b81b
PC: 0x0000000080000208, INSTR: 0x00c71713, REG x14: 0xffff4fa11b81b000
PC: 0x000000008000020c, INSTR: 0x59570713, REG x14: 0xffff4fa11b81b595
PC: 0x0000000080000210, INSTR: 0x00f71713, REG x14: 0xa7d08dc0daca8000
PC: 0x0000000080000214, INSTR: 0x9dd70713, REG x14: 0xa7d08dc0daca79dd
PC: 0x0000000080000218, INSTR: 0xfff767b7, REG x15: 0xfffffffffff76000
PC: 0x000000008000021c, INSTR: 0x6d37879b, REG x15: 0xfffffffffff766d3
PC: 0x0000000080000220, INSTR: 0x01279793, REG x15: 0xffffffdd9b4c0000
PC: 0x0000000080000224, INSTR: 0xab378793, REG x15: 0xffffffdd9b4bfab3
PC: 0x0000000080000228, INSTR: 0x00c79793, REG x15: 0xfffdd9b4bfab3000
PC: 0x000000008000022c, INSTR: 0xbe578793, REG x15: 0xfffdd9b4bfab2be5
PC: 0x0000000080000230, INSTR: 0x00d79793, REG x15: 0xbb3697f5657ca000
PC: 0x0000000080000234, INSTR: 0x67c78793, REG x15: 0xbb3697f5657ca67c
PC: 0x0000000080000238, INSTR: 0xffc8d837, REG x16: 0xffffffffffc8d000
PC: 0x000000008000023c, INSTR: 0x1cd8081b, REG x16: 0xffffffffffc8d1cd
PC: 0x0000000080000240, INSTR: 0x00d81813, REG x16: 0xfffffff91a39a000
PC: 0x0000000080000244, INSTR: 0x0eb80813, REG x16: 0xfffffff91a39a0eb
PC: 0x0000000080000248, INSTR: 0x01081813, REG x16: 0xfff91a39a0eb0000
PC: 0x000000008000024c, INSTR: 0x44b80813, REG x16: 0xfff91a39a0eb044b
PC: 0x0000000080000250, INSTR: 0x00c81813, REG x16: 0x91a39a0eb044b000
PC: 0x0000000080000254, INSTR: 0xf2d80813, REG x16: 0x91a39a0eb044af2d
PC: 0x0000000080000258, INSTR: 0x0022f8b7, REG x17: 0x000000000022f000
PC: 0x000000008000025c, INSTR: 0x1d98889b, REG x17: 0x000000000022f1d9
PC: 0x0000000080000260, INSTR: 0x00f89893, REG x17: 0x0000001178ec8000
PC: 0x0000000080000264, INSTR: 0xd3588893, REG x17: 0x0000001178ec7d35
PC: 0x0000000080000268, INSTR: 0x00c89893, REG x17: 0x0001178ec7d35000
PC: 0x000000008000026c, INSTR: 0x2b388893, REG x17: 0x0001178ec7d352b3
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0x1178ec7d352b3000
PC: 0x0000000080000274, INSTR: 0x21e88893, REG x17: 0x1178ec7d352b321e
PC: 0x0000000080000278, INSTR: 0x10b0f937, REG x18: 0x0000000010b0f000
PC: 0x000000008000027c, INSTR: 0x00391913, REG x18: 0x0000000085878000
PC: 0x0000000080000280, INSTR: 0x7b590913, REG x18: 0x00000000858787b5
PC: 0x0000000080000284, INSTR: 0x00e91913, REG x18: 0x00002161e1ed4000
PC: 0x0000000080000288, INSTR: 0x57990913, REG x18: 0x00002161e1ed4579
PC: 0x000000008000028c, INSTR: 0x00f91913, REG x18: 0x10b0f0f6a2bc8000
PC: 0x0000000080000290, INSTR: 0xa2b90913, REG x18: 0x10b0f0f6a2bc7a2b
PC: 0x0000000080000294, INSTR: 0xff79c9b7, REG x19: 0xffffffffff79c000
PC: 0x0000000080000298, INSTR: 0xb659899b, REG x19: 0xffffffffff79bb65
PC: 0x000000008000029c, INSTR: 0x00c99993, REG x19: 0xfffffff79bb65000
PC: 0x00000000800002a0, INSTR: 0xf8398993, REG x19: 0xfffffff79bb64f83
PC: 0x00000000800002a4, INSTR: 0x00d99993, REG x19: 0xfffef376c9f06000
PC: 0x00000000800002a8, INSTR: 0x70198993, REG x19: 0xfffef376c9f06701
PC: 0x00000000800002ac, INSTR: 0x00d99993, REG x19: 0xde6ed93e0ce02000
PC: 0x00000000800002b0, INSTR: 0xebb98993, REG x19: 0xde6ed93e0ce01ebb
PC: 0x00000000800002b4, INSTR: 0xffbf9a37, REG x20: 0xffffffffffbf9000
PC: 0x00000000800002b8, INSTR: 0xef3a0a1b, REG x20: 0xffffffffffbf8ef3
PC: 0x00000000800002bc, INSTR: 0x00fa1a13, REG x20: 0xffffffdfc7798000
PC: 0x00000000800002c0, INSTR: 0x97da0a13, REG x20: 0xffffffdfc779797d
PC: 0x00000000800002c4, INSTR: 0x00ca1a13, REG x20: 0xfffdfc779797d000
