PC: 0x000000008000011c, INSTR: 0x01331313, REG x6: 0x220b2b3a97380000
PC: 0x0000000080000120, INSTR: 0x80030313, REG x6: 0x220b2b3a9737f800
PC: 0x0000000080000124, INSTR: 0xa7730313, REG x6: 0x220b2b3a9737f277
PC: 0x0000000080000128, INSTR: 0xfbd383b7, REG x7: 0xfffffffffbd38000
PC: 0x000000008000012c, INSTR: 0x6b33839b, REG x7: 0xfffffffffbd386b3
PC: 0x0000000080000130, INSTR: 0x00c39393, REG x7: 0xffffffbd386b3000
PC: 0x0000000080000134, INSTR: 0x2b738393, REG x7: 0xffffffbd386b32b7
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0xfffbd386b32b7000
PC: 0x000000008000013c, INSTR: 0x26f38393, REG x7: 0xfffbd386b32b726f
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0xbd386b32b726f000
PC: 0x0000000080000144, INSTR: 0x89538393, REG x7: 0xbd386b32b726e895
PC: 0x0000000080000148, INSTR: 0x00300437, REG x8: 0x0000000000300000
PC: 0x000000008000014c, INSTR: 0x6114041b, REG x8: 0x0000000000300611
PC: 0x0000000080000150, INSTR: 0x01141413, REG x8: 0x000000600c220000
PC: 0x0000000080000154, INSTR: 0xba740413, REG x8: 0x000000600c21fba7
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x000600c21fba7000
PC: 0x000000008000015c, INSTR: 0x31b40413, REG x8: 0x000600c21fba731b
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x600c21fba731b000
PC: 0x0000000080000164, INSTR: 0xe1f40413, REG x8: 0x600c21fba731ae1f
PC: 0x0000000080000168, INSTR: 0xffca04b7, REG x9: 0xffffffffffca0000
PC: 0x000000008000016c, INSTR: 0x9f34849b, REG x9: 0xffffffffffc9f9f3
PC: 0x0000000080000170, INSTR: 0x00d49493, REG x9: 0xfffffff93f3e6000
PC: 0x0000000080000174, INSTR: 0x28748493, REG x9: 0xfffffff93f3e6287
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xffff93f3e6287000
PC: 0x000000008000017c, INSTR: 0xca348493, REG x9: 0xffff93f3e6286ca3
PC: 0x0000000080000180, INSTR: 0x00f49493, REG x9: 0xc9f9f31436518000
PC: 0x0000000080000184, INSTR: 0xd5248493, REG x9: 0xc9f9f31436517d52
PC: 0x0000000080000188, INSTR: 0x009d1537, REG x10: 0x00000000009d1000
PC: 0x000000008000018c, INSTR: 0xe415051b, REG x10: 0x00000000009d0e41
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0x00000009d0e41000
PC: 0x0000000080000194, INSTR: 0xa6d50513, REG x10: 0x00000009d0e40a6d
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0x00009d0e40a6d000
PC: 0x000000008000019c, INSTR: 0xa9d50513, REG x10: 0x00009d0e40a6ca9d
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0x13a1c814d953a000
PC: 0x00000000800001a4, INSTR: 0x38c50513, REG x10: 0x13a1c814d953a38c
PC: 0x00000000800001a8, INSTR: 0x66c695b7, REG x11: 0x0000000066c69000
PC: 0x00000000800001ac, INSTR: 0x00359593, REG x11: 0x0000000336348000
PC: 0x00000000800001b0, INSTR: 0x14f58593, REG x11: 0x000000033634814f
PC: 0x00000000800001b4, INSTR: 0x01059593, REG x11: 0x00033634814f0000
PC: 0x00000000800001b8, INSTR: 0x47558593, REG x11: 0x00033634814f0475
PC: 0x00000000800001bc, INSTR: 0x00d59593, REG x11: 0x66c69029e08ea000
PC: 0x00000000800001c0, INSTR: 0xb9658593, REG x11: 0x66c69029e08e9b96
PC: 0x00000000800001c4, INSTR: 0x00e88637, REG x12: 0x0000000000e88000
PC: 0x00000000800001c8, INSTR: 0x5bb6061b, REG x12: 0x0000000000e885bb
PC: 0x00000000800001cc, INSTR: 0x00c61613, REG x12: 0x0000000e885bb000
PC: 0x00000000800001d0, INSTR: 0xd6b60613, REG x12: 0x0000000e885bad6b
PC: 0x00000000800001d4, INSTR: 0x00d61613, REG x12: 0x0001d10b75ad6000
PC: 0x00000000800001d8, INSTR: 0xdb160613, REG x12: 0x0001d10b75ad5db1
PC: 0x00000000800001dc, INSTR: 0x00d61613, REG x12: 0x3a216eb5abb62000
PC: 0x00000000800001e0, INSTR: 0xe6560613, REG x12: 0x3a216eb5abb61e65
PC: 0x00000000800001e4, INSTR: 0xffe2e6b7, REG x13: 0xffffffffffe2e000
PC: 0x00000000800001e8, INSTR: 0x44b6869b, REG x13: 0xffffffffffe2e44b
PC: 0x00000000800001ec, INSTR: 0x01169693, REG x13: 0xffffffc5c8960000
PC: 0x00000000800001f0, INSTR: 0x43f68693, REG x13: 0xffffffc5c896043f
PC: 0x00000000800001f4, INSTR: 0x00d69693, REG x13: 0xfff8b912c087e000
PC: 0x00000000800001f8, INSTR: 0x1c968693, REG x13: 0xfff8b912c087e1c9
PC: 0x00000000800001fc, INSTR: 0x00c69693, REG x13: 0x8b912c087e1c9000
PC: 0x0000000080000200, INSTR: 0x77968693, REG x13: 0x8b912c087e1c9779
PC: 0x0000000080000204, INSTR: 0x0078e737, REG x14: 0x000000000078e000
PC: 0x0000000080000208, INSTR: 0x8157071b, REG x14: 0x000000000078d815
PC: 0x000000008000020c, INSTR: 0x00c71713, REG x14: 0x000000078d815000
PC: 0x0000000080000210, INSTR: 0x3f770713, REG x14: 0x000000078d8153f7
PC: 0x0000000080000214, INSTR: 0x00c71713, REG x14: 0x000078d8153f7000
PC: 0x0000000080000218, INSTR: 0x4f970713, REG x14: 0x000078d8153f74f9
PC: 0x000000008000021c, INSTR: 0x00c71713, REG x14: 0x078d8153f74f9000
PC: 0x0000000080000220, INSTR: 0xbbb70713, REG x14: 0x078d8153f74f8bbb
PC: 0x0000000080000224, INSTR: 0x03d197b7, REG x15: 0x0000000003d19000
PC: 0x0000000080000228, INSTR: 0x5457879b, REG x15: 0x0000000003d19545
PC: 0x000000008000022c, INSTR: 0x00d79793, REG x15: 0x0000007a32a8a000
PC: 0x0000000080000230, INSTR: 0x60b78793, REG x15: 0x0000007a32a8a60b
PC: 0x0000000080000234, INSTR: 0x00c79793, REG x15: 0x0007a32a8a60b000
PC: 0x0000000080000238, INSTR: 0x26178793, REG x15: 0x0007a32a8a60b261
PC: 0x000000008000023c, INSTR: 0x00c79793, REG x15: 0x7a32a8a60b261000
PC: 0x0000000080000240, INSTR: 0x3cf78793, REG x15: 0x7a32a8a60b2613cf
PC: 0x0000000080000244, INSTR: 0x5b597837, REG x16: 0x000000005b597000
PC: 0x0000000080000248, INSTR: 0xc0d8081b, REG x16: 0x000000005b596c0d
PC: 0x000000008000024c, INSTR: 0x01081813, REG x16: 0x00005b596c0d0000
PC: 0x0000000080000250, INSTR: 0x7c180813, REG x16: 0x00005b596c0d07c1
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0x05b596c0d07c1000
PC: 0x0000000080000258, INSTR: 0xd7380813, REG x16: 0x05b596c0d07c0d73
PC: 0x000000008000025c, INSTR: 0x00381813, REG x16: 0x2dacb60683e06b98
PC: 0x0000000080000260, INSTR: 0xfe5a18b7, REG x17: 0xfffffffffe5a1000
PC: 0x0000000080000264, INSTR: 0x2178889b, REG x17: 0xfffffffffe5a1217
PC: 0x0000000080000268, INSTR: 0x00c89893, REG x17: 0xffffffe5a1217000
PC: 0x000000008000026c, INSTR: 0x5c788893, REG x17: 0xffffffe5a12175c7
PC: 0x0000000080000270, INSTR: 0x00e89893, REG x17: 0xfff968485d71c000
PC: 0x0000000080000274, INSTR: 0x03588893, REG x17: 0xfff968485d71c035
PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0x968485d71c035000
PC: 0x000000008000027c, INSTR: 0xee188893, REG x17: 0x968485d71c034ee1
PC: 0x0000000080000280, INSTR: 0xfff0a937, REG x18: 0xfffffffffff0a000
PC: 0x0000000080000284, INSTR: 0xcbf9091b, REG x18: 0xfffffffffff09cbf
PC: 0x0000000080000288, INSTR: 0x00c91913, REG x18: 0xffffffff09cbf000
PC: 0x000000008000028c, INSTR: 0xba590913, REG x18: 0xffffffff09cbeba5
PC: 0x0000000080000290, INSTR: 0x01391913, REG x18: 0xfff84e5f5d280000
PC: 0x0000000080000294, INSTR: 0x20d90913, REG x18: 0xfff84e5f5d28020d
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0x84e5f5d28020d000
PC: 0x000000008000029c, INSTR: 0xf4690913, REG x18: 0x84e5f5d28020cf46
PC: 0x00000000800002a0, INSTR: 0x002d69b7, REG x19: 0x00000000002d6000
PC: 0x00000000800002a4, INSTR: 0xe579899b, REG x19: 0x00000000002d5e57
PC: 0x00000000800002a8, INSTR: 0x00d99993, REG x19: 0x00000005abcae000
PC: 0x00000000800002ac, INSTR: 0x8b998993, REG x19: 0x00000005abcad8b9
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0x00005abcad8b9000
PC: 0x00000000800002b4, INSTR: 0x9d598993, REG x19: 0x00005abcad8b89d5
PC: 0x00000000800002b8, INSTR: 0x00f99993, REG x19: 0x2d5e56c5c4ea8000
PC: 0x00000000800002bc, INSTR: 0x3ff98993, REG x19: 0x2d5e56c5c4ea83ff
PC: 0x00000000800002c0, INSTR: 0xfefc0a37, REG x20: 0xfffffffffefc0000
PC: 0x00000000800002c4, INSTR: 0x835a0a1b, REG x20: 0xfffffffffefbf835
PC: 0x00000000800002c8, INSTR: 0x00ca1a13, REG x20: 0xffffffefbf835000
PC: 0x00000000800002cc, INSTR: 0x6fba0a13, REG x20: 0xffffffefbf8356fb
PC: 0x00000000800002d0, INSTR: 0x00da1a13, REG x20: 0xfffdf7f06adf6000
PC: 0x00000000800002d4, INSTR: 0x091a0a13, REG x20: 0xfffdf7f06adf6091
PC: 0x00000000800002d8, INSTR: 0x00da1a13, REG x20: 0xbefe0d5bec122000
PC: 0x00000000800002dc, INSTR: 0x36ea0a13, REG x20: 0xbefe0d5bec12236e
PC: 0x00000000800002e0, INSTR: 0x00664ab7, REG x21: 0x0000000000664000
PC: 0x00000000800002e4, INSTR: 0x2c5a8a9b, REG x21: 0x00000000006642c5
PC: 0x00000000800002e8, INSTR: 0x00ca9a93, REG x21: 0x00000006642c5000
PC: 0x00000000800002ec, INSTR: 0x5e7a8a93, REG x21: 0x00000006642c55e7
PC: 0x00000000800002f0, INSTR: 0x00da9a93, REG x21: 0x0000cc858abce000
PC: 0x00000000800002f4, INSTR: 0xaa5a8a93, REG x21: 0x0000cc858abcdaa5
PC: 0x00000000800002f8, INSTR: 0x00ca9a93, REG x21: 0x0cc858abcdaa5000
PC: 0x00000000800002fc, INSTR: 0xe44a8a93, REG x21: 0x0cc858abcdaa4e44
PC: 0x0000000080000300, INSTR: 0x00244b37, REG x22: 0x0000000000244000
PC: 0x0000000080000304, INSTR: 0x949b0b1b, REG x22: 0x0000000000243949
PC: 0x0000000080000308, INSTR: 0x00db1b13, REG x22: 0x0000000487292000
PC: 0x000000008000030c, INSTR: 0x2abb0b13, REG x22: 0x00000004872922ab
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0x00004872922ab000
PC: 0x0000000080000314, INSTR: 0xa09b0b13, REG x22: 0x00004872922aaa09
PC: 0x0000000080000318, INSTR: 0x00db1b13, REG x22: 0x090e524555412000
PC: 0x000000008000031c, INSTR: 0x6e6b0b13, REG x22: 0x090e5245554126e6
PC: 0x0000000080000320, INSTR: 0x026b4bb7, REG x23: 0x00000000026b4000
PC: 0x0000000080000324, INSTR: 0x58fb8b9b, REG x23: 0x00000000026b458f
PC: 0x0000000080000328, INSTR: 0x00db9b93, REG x23: 0x0000004d68b1e000
PC: 0x000000008000032c, INSTR: 0x51bb8b93, REG x23: 0x0000004d68b1e51b
PC: 0x0000000080000330, INSTR: 0x00cb9b93, REG x23: 0x0004d68b1e51b000
PC: 0x0000000080000334, INSTR: 0xadbb8b93, REG x23: 0x0004d68b1e51aadb
PC: 0x0000000080000338, INSTR: 0x00cb9b93, REG x23: 0x4d68b1e51aadb000
PC: 0x000000008000033c, INSTR: 0xa31b8b93, REG x23: 0x4d68b1e51aadaa31
PC: 0x0000000080000340, INSTR: 0x020a3c37, REG x24: 0x00000000020a3000
PC: 0x0000000080000344, INSTR: 0x4c5c0c1b, REG x24: 0x00000000020a34c5
PC: 0x0000000080000348, INSTR: 0x00cc1c13, REG x24: 0x00000020a34c5000
PC: 0x000000008000034c, INSTR: 0x6adc0c13, REG x24: 0x00000020a34c56ad
PC: 0x0000000080000350, INSTR: 0x00dc1c13, REG x24: 0x000414698ad5a000
PC: 0x0000000080000354, INSTR: 0xb91c0c13, REG x24: 0x000414698ad59b91
PC: 0x0000000080000358, INSTR: 0x00cc1c13, REG x24: 0x414698ad59b91000
PC: 0x000000008000035c, INSTR: 0xd53c0c13, REG x24: 0x414698ad59b90d53
PC: 0x0000000080000360, INSTR: 0x00ae4cb7, REG x25: 0x0000000000ae4000
PC: 0x0000000080000364, INSTR: 0x0ffc8c9b, REG x25: 0x0000000000ae40ff
PC: 0x0000000080000368, INSTR: 0x00ec9c93, REG x25: 0x0000002b903fc000
PC: 0x000000008000036c, INSTR: 0x00fc8c93, REG x25: 0x0000002b903fc00f
PC: 0x0000000080000370, INSTR: 0x00cc9c93, REG x25: 0x0002b903fc00f000
PC: 0x0000000080000374, INSTR: 0xe25c8c93, REG x25: 0x0002b903fc00ee25
PC: 0x0000000080000378, INSTR: 0x00dc9c93, REG x25: 0x57207f801dc4a000
PC: 0x000000008000037c, INSTR: 0x0b4c8c93, REG x25: 0x57207f801dc4a0b4
PC: 0x0000000080000380, INSTR: 0x06532d37, REG x26: 0x0000000006532000
PC: 0x0000000080000384, INSTR: 0x55dd0d1b, REG x26: 0x000000000653255d
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0x000000653255d000
PC: 0x000000008000038c, INSTR: 0x6bdd0d13, REG x26: 0x000000653255d6bd
PC: 0x0000000080000390, INSTR: 0x00cd1d13, REG x26: 0x000653255d6bd000
PC: 0x0000000080000394, INSTR: 0x52fd0d13, REG x26: 0x000653255d6bd52f
PC: 0x0000000080000398, INSTR: 0x00cd1d13, REG x26: 0x653255d6bd52f000
PC: 0x000000008000039c, INSTR: 0x15fd0d13, REG x26: 0x653255d6bd52f15f
PC: 0x00000000800003a0, INSTR: 0xf20e2db7, REG x27: 0xfffffffff20e2000
PC: 0x00000000800003a4, INSTR: 0xc35d8d9b, REG x27: 0xfffffffff20e1c35
PC: 0x00000000800003a8, INSTR: 0x010d9d93, REG x27: 0xfffff20e1c350000
PC: 0x00000000800003ac, INSTR: 0xd07d8d93, REG x27: 0xfffff20e1c34fd07
PC: 0x00000000800003b0, INSTR: 0x00dd9d93, REG x27: 0xfe41c3869fa0e000
PC: 0x00000000800003b4, INSTR: 0xb2cd8d93, REG x27: 0xfe41c3869fa0db2c
PC: 0x00000000800003b8, INSTR: 0x02143e37, REG x28: 0x0000000002143000
PC: 0x00000000800003bc, INSTR: 0xe93e0e1b, REG x28: 0x0000000002142e93
PC: 0x00000000800003c0, INSTR: 0x00ce1e13, REG x28: 0x0000002142e93000
PC: 0x00000000800003c4, INSTR: 0xa59e0e13, REG x28: 0x0000002142e92a59
PC: 0x00000000800003c8, INSTR: 0x00ce1e13, REG x28: 0x0002142e92a59000
PC: 0x00000000800003cc, INSTR: 0x23be0e13, REG x28: 0x0002142e92a5923b
PC: 0x00000000800003d0, INSTR: 0x00de1e13, REG x28: 0x4285d254b2476000
PC: 0x00000000800003d4, INSTR: 0x411e0e13, REG x28: 0x4285d254b2476411
PC: 0x00000000800003d8, INSTR: 0x001feeb7, REG x29: 0x00000000001fe000
PC: 0x00000000800003dc, INSTR: 0x9dbe8e9b, REG x29: 0x00000000001fd9db
PC: 0x00000000800003e0, INSTR: 0x00de9e93, REG x29: 0x00000003fb3b6000
PC: 0x00000000800003e4, INSTR: 0x3efe8e93, REG x29: 0x00000003fb3b63ef
PC: 0x00000000800003e8, INSTR: 0x00ce9e93, REG x29: 0x00003fb3b63ef000
PC: 0x00000000800003ec, INSTR: 0xb93e8e93, REG x29: 0x00003fb3b63eeb93
PC: 0x00000000800003f0, INSTR: 0x00de9e93, REG x29: 0x07f676c7dd726000
PC: 0x00000000800003f4, INSTR: 0x68de8e93, REG x29: 0x07f676c7dd72668d
PC: 0x00000000800003f8, INSTR: 0x55947f37, REG x30: 0x0000000055947000
PC: 0x00000000800003fc, INSTR: 0x001f1f13, REG x30: 0x00000000ab28e000
PC: 0x0000000080000400, INSTR: 0xd39f0f13, REG x30: 0x00000000ab28dd39
PC: 0x0000000080000404, INSTR: 0x00cf1f13, REG x30: 0x00000ab28dd39000
PC: 0x0000000080000408, INSTR: 0xefdf0f13, REG x30: 0x00000ab28dd38efd
PC: 0x000000008000040c, INSTR: 0x00ff1f13, REG x30: 0x055946e9c77e8000
PC: 0x0000000080000410, INSTR: 0xd34f0f13, REG x30: 0x055946e9c77e7d34
PC: 0x0000000080000414, INSTR: 0x030b6fb7, REG x31: 0x00000000030b6000
PC: 0x0000000080000418, INSTR: 0xc59f8f9b, REG x31: 0x00000000030b5c59
PC: 0x000000008000041c, INSTR: 0x00cf9f93, REG x31: 0x00000030b5c59000
PC: 0x0000000080000420, INSTR: 0x4d5f8f93, REG x31: 0x00000030b5c594d5
PC: 0x0000000080000424, INSTR: 0x00cf9f93, REG x31: 0x00030b5c594d5000
