PC: 0x000000008000011c, INSTR: 0x00f31313, REG x6: 0x0000001971928000
PC: 0x0000000080000120, INSTR: 0x6bf30313, REG x6: 0x00000019719286bf
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x00019719286bf000
PC: 0x0000000080000128, INSTR: 0xe0130313, REG x6: 0x00019719286bee01
PC: 0x000000008000012c, INSTR: 0x00e31313, REG x6: 0x65c64a1afb804000
PC: 0x0000000080000130, INSTR: 0xf0c30313, REG x6: 0x65c64a1afb803f0c
PC: 0x0000000080000134, INSTR: 0x002ad3b7, REG x7: 0x00000000002ad000
PC: 0x0000000080000138, INSTR: 0x2d33839b, REG x7: 0x00000000002ad2d3
PC: 0x000000008000013c, INSTR: 0x00d39393, REG x7: 0x000000055a5a6000
PC: 0x0000000080000140, INSTR: 0xa1738393, REG x7: 0x000000055a5a5a17
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0x000055a5a5a17000
PC: 0x0000000080000148, INSTR: 0x64338393, REG x7: 0x000055a5a5a17643
PC: 0x000000008000014c, INSTR: 0x00c39393, REG x7: 0x055a5a5a17643000
PC: 0x0000000080000150, INSTR: 0x1e938393, REG x7: 0x055a5a5a176431e9
PC: 0x0000000080000154, INSTR: 0xfee60437, REG x8: 0xfffffffffee60000
PC: 0x0000000080000158, INSTR: 0x8f74041b, REG x8: 0xfffffffffee5f8f7
PC: 0x000000008000015c, INSTR: 0x00c41413, REG x8: 0xffffffee5f8f7000
PC: 0x0000000080000160, INSTR: 0x78340413, REG x8: 0xffffffee5f8f7783
PC: 0x0000000080000164, INSTR: 0x00c41413, REG x8: 0xfffee5f8f7783000
PC: 0x0000000080000168, INSTR: 0x93540413, REG x8: 0xfffee5f8f7782935
PC: 0x000000008000016c, INSTR: 0x00d41413, REG x8: 0xdcbf1eef0526a000
PC: 0x0000000080000170, INSTR: 0x4c540413, REG x8: 0xdcbf1eef0526a4c5
PC: 0x0000000080000174, INSTR: 0x000bf4b7, REG x9: 0x00000000000bf000
PC: 0x0000000080000178, INSTR: 0x98b4849b, REG x9: 0x00000000000be98b
PC: 0x000000008000017c, INSTR: 0x00f49493, REG x9: 0x00000005f4c58000
PC: 0x0000000080000180, INSTR: 0x71548493, REG x9: 0x00000005f4c58715
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0x00005f4c58715000
PC: 0x0000000080000188, INSTR: 0x35548493, REG x9: 0x00005f4c58715355
PC: 0x000000008000018c, INSTR: 0x00f49493, REG x9: 0x2fa62c38a9aa8000
PC: 0x0000000080000190, INSTR: 0xabf48493, REG x9: 0x2fa62c38a9aa7abf
