PC: 0x0000000080000118, INSTR: 0x7053031b, REG x6: 0xfffffffffff38705
PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0xffffffff38705000
PC: 0x0000000080000120, INSTR: 0xc5b30313, REG x6: 0xffffffff38704c5b
PC: 0x0000000080000124, INSTR: 0x00f31313, REG x6: 0xffff9c38262d8000
PC: 0x0000000080000128, INSTR: 0x35b30313, REG x6: 0xffff9c38262d835b
PC: 0x000000008000012c, INSTR: 0x01031313, REG x6: 0x9c38262d835b0000
PC: 0x0000000080000130, INSTR: 0xd6430313, REG x6: 0x9c38262d835afd64
PC: 0x0000000080000134, INSTR: 0xfe5073b7, REG x7: 0xfffffffffe507000
PC: 0x0000000080000138, INSTR: 0xacb3839b, REG x7: 0xfffffffffe506acb
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0xffffffe506acb000
PC: 0x0000000080000140, INSTR: 0x4a738393, REG x7: 0xffffffe506acb4a7
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0xfffe506acb4a7000
PC: 0x0000000080000148, INSTR: 0xefd38393, REG x7: 0xfffe506acb4a6efd
PC: 0x000000008000014c, INSTR: 0x00e39393, REG x7: 0x941ab2d29bbf4000
PC: 0x0000000080000150, INSTR: 0x23f38393, REG x7: 0x941ab2d29bbf423f
PC: 0x0000000080000154, INSTR: 0xff028437, REG x8: 0xffffffffff028000
PC: 0x0000000080000158, INSTR: 0xa2f4041b, REG x8: 0xffffffffff027a2f
PC: 0x000000008000015c, INSTR: 0x00d41413, REG x8: 0xffffffe04f45e000
PC: 0x0000000080000160, INSTR: 0xb6d40413, REG x8: 0xffffffe04f45db6d
PC: 0x0000000080000164, INSTR: 0x00c41413, REG x8: 0xfffe04f45db6d000
PC: 0x0000000080000168, INSTR: 0x1e940413, REG x8: 0xfffe04f45db6d1e9
PC: 0x000000008000016c, INSTR: 0x00d41413, REG x8: 0xc09e8bb6da3d2000
PC: 0x0000000080000170, INSTR: 0x0ca40413, REG x8: 0xc09e8bb6da3d20ca
PC: 0x0000000080000174, INSTR: 0x000cf4b7, REG x9: 0x00000000000cf000
PC: 0x0000000080000178, INSTR: 0xedd4849b, REG x9: 0x00000000000ceedd
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0x000000019ddba000
PC: 0x0000000080000180, INSTR: 0x71948493, REG x9: 0x000000019ddba719
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0x000019ddba719000
PC: 0x0000000080000188, INSTR: 0x8cd48493, REG x9: 0x000019ddba7188cd
PC: 0x000000008000018c, INSTR: 0x00c49493, REG x9: 0x019ddba7188cd000
PC: 0x0000000080000190, INSTR: 0xce948493, REG x9: 0x019ddba7188ccce9
PC: 0x0000000080000194, INSTR: 0x02c8d537, REG x10: 0x0000000002c8d000
PC: 0x0000000080000198, INSTR: 0x91f5051b, REG x10: 0x0000000002c8c91f
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0x0000002c8c91f000
PC: 0x00000000800001a0, INSTR: 0xddf50513, REG x10: 0x0000002c8c91eddf
PC: 0x00000000800001a4, INSTR: 0x00c51513, REG x10: 0x0002c8c91eddf000
PC: 0x00000000800001a8, INSTR: 0xe1950513, REG x10: 0x0002c8c91eddee19
PC: 0x00000000800001ac, INSTR: 0x00d51513, REG x10: 0x591923dbbdc32000
PC: 0x00000000800001b0, INSTR: 0xd8150513, REG x10: 0x591923dbbdc31d81
PC: 0x00000000800001b4, INSTR: 0x084a65b7, REG x11: 0x00000000084a6000
PC: 0x00000000800001b8, INSTR: 0x0935859b, REG x11: 0x00000000084a6093
PC: 0x00000000800001bc, INSTR: 0x00f59593, REG x11: 0x0000042530498000
PC: 0x00000000800001c0, INSTR: 0xcbb58593, REG x11: 0x0000042530497cbb
PC: 0x00000000800001c4, INSTR: 0x00f59593, REG x11: 0x02129824be5d8000
PC: 0x00000000800001c8, INSTR: 0x3a958593, REG x11: 0x02129824be5d83a9
PC: 0x00000000800001cc, INSTR: 0x00559593, REG x11: 0x42530497cbb07520
PC: 0x00000000800001d0, INSTR: 0xffe9c637, REG x12: 0xffffffffffe9c000
PC: 0x00000000800001d4, INSTR: 0x3bb6061b, REG x12: 0xffffffffffe9c3bb
PC: 0x00000000800001d8, INSTR: 0x01061613, REG x12: 0xffffffe9c3bb0000
PC: 0x00000000800001dc, INSTR: 0x5b560613, REG x12: 0xffffffe9c3bb05b5
PC: 0x00000000800001e0, INSTR: 0x00d61613, REG x12: 0xfffd387760b6a000
PC: 0x00000000800001e4, INSTR: 0xe8760613, REG x12: 0xfffd387760b69e87
PC: 0x00000000800001e8, INSTR: 0x00c61613, REG x12: 0xd387760b69e87000
PC: 0x00000000800001ec, INSTR: 0x2bd60613, REG x12: 0xd387760b69e872bd
PC: 0x00000000800001f0, INSTR: 0xfefbc6b7, REG x13: 0xfffffffffefbc000
PC: 0x00000000800001f4, INSTR: 0xf5b6869b, REG x13: 0xfffffffffefbbf5b
PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0xffffffefbbf5b000
PC: 0x00000000800001fc, INSTR: 0x90368693, REG x13: 0xffffffefbbf5a903
PC: 0x0000000080000200, INSTR: 0x00c69693, REG x13: 0xfffefbbf5a903000
PC: 0x0000000080000204, INSTR: 0x67b68693, REG x13: 0xfffefbbf5a90367b
PC: 0x0000000080000208, INSTR: 0x00e69693, REG x13: 0xbeefd6a40d9ec000
