PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0x000000295919b000
PC: 0x0000000080000120, INSTR: 0x88930313, REG x6: 0x000000295919a889
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x000295919a889000
PC: 0x0000000080000128, INSTR: 0xba730313, REG x6: 0x000295919a888ba7
PC: 0x000000008000012c, INSTR: 0x00c31313, REG x6: 0x295919a888ba7000
PC: 0x0000000080000130, INSTR: 0xd8f30313, REG x6: 0x295919a888ba6d8f
PC: 0x0000000080000134, INSTR: 0x001f93b7, REG x7: 0x00000000001f9000
PC: 0x0000000080000138, INSTR: 0xc073839b, REG x7: 0x00000000001f8c07
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x00000001f8c07000
PC: 0x0000000080000140, INSTR: 0x69338393, REG x7: 0x00000001f8c07693
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0x00001f8c07693000
PC: 0x0000000080000148, INSTR: 0xd7d38393, REG x7: 0x00001f8c07692d7d
PC: 0x000000008000014c, INSTR: 0x01039393, REG x7: 0x1f8c07692d7d0000
PC: 0x0000000080000150, INSTR: 0x12438393, REG x7: 0x1f8c07692d7d0124
PC: 0x0000000080000154, INSTR: 0x022c1437, REG x8: 0x00000000022c1000
PC: 0x0000000080000158, INSTR: 0x8fb4041b, REG x8: 0x00000000022c08fb
PC: 0x000000008000015c, INSTR: 0x00c41413, REG x8: 0x00000022c08fb000
PC: 0x0000000080000160, INSTR: 0x25f40413, REG x8: 0x00000022c08fb25f
PC: 0x0000000080000164, INSTR: 0x00c41413, REG x8: 0x00022c08fb25f000
PC: 0x0000000080000168, INSTR: 0x24940413, REG x8: 0x00022c08fb25f249
PC: 0x000000008000016c, INSTR: 0x00c41413, REG x8: 0x22c08fb25f249000
PC: 0x0000000080000170, INSTR: 0xb1a40413, REG x8: 0x22c08fb25f248b1a
PC: 0x0000000080000174, INSTR: 0xfe1634b7, REG x9: 0xfffffffffe163000
PC: 0x0000000080000178, INSTR: 0xc414849b, REG x9: 0xfffffffffe162c41
PC: 0x000000008000017c, INSTR: 0x00c49493, REG x9: 0xffffffe162c41000
PC: 0x0000000080000180, INSTR: 0x86148493, REG x9: 0xffffffe162c40861
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0xfffe162c40861000
PC: 0x0000000080000188, INSTR: 0x7d148493, REG x9: 0xfffe162c408617d1
PC: 0x000000008000018c, INSTR: 0x00c49493, REG x9: 0xe162c408617d1000
PC: 0x0000000080000190, INSTR: 0x18548493, REG x9: 0xe162c408617d1185
PC: 0x0000000080000194, INSTR: 0xffe97537, REG x10: 0xffffffffffe97000
PC: 0x0000000080000198, INSTR: 0xe015051b, REG x10: 0xffffffffffe96e01
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0xfffffffe96e01000
PC: 0x00000000800001a0, INSTR: 0xcfd50513, REG x10: 0xfffffffe96e00cfd
PC: 0x00000000800001a4, INSTR: 0x01151513, REG x10: 0xfffd2dc019fa0000
PC: 0x00000000800001a8, INSTR: 0xf8350513, REG x10: 0xfffd2dc019f9ff83
PC: 0x00000000800001ac, INSTR: 0x00d51513, REG x10: 0xa5b8033f3ff06000
PC: 0x00000000800001b0, INSTR: 0xee150513, REG x10: 0xa5b8033f3ff05ee1
PC: 0x00000000800001b4, INSTR: 0xff3da5b7, REG x11: 0xffffffffff3da000
PC: 0x00000000800001b8, INSTR: 0x55f5859b, REG x11: 0xffffffffff3da55f
PC: 0x00000000800001bc, INSTR: 0x00d59593, REG x11: 0xffffffe7b4abe000
PC: 0x00000000800001c0, INSTR: 0x47f58593, REG x11: 0xffffffe7b4abe47f
PC: 0x00000000800001c4, INSTR: 0x00c59593, REG x11: 0xfffe7b4abe47f000
PC: 0x00000000800001c8, INSTR: 0x72958593, REG x11: 0xfffe7b4abe47f729
PC: 0x00000000800001cc, INSTR: 0x00e59593, REG x11: 0x9ed2af91fdca4000
PC: 0x00000000800001d0, INSTR: 0x22558593, REG x11: 0x9ed2af91fdca4225
PC: 0x00000000800001d4, INSTR: 0xf802a637, REG x12: 0xfffffffff802a000
PC: 0x00000000800001d8, INSTR: 0x8e56061b, REG x12: 0xfffffffff80298e5
PC: 0x00000000800001dc, INSTR: 0x01061613, REG x12: 0xfffff80298e50000
PC: 0x00000000800001e0, INSTR: 0x2f160613, REG x12: 0xfffff80298e502f1
PC: 0x00000000800001e4, INSTR: 0x00e61613, REG x12: 0xfe00a63940bc4000
PC: 0x00000000800001e8, INSTR: 0xc2d60613, REG x12: 0xfe00a63940bc3c2d
PC: 0x00000000800001ec, INSTR: 0x00165613, REG x12: 0x7f00531ca05e1e16
PC: 0x00000000800001f0, INSTR: 0x4512b6b7, REG x13: 0x000000004512b000
PC: 0x00000000800001f4, INSTR: 0xa636869b, REG x13: 0x000000004512aa63
PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0x000004512aa63000
PC: 0x00000000800001fc, INSTR: 0x77768693, REG x13: 0x000004512aa63777
PC: 0x0000000080000200, INSTR: 0x01469693, REG x13: 0x4512aa6377700000
PC: 0x0000000080000204, INSTR: 0x49368693, REG x13: 0x4512aa6377700493
PC: 0x0000000080000208, INSTR: 0x00efe737, REG x14: 0x0000000000efe000
PC: 0x000000008000020c, INSTR: 0x20b7071b, REG x14: 0x0000000000efe20b
PC: 0x0000000080000210, INSTR: 0x00d71713, REG x14: 0x0000001dfc416000
PC: 0x0000000080000214, INSTR: 0x1a970713, REG x14: 0x0000001dfc4161a9
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x0001dfc4161a9000
