PC: 0x000000008000011c, INSTR: 0x69530313, REG x6: 0x0000000fecf41695
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x0000fecf41695000
PC: 0x0000000080000124, INSTR: 0x90d30313, REG x6: 0x0000fecf4169490d
PC: 0x0000000080000128, INSTR: 0x00c31313, REG x6: 0x0fecf4169490d000
PC: 0x000000008000012c, INSTR: 0xb2530313, REG x6: 0x0fecf4169490cb25
PC: 0x0000000080000130, INSTR: 0xfef9c3b7, REG x7: 0xfffffffffef9c000
PC: 0x0000000080000134, INSTR: 0xc613839b, REG x7: 0xfffffffffef9bc61
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0xffffffef9bc61000
PC: 0x000000008000013c, INSTR: 0x28f38393, REG x7: 0xffffffef9bc6128f
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0xfffef9bc6128f000
PC: 0x0000000080000144, INSTR: 0x36f38393, REG x7: 0xfffef9bc6128f36f
PC: 0x0000000080000148, INSTR: 0x00e39393, REG x7: 0xbe6f184a3cdbc000
PC: 0x000000008000014c, INSTR: 0xd7938393, REG x7: 0xbe6f184a3cdbbd79
PC: 0x0000000080000150, INSTR: 0x004c8437, REG x8: 0x00000000004c8000
PC: 0x0000000080000154, INSTR: 0x60b4041b, REG x8: 0x00000000004c860b
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x00000004c860b000
PC: 0x000000008000015c, INSTR: 0xeed40413, REG x8: 0x00000004c860aeed
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x00004c860aeed000
PC: 0x0000000080000164, INSTR: 0x72d40413, REG x8: 0x00004c860aeed72d
PC: 0x0000000080000168, INSTR: 0x00c41413, REG x8: 0x04c860aeed72d000
PC: 0x000000008000016c, INSTR: 0xfdf40413, REG x8: 0x04c860aeed72cfdf
PC: 0x0000000080000170, INSTR: 0xfff3f4b7, REG x9: 0xfffffffffff3f000
PC: 0x0000000080000174, INSTR: 0xdcb4849b, REG x9: 0xfffffffffff3edcb
PC: 0x0000000080000178, INSTR: 0x00d49493, REG x9: 0xfffffffe7db96000
PC: 0x000000008000017c, INSTR: 0xb3548493, REG x9: 0xfffffffe7db95b35
PC: 0x0000000080000180, INSTR: 0x00f49493, REG x9: 0xffff3edcad9a8000
PC: 0x0000000080000184, INSTR: 0x75b48493, REG x9: 0xffff3edcad9a875b
PC: 0x0000000080000188, INSTR: 0x00f49493, REG x9: 0x9f6e56cd43ad8000
PC: 0x000000008000018c, INSTR: 0x16848493, REG x9: 0x9f6e56cd43ad8168
PC: 0x0000000080000190, INSTR: 0xfc29e537, REG x10: 0xfffffffffc29e000
PC: 0x0000000080000194, INSTR: 0xc615051b, REG x10: 0xfffffffffc29dc61
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0xffffff853b8c2000
PC: 0x000000008000019c, INSTR: 0x7f150513, REG x10: 0xffffff853b8c27f1
