PC: 0x0000000080000118, INSTR: 0x00c31313, REG x6: 0x000000075abe1000
PC: 0x000000008000011c, INSTR: 0x07130313, REG x6: 0x000000075abe1071
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x000075abe1071000
PC: 0x0000000080000124, INSTR: 0x7eb30313, REG x6: 0x000075abe10717eb
PC: 0x0000000080000128, INSTR: 0x00d31313, REG x6: 0x0eb57c20e2fd6000
PC: 0x000000008000012c, INSTR: 0x21b30313, REG x6: 0x0eb57c20e2fd621b
PC: 0x0000000080000130, INSTR: 0xffd193b7, REG x7: 0xffffffffffd19000
PC: 0x0000000080000134, INSTR: 0xcd13839b, REG x7: 0xffffffffffd18cd1
PC: 0x0000000080000138, INSTR: 0x00d39393, REG x7: 0xfffffffa319a2000
PC: 0x000000008000013c, INSTR: 0x12538393, REG x7: 0xfffffffa319a2125
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0xffffa319a2125000
PC: 0x0000000080000144, INSTR: 0xab338393, REG x7: 0xffffa319a2124ab3
PC: 0x0000000080000148, INSTR: 0x00f39393, REG x7: 0xd18cd10925598000
PC: 0x000000008000014c, INSTR: 0xe4f38393, REG x7: 0xd18cd10925597e4f
PC: 0x0000000080000150, INSTR: 0x01ab7437, REG x8: 0x0000000001ab7000
PC: 0x0000000080000154, INSTR: 0x39f4041b, REG x8: 0x0000000001ab739f
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x0000001ab739f000
PC: 0x000000008000015c, INSTR: 0x4d340413, REG x8: 0x0000001ab739f4d3
PC: 0x0000000080000160, INSTR: 0x00d41413, REG x8: 0x000356e73e9a6000
PC: 0x0000000080000164, INSTR: 0x01540413, REG x8: 0x000356e73e9a6015
PC: 0x0000000080000168, INSTR: 0x00c41413, REG x8: 0x356e73e9a6015000
PC: 0x000000008000016c, INSTR: 0xb2640413, REG x8: 0x356e73e9a6014b26
PC: 0x0000000080000170, INSTR: 0xffc9e4b7, REG x9: 0xffffffffffc9e000
PC: 0x0000000080000174, INSTR: 0xc5b4849b, REG x9: 0xffffffffffc9dc5b
PC: 0x0000000080000178, INSTR: 0x00e49493, REG x9: 0xfffffff27716c000
PC: 0x000000008000017c, INSTR: 0x7fd48493, REG x9: 0xfffffff27716c7fd
PC: 0x0000000080000180, INSTR: 0x00d49493, REG x9: 0xfffe4ee2d8ffa000
PC: 0x0000000080000184, INSTR: 0x9bd48493, REG x9: 0xfffe4ee2d8ff99bd
PC: 0x0000000080000188, INSTR: 0x00e49493, REG x9: 0x93b8b63fe66f4000
PC: 0x000000008000018c, INSTR: 0xa5348493, REG x9: 0x93b8b63fe66f3a53
PC: 0x0000000080000190, INSTR: 0x007ed537, REG x10: 0x00000000007ed000
PC: 0x0000000080000194, INSTR: 0x1955051b, REG x10: 0x00000000007ed195
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0x0000000fda32a000
PC: 0x000000008000019c, INSTR: 0x4b550513, REG x10: 0x0000000fda32a4b5
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0x0001fb465496a000
PC: 0x00000000800001a4, INSTR: 0xd5750513, REG x10: 0x0001fb4654969d57
PC: 0x00000000800001a8, INSTR: 0x00e51513, REG x10: 0x7ed19525a755c000
PC: 0x00000000800001ac, INSTR: 0x88c50513, REG x10: 0x7ed19525a755b88c
PC: 0x00000000800001b0, INSTR: 0xff5df5b7, REG x11: 0xffffffffff5df000
PC: 0x00000000800001b4, INSTR: 0xbeb5859b, REG x11: 0xffffffffff5debeb
PC: 0x00000000800001b8, INSTR: 0x00d59593, REG x11: 0xffffffebbd7d6000
PC: 0x00000000800001bc, INSTR: 0x64358593, REG x11: 0xffffffebbd7d6643
PC: 0x00000000800001c0, INSTR: 0x00c59593, REG x11: 0xfffebbd7d6643000
