PC: 0x0000000080000284, INSTR: 0x00c89893, REG x17: 0xe44f6ee03133b000
PC: 0x0000000080000288, INSTR: 0xfb388893, REG x17: 0xe44f6ee03133afb3
PC: 0x000000008000028c, INSTR: 0x02c46937, REG x18: 0x0000000002c46000
PC: 0x0000000080000290, INSTR: 0xa919091b, REG x18: 0x0000000002c45a91
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0x0000002c45a91000
PC: 0x0000000080000298, INSTR: 0xaed90913, REG x18: 0x0000002c45a90aed
PC: 0x000000008000029c, INSTR: 0x00c91913, REG x18: 0x0002c45a90aed000
PC: 0x00000000800002a0, INSTR: 0x54590913, REG x18: 0x0002c45a90aed545
PC: 0x00000000800002a4, INSTR: 0x00d91913, REG x18: 0x588b5215daa8a000
PC: 0x00000000800002a8, INSTR: 0x41890913, REG x18: 0x588b5215daa8a418
PC: 0x00000000800002ac, INSTR: 0xff91c9b7, REG x19: 0xffffffffff91c000
PC: 0x00000000800002b0, INSTR: 0xf2b9899b, REG x19: 0xffffffffff91bf2b
PC: 0x00000000800002b4, INSTR: 0x00c99993, REG x19: 0xfffffff91bf2b000
PC: 0x00000000800002b8, INSTR: 0xc9d98993, REG x19: 0xfffffff91bf2ac9d
PC: 0x00000000800002bc, INSTR: 0x00c99993, REG x19: 0xffff91bf2ac9d000
PC: 0x00000000800002c0, INSTR: 0x76d98993, REG x19: 0xffff91bf2ac9d76d
PC: 0x00000000800002c4, INSTR: 0x00c99993, REG x19: 0xf91bf2ac9d76d000
PC: 0x00000000800002c8, INSTR: 0xf4998993, REG x19: 0xf91bf2ac9d76cf49
PC: 0x00000000800002cc, INSTR: 0x00303a37, REG x20: 0x0000000000303000
PC: 0x00000000800002d0, INSTR: 0xa73a0a1b, REG x20: 0x0000000000302a73
PC: 0x00000000800002d4, INSTR: 0x00ea1a13, REG x20: 0x0000000c0a9cc000
PC: 0x00000000800002d8, INSTR: 0xd91a0a13, REG x20: 0x0000000c0a9cbd91
PC: 0x00000000800002dc, INSTR: 0x00ca1a13, REG x20: 0x0000c0a9cbd91000
PC: 0x00000000800002e0, INSTR: 0x8dfa0a13, REG x20: 0x0000c0a9cbd908df
