PC: 0x000000008000011c, INSTR: 0x00d31313, REG x6: 0x000000147cf26000
PC: 0x0000000080000120, INSTR: 0x56730313, REG x6: 0x000000147cf26567
PC: 0x0000000080000124, INSTR: 0x00e31313, REG x6: 0x00051f3c9959c000
PC: 0x0000000080000128, INSTR: 0x99530313, REG x6: 0x00051f3c9959b995
PC: 0x000000008000012c, INSTR: 0x00c31313, REG x6: 0x51f3c9959b995000
PC: 0x0000000080000130, INSTR: 0xf8630313, REG x6: 0x51f3c9959b994f86
PC: 0x0000000080000134, INSTR: 0x009e23b7, REG x7: 0x00000000009e2000
PC: 0x0000000080000138, INSTR: 0xe3f3839b, REG x7: 0x00000000009e1e3f
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x00000009e1e3f000
PC: 0x0000000080000140, INSTR: 0x25138393, REG x7: 0x00000009e1e3f251
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0x00009e1e3f251000
PC: 0x0000000080000148, INSTR: 0x5a138393, REG x7: 0x00009e1e3f2515a1
PC: 0x000000008000014c, INSTR: 0x00d39393, REG x7: 0x13c3c7e4a2b42000
PC: 0x0000000080000150, INSTR: 0x58138393, REG x7: 0x13c3c7e4a2b42581
PC: 0x0000000080000154, INSTR: 0xffc4a437, REG x8: 0xffffffffffc4a000
PC: 0x0000000080000158, INSTR: 0xe8f4041b, REG x8: 0xffffffffffc49e8f
PC: 0x000000008000015c, INSTR: 0x00e41413, REG x8: 0xfffffff127a3c000
PC: 0x0000000080000160, INSTR: 0x3bb40413, REG x8: 0xfffffff127a3c3bb
PC: 0x0000000080000164, INSTR: 0x00d41413, REG x8: 0xfffe24f478776000
PC: 0x0000000080000168, INSTR: 0xaf140413, REG x8: 0xfffe24f478775af1
PC: 0x000000008000016c, INSTR: 0x00d41413, REG x8: 0xc49e8f0eeb5e2000
PC: 0x0000000080000170, INSTR: 0x98540413, REG x8: 0xc49e8f0eeb5e1985
PC: 0x0000000080000174, INSTR: 0xffdf64b7, REG x9: 0xffffffffffdf6000
PC: 0x0000000080000178, INSTR: 0x3774849b, REG x9: 0xffffffffffdf6377
PC: 0x000000008000017c, INSTR: 0x01049493, REG x9: 0xffffffdf63770000
PC: 0x0000000080000180, INSTR: 0x34548493, REG x9: 0xffffffdf63770345
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0xfffdf63770345000
PC: 0x0000000080000188, INSTR: 0xf2f48493, REG x9: 0xfffdf63770344f2f
PC: 0x000000008000018c, INSTR: 0x00c49493, REG x9: 0xdf63770344f2f000
PC: 0x0000000080000190, INSTR: 0xd0448493, REG x9: 0xdf63770344f2ed04
PC: 0x0000000080000194, INSTR: 0xfbe18537, REG x10: 0xfffffffffbe18000
PC: 0x0000000080000198, INSTR: 0x5695051b, REG x10: 0xfffffffffbe18569
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0xffffffbe18569000
PC: 0x00000000800001a0, INSTR: 0x76f50513, REG x10: 0xffffffbe1856976f
PC: 0x00000000800001a4, INSTR: 0x00c51513, REG x10: 0xfffbe1856976f000
PC: 0x00000000800001a8, INSTR: 0xc0d50513, REG x10: 0xfffbe1856976ec0d
PC: 0x00000000800001ac, INSTR: 0x00c51513, REG x10: 0xbe1856976ec0d000
PC: 0x00000000800001b0, INSTR: 0x8fd50513, REG x10: 0xbe1856976ec0c8fd
PC: 0x00000000800001b4, INSTR: 0x869005b7, REG x11: 0xffffffff86900000
PC: 0x00000000800001b8, INSTR: 0x9655859b, REG x11: 0xffffffff868ff965
PC: 0x00000000800001bc, INSTR: 0x00e59593, REG x11: 0xffffe1a3fe594000
PC: 0x00000000800001c0, INSTR: 0xc0958593, REG x11: 0xffffe1a3fe593c09
PC: 0x00000000800001c4, INSTR: 0x00f59593, REG x11: 0xf0d1ff2c9e048000
PC: 0x00000000800001c8, INSTR: 0x80058593, REG x11: 0xf0d1ff2c9e047800
PC: 0x00000000800001cc, INSTR: 0xa9758593, REG x11: 0xf0d1ff2c9e047297
PC: 0x00000000800001d0, INSTR: 0xfff72637, REG x12: 0xfffffffffff72000
PC: 0x00000000800001d4, INSTR: 0x5db6061b, REG x12: 0xfffffffffff725db
PC: 0x00000000800001d8, INSTR: 0x01161613, REG x12: 0xffffffee4bb60000
PC: 0x00000000800001dc, INSTR: 0x7ef60613, REG x12: 0xffffffee4bb607ef
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0xfffee4bb607ef000
PC: 0x00000000800001e4, INSTR: 0x72560613, REG x12: 0xfffee4bb607ef725
PC: 0x00000000800001e8, INSTR: 0x00c61613, REG x12: 0xee4bb607ef725000
PC: 0x00000000800001ec, INSTR: 0x81d60613, REG x12: 0xee4bb607ef72481d
PC: 0x00000000800001f0, INSTR: 0x006de6b7, REG x13: 0x00000000006de000
PC: 0x00000000800001f4, INSTR: 0x89f6869b, REG x13: 0x00000000006dd89f
PC: 0x00000000800001f8, INSTR: 0x00e69693, REG x13: 0x0000001b7627c000
PC: 0x00000000800001fc, INSTR: 0xb7568693, REG x13: 0x0000001b7627bb75
PC: 0x0000000080000200, INSTR: 0x00c69693, REG x13: 0x0001b7627bb75000
PC: 0x0000000080000204, INSTR: 0x0bf68693, REG x13: 0x0001b7627bb750bf
PC: 0x0000000080000208, INSTR: 0x00e69693, REG x13: 0x6dd89eedd42fc000
PC: 0x000000008000020c, INSTR: 0xca568693, REG x13: 0x6dd89eedd42fbca5
PC: 0x0000000080000210, INSTR: 0xc9cd5737, REG x14: 0xffffffffc9cd5000
PC: 0x0000000080000214, INSTR: 0x00471713, REG x14: 0xfffffffc9cd50000
PC: 0x0000000080000218, INSTR: 0xa9170713, REG x14: 0xfffffffc9cd4fa91
PC: 0x000000008000021c, INSTR: 0x00c71713, REG x14: 0xffffc9cd4fa91000
PC: 0x0000000080000220, INSTR: 0x3e170713, REG x14: 0xffffc9cd4fa913e1
PC: 0x0000000080000224, INSTR: 0x00c71713, REG x14: 0xfc9cd4fa913e1000
PC: 0x0000000080000228, INSTR: 0x73270713, REG x14: 0xfc9cd4fa913e1732
PC: 0x000000008000022c, INSTR: 0x80dbb7b7, REG x15: 0xffffffff80dbb000
PC: 0x0000000080000230, INSTR: 0x4c97879b, REG x15: 0xffffffff80dbb4c9
PC: 0x0000000080000234, INSTR: 0x00e79793, REG x15: 0xffffe036ed324000
PC: 0x0000000080000238, INSTR: 0x63578793, REG x15: 0xffffe036ed324635
PC: 0x000000008000023c, INSTR: 0x01179793, REG x15: 0xc06dda648c6a0000
PC: 0x0000000080000240, INSTR: 0x80078793, REG x15: 0xc06dda648c69f800
PC: 0x0000000080000244, INSTR: 0xfdd78793, REG x15: 0xc06dda648c69f7dd
PC: 0x0000000080000248, INSTR: 0xfd27c837, REG x16: 0xfffffffffd27c000
PC: 0x000000008000024c, INSTR: 0xb0b8081b, REG x16: 0xfffffffffd27bb0b
PC: 0x0000000080000250, INSTR: 0x00c81813, REG x16: 0xffffffd27bb0b000
PC: 0x0000000080000254, INSTR: 0x92780813, REG x16: 0xffffffd27bb0a927
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xfffd27bb0a927000
PC: 0x000000008000025c, INSTR: 0x40f80813, REG x16: 0xfffd27bb0a92740f
PC: 0x0000000080000260, INSTR: 0x00c81813, REG x16: 0xd27bb0a92740f000
PC: 0x0000000080000264, INSTR: 0x43580813, REG x16: 0xd27bb0a92740f435
PC: 0x0000000080000268, INSTR: 0x0020d8b7, REG x17: 0x000000000020d000
PC: 0x000000008000026c, INSTR: 0x8098889b, REG x17: 0x000000000020c809
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0x000000020c809000
PC: 0x0000000080000274, INSTR: 0xea988893, REG x17: 0x000000020c808ea9
