PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0xb7318fd03dc89000
PC: 0x0000000080000120, INSTR: 0x24d30313, REG x6: 0xb7318fd03dc8924d
PC: 0x0000000080000124, INSTR: 0x753603b7, REG x7: 0x0000000075360000
PC: 0x0000000080000128, INSTR: 0xc153839b, REG x7: 0x000000007535fc15
PC: 0x000000008000012c, INSTR: 0x00c39393, REG x7: 0x000007535fc15000
PC: 0x0000000080000130, INSTR: 0x29138393, REG x7: 0x000007535fc15291
PC: 0x0000000080000134, INSTR: 0x01039393, REG x7: 0x07535fc152910000
PC: 0x0000000080000138, INSTR: 0x70d38393, REG x7: 0x07535fc15291070d
PC: 0x000000008000013c, INSTR: 0x00239393, REG x7: 0x1d4d7f054a441c34
PC: 0x0000000080000140, INSTR: 0xfe862437, REG x8: 0xfffffffffe862000
PC: 0x0000000080000144, INSTR: 0x6454041b, REG x8: 0xfffffffffe862645
PC: 0x0000000080000148, INSTR: 0x00c41413, REG x8: 0xffffffe862645000
PC: 0x000000008000014c, INSTR: 0x08740413, REG x8: 0xffffffe862645087
PC: 0x0000000080000150, INSTR: 0x00e41413, REG x8: 0xfffa18991421c000
PC: 0x0000000080000154, INSTR: 0x8ef40413, REG x8: 0xfffa18991421b8ef
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xa18991421b8ef000
PC: 0x000000008000015c, INSTR: 0x97e40413, REG x8: 0xa18991421b8ee97e
PC: 0x0000000080000160, INSTR: 0x000eb4b7, REG x9: 0x00000000000eb000
PC: 0x0000000080000164, INSTR: 0x9714849b, REG x9: 0x00000000000ea971
PC: 0x0000000080000168, INSTR: 0x00e49493, REG x9: 0x00000003aa5c4000
PC: 0x000000008000016c, INSTR: 0x91548493, REG x9: 0x00000003aa5c3915
PC: 0x0000000080000170, INSTR: 0x00d49493, REG x9: 0x0000754b8722a000
PC: 0x0000000080000174, INSTR: 0xad148493, REG x9: 0x0000754b87229ad1
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0x0754b87229ad1000
PC: 0x000000008000017c, INSTR: 0x94d48493, REG x9: 0x0754b87229ad094d
PC: 0x0000000080000180, INSTR: 0xff99e537, REG x10: 0xffffffffff99e000
PC: 0x0000000080000184, INSTR: 0x33f5051b, REG x10: 0xffffffffff99e33f
PC: 0x0000000080000188, INSTR: 0x00e51513, REG x10: 0xffffffe678cfc000
PC: 0x000000008000018c, INSTR: 0x8b350513, REG x10: 0xffffffe678cfb8b3
PC: 0x0000000080000190, INSTR: 0x00d51513, REG x10: 0xfffccf19f7166000
PC: 0x0000000080000194, INSTR: 0xca750513, REG x10: 0xfffccf19f7165ca7
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0x99e33ee2cb94e000
PC: 0x000000008000019c, INSTR: 0x24c50513, REG x10: 0x99e33ee2cb94e24c
PC: 0x00000000800001a0, INSTR: 0xfe3ab5b7, REG x11: 0xfffffffffe3ab000
PC: 0x00000000800001a4, INSTR: 0x44d5859b, REG x11: 0xfffffffffe3ab44d
PC: 0x00000000800001a8, INSTR: 0x00d59593, REG x11: 0xffffffc75689a000
PC: 0x00000000800001ac, INSTR: 0xaf358593, REG x11: 0xffffffc756899af3
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0xfffc756899af3000
PC: 0x00000000800001b4, INSTR: 0x2a958593, REG x11: 0xfffc756899af32a9
PC: 0x00000000800001b8, INSTR: 0x00d59593, REG x11: 0x8ead1335e6552000
PC: 0x00000000800001bc, INSTR: 0xc0b58593, REG x11: 0x8ead1335e6551c0b
PC: 0x00000000800001c0, INSTR: 0x000f7637, REG x12: 0x00000000000f7000
PC: 0x00000000800001c4, INSTR: 0x18b6061b, REG x12: 0x00000000000f718b
PC: 0x00000000800001c8, INSTR: 0x00d61613, REG x12: 0x00000001ee316000
PC: 0x00000000800001cc, INSTR: 0x14d60613, REG x12: 0x00000001ee31614d
PC: 0x00000000800001d0, INSTR: 0x00d61613, REG x12: 0x00003dc62c29a000
PC: 0x00000000800001d4, INSTR: 0xc8760613, REG x12: 0x00003dc62c299c87
PC: 0x00000000800001d8, INSTR: 0x01161613, REG x12: 0x7b8c5853390e0000
PC: 0x00000000800001dc, INSTR: 0x78c60613, REG x12: 0x7b8c5853390e078c
PC: 0x00000000800001e0, INSTR: 0xfcca96b7, REG x13: 0xfffffffffcca9000
PC: 0x00000000800001e4, INSTR: 0x50b6869b, REG x13: 0xfffffffffcca950b
PC: 0x00000000800001e8, INSTR: 0x00c69693, REG x13: 0xffffffcca950b000
