PC: 0x0000000080000118, INSTR: 0x00c31313, REG x6: 0xfffffff9c0d31000
PC: 0x000000008000011c, INSTR: 0xb3530313, REG x6: 0xfffffff9c0d30b35
PC: 0x0000000080000120, INSTR: 0x00d31313, REG x6: 0xffff381a6166a000
PC: 0x0000000080000124, INSTR: 0x86330313, REG x6: 0xffff381a61669863
PC: 0x0000000080000128, INSTR: 0x00e31313, REG x6: 0xce069859a618c000
PC: 0x000000008000012c, INSTR: 0x2b330313, REG x6: 0xce069859a618c2b3
PC: 0x0000000080000130, INSTR: 0x0048f3b7, REG x7: 0x000000000048f000
PC: 0x0000000080000134, INSTR: 0x91b3839b, REG x7: 0x000000000048e91b
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0x000000048e91b000
PC: 0x000000008000013c, INSTR: 0xfa138393, REG x7: 0x000000048e91afa1
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x000048e91afa1000
PC: 0x0000000080000144, INSTR: 0x88d38393, REG x7: 0x000048e91afa088d
PC: 0x0000000080000148, INSTR: 0x00f39393, REG x7: 0x24748d7d04468000
PC: 0x000000008000014c, INSTR: 0x9fe38393, REG x7: 0x24748d7d044679fe
PC: 0x0000000080000150, INSTR: 0xe2ebc437, REG x8: 0xffffffffe2ebc000
PC: 0x0000000080000154, INSTR: 0x7534041b, REG x8: 0xffffffffe2ebc753
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xfffffe2ebc753000
PC: 0x000000008000015c, INSTR: 0x6c540413, REG x8: 0xfffffe2ebc7536c5
PC: 0x0000000080000160, INSTR: 0x00f41413, REG x8: 0xff175e3a9b628000
PC: 0x0000000080000164, INSTR: 0x54b40413, REG x8: 0xff175e3a9b62854b
PC: 0x0000000080000168, INSTR: 0x00241413, REG x8: 0xfc5d78ea6d8a152c
PC: 0x000000008000016c, INSTR: 0xffeb44b7, REG x9: 0xffffffffffeb4000
PC: 0x0000000080000170, INSTR: 0x4934849b, REG x9: 0xffffffffffeb4493
