PC: 0x0000000080000118, INSTR: 0x00d31313, REG x6: 0xffffffcdcb3ce000
PC: 0x000000008000011c, INSTR: 0xe1730313, REG x6: 0xffffffcdcb3cde17
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0xfffcdcb3cde17000
PC: 0x0000000080000124, INSTR: 0xbff30313, REG x6: 0xfffcdcb3cde16bff
PC: 0x0000000080000128, INSTR: 0x00c31313, REG x6: 0xcdcb3cde16bff000
PC: 0x000000008000012c, INSTR: 0xa0930313, REG x6: 0xcdcb3cde16bfea09
PC: 0x0000000080000130, INSTR: 0xff4e03b7, REG x7: 0xffffffffff4e0000
PC: 0x0000000080000134, INSTR: 0x5bb3839b, REG x7: 0xffffffffff4e05bb
PC: 0x0000000080000138, INSTR: 0x00d39393, REG x7: 0xffffffe9c0b76000
PC: 0x000000008000013c, INSTR: 0x1cb38393, REG x7: 0xffffffe9c0b761cb
PC: 0x0000000080000140, INSTR: 0x00e39393, REG x7: 0xfffa702dd872c000
PC: 0x0000000080000144, INSTR: 0xcb138393, REG x7: 0xfffa702dd872bcb1
PC: 0x0000000080000148, INSTR: 0x00c39393, REG x7: 0xa702dd872bcb1000
PC: 0x000000008000014c, INSTR: 0x54e38393, REG x7: 0xa702dd872bcb154e
PC: 0x0000000080000150, INSTR: 0xff309437, REG x8: 0xffffffffff309000
PC: 0x0000000080000154, INSTR: 0x2dd4041b, REG x8: 0xffffffffff3092dd
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xfffffff3092dd000
PC: 0x000000008000015c, INSTR: 0xb1340413, REG x8: 0xfffffff3092dcb13
PC: 0x0000000080000160, INSTR: 0x00e41413, REG x8: 0xfffcc24b72c4c000
PC: 0x0000000080000164, INSTR: 0x3ed40413, REG x8: 0xfffcc24b72c4c3ed
PC: 0x0000000080000168, INSTR: 0x00c41413, REG x8: 0xcc24b72c4c3ed000
PC: 0x000000008000016c, INSTR: 0x8ac40413, REG x8: 0xcc24b72c4c3ec8ac
PC: 0x0000000080000170, INSTR: 0xfee684b7, REG x9: 0xfffffffffee68000
PC: 0x0000000080000174, INSTR: 0x8814849b, REG x9: 0xfffffffffee67881
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xffffffee67881000
PC: 0x000000008000017c, INSTR: 0xaab48493, REG x9: 0xffffffee67880aab
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0xfffee67880aab000
PC: 0x0000000080000184, INSTR: 0x26f48493, REG x9: 0xfffee67880aab26f
PC: 0x0000000080000188, INSTR: 0x00d49493, REG x9: 0xdccf1015564de000
PC: 0x000000008000018c, INSTR: 0xf9148493, REG x9: 0xdccf1015564ddf91
PC: 0x0000000080000190, INSTR: 0xfef21537, REG x10: 0xfffffffffef21000
PC: 0x0000000080000194, INSTR: 0x77d5051b, REG x10: 0xfffffffffef2177d
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xffffffef2177d000
PC: 0x000000008000019c, INSTR: 0x9cb50513, REG x10: 0xffffffef2177c9cb
PC: 0x00000000800001a0, INSTR: 0x00c51513, REG x10: 0xfffef2177c9cb000
PC: 0x00000000800001a4, INSTR: 0x98350513, REG x10: 0xfffef2177c9ca983
PC: 0x00000000800001a8, INSTR: 0x00c51513, REG x10: 0xef2177c9ca983000
PC: 0x00000000800001ac, INSTR: 0xc3950513, REG x10: 0xef2177c9ca982c39
PC: 0x00000000800001b0, INSTR: 0x02be55b7, REG x11: 0x0000000002be5000
PC: 0x00000000800001b4, INSTR: 0x1d55859b, REG x11: 0x0000000002be51d5
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0x0000002be51d5000
PC: 0x00000000800001bc, INSTR: 0x1b558593, REG x11: 0x0000002be51d51b5
PC: 0x00000000800001c0, INSTR: 0x00d59593, REG x11: 0x00057ca3aa36a000
PC: 0x00000000800001c4, INSTR: 0x64b58593, REG x11: 0x00057ca3aa36a64b
PC: 0x00000000800001c8, INSTR: 0x00c59593, REG x11: 0x57ca3aa36a64b000
PC: 0x00000000800001cc, INSTR: 0x2a658593, REG x11: 0x57ca3aa36a64b2a6
PC: 0x00000000800001d0, INSTR: 0xffc07637, REG x12: 0xffffffffffc07000
PC: 0x00000000800001d4, INSTR: 0xcdb6061b, REG x12: 0xffffffffffc06cdb
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0xfffffffc06cdb000
PC: 0x00000000800001dc, INSTR: 0xa9160613, REG x12: 0xfffffffc06cdaa91
PC: 0x00000000800001e0, INSTR: 0x00e61613, REG x12: 0xffff01b36aa44000
PC: 0x00000000800001e4, INSTR: 0x11760613, REG x12: 0xffff01b36aa44117
PC: 0x00000000800001e8, INSTR: 0x00d61613, REG x12: 0xe0366d548822e000
PC: 0x00000000800001ec, INSTR: 0x9be60613, REG x12: 0xe0366d548822d9be
PC: 0x00000000800001f0, INSTR: 0x4d3e86b7, REG x13: 0x000000004d3e8000
PC: 0x00000000800001f4, INSTR: 0xfb76869b, REG x13: 0x000000004d3e7fb7
PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0x000004d3e7fb7000
PC: 0x00000000800001fc, INSTR: 0x76368693, REG x13: 0x000004d3e7fb7763
PC: 0x0000000080000200, INSTR: 0x01369693, REG x13: 0x269f3fdbbb180000
PC: 0x0000000080000204, INSTR: 0x9d068693, REG x13: 0x269f3fdbbb17f9d0
PC: 0x0000000080000208, INSTR: 0x00af6737, REG x14: 0x0000000000af6000
PC: 0x000000008000020c, INSTR: 0x10f7071b, REG x14: 0x0000000000af610f
PC: 0x0000000080000210, INSTR: 0x00f71713, REG x14: 0x00000057b0878000
PC: 0x0000000080000214, INSTR: 0x51770713, REG x14: 0x00000057b0878517
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x00057b0878517000
PC: 0x000000008000021c, INSTR: 0x9ab70713, REG x14: 0x00057b08785169ab
PC: 0x0000000080000220, INSTR: 0x00c71713, REG x14: 0x57b08785169ab000
PC: 0x0000000080000224, INSTR: 0xe3870713, REG x14: 0x57b08785169aae38
PC: 0x0000000080000228, INSTR: 0x01d8f7b7, REG x15: 0x0000000001d8f000
PC: 0x000000008000022c, INSTR: 0x72d7879b, REG x15: 0x0000000001d8f72d
PC: 0x0000000080000230, INSTR: 0x01079793, REG x15: 0x000001d8f72d0000
PC: 0x0000000080000234, INSTR: 0x59578793, REG x15: 0x000001d8f72d0595
PC: 0x0000000080000238, INSTR: 0x00e79793, REG x15: 0x00763dcb41654000
PC: 0x000000008000023c, INSTR: 0x5e378793, REG x15: 0x00763dcb416545e3
PC: 0x0000000080000240, INSTR: 0x00879793, REG x15: 0x763dcb416545e300
PC: 0x0000000080000244, INSTR: 0xffcdc837, REG x16: 0xffffffffffcdc000
PC: 0x0000000080000248, INSTR: 0xd0b8081b, REG x16: 0xffffffffffcdbd0b
PC: 0x000000008000024c, INSTR: 0x00c81813, REG x16: 0xfffffffcdbd0b000
PC: 0x0000000080000250, INSTR: 0xa3580813, REG x16: 0xfffffffcdbd0aa35
PC: 0x0000000080000254, INSTR: 0x00e81813, REG x16: 0xffff36f42a8d4000
PC: 0x0000000080000258, INSTR: 0xd6b80813, REG x16: 0xffff36f42a8d3d6b
PC: 0x000000008000025c, INSTR: 0x00e81813, REG x16: 0xcdbd0aa34f5ac000
PC: 0x0000000080000260, INSTR: 0xaf980813, REG x16: 0xcdbd0aa34f5abaf9
PC: 0x0000000080000264, INSTR: 0xffcb58b7, REG x17: 0xffffffffffcb5000
PC: 0x0000000080000268, INSTR: 0xf278889b, REG x17: 0xffffffffffcb4f27
PC: 0x000000008000026c, INSTR: 0x00e89893, REG x17: 0xfffffff2d3c9c000
PC: 0x0000000080000270, INSTR: 0x97988893, REG x17: 0xfffffff2d3c9b979
PC: 0x0000000080000274, INSTR: 0x00c89893, REG x17: 0xffff2d3c9b979000
PC: 0x0000000080000278, INSTR: 0xebb88893, REG x17: 0xffff2d3c9b978ebb
PC: 0x000000008000027c, INSTR: 0x00e89893, REG x17: 0xcb4f26e5e3aec000
PC: 0x0000000080000280, INSTR: 0xeb988893, REG x17: 0xcb4f26e5e3aebeb9
PC: 0x0000000080000284, INSTR: 0xffe29937, REG x18: 0xffffffffffe29000
PC: 0x0000000080000288, INSTR: 0x2779091b, REG x18: 0xffffffffffe29277
PC: 0x000000008000028c, INSTR: 0x00c91913, REG x18: 0xfffffffe29277000
PC: 0x0000000080000290, INSTR: 0xd1190913, REG x18: 0xfffffffe29276d11
PC: 0x0000000080000294, INSTR: 0x00d91913, REG x18: 0xffffc524eda22000
PC: 0x0000000080000298, INSTR: 0xdc590913, REG x18: 0xffffc524eda21dc5
PC: 0x000000008000029c, INSTR: 0x00f91913, REG x18: 0xe29276d10ee28000
PC: 0x00000000800002a0, INSTR: 0x61e90913, REG x18: 0xe29276d10ee2861e
