PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0xfffe41b3741b1000
PC: 0x0000000080000120, INSTR: 0x53b30313, REG x6: 0xfffe41b3741b153b
PC: 0x0000000080000124, INSTR: 0x00e31313, REG x6: 0x906cdd06c54ec000
PC: 0x0000000080000128, INSTR: 0x3ae30313, REG x6: 0x906cdd06c54ec3ae
PC: 0x000000008000012c, INSTR: 0x8b1253b7, REG x7: 0xffffffff8b125000
PC: 0x0000000080000130, INSTR: 0x00439393, REG x7: 0xfffffff8b1250000
PC: 0x0000000080000134, INSTR: 0xa3738393, REG x7: 0xfffffff8b124fa37
PC: 0x0000000080000138, INSTR: 0x00f39393, REG x7: 0xfffc58927d1b8000
PC: 0x000000008000013c, INSTR: 0xddf38393, REG x7: 0xfffc58927d1b7ddf
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0xc58927d1b7ddf000
PC: 0x0000000080000144, INSTR: 0x87438393, REG x7: 0xc58927d1b7dde874
PC: 0x0000000080000148, INSTR: 0x01040437, REG x8: 0x0000000001040000
PC: 0x000000008000014c, INSTR: 0x6374041b, REG x8: 0x0000000001040637
PC: 0x0000000080000150, INSTR: 0x00d41413, REG x8: 0x0000002080c6e000
PC: 0x0000000080000154, INSTR: 0xed740413, REG x8: 0x0000002080c6ded7
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x0002080c6ded7000
PC: 0x000000008000015c, INSTR: 0x2db40413, REG x8: 0x0002080c6ded72db
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x2080c6ded72db000
PC: 0x0000000080000164, INSTR: 0xcda40413, REG x8: 0x2080c6ded72dacda
PC: 0x0000000080000168, INSTR: 0xfc0674b7, REG x9: 0xfffffffffc067000
PC: 0x000000008000016c, INSTR: 0xd154849b, REG x9: 0xfffffffffc066d15
PC: 0x0000000080000170, INSTR: 0x00d49493, REG x9: 0xffffff80cda2a000
PC: 0x0000000080000174, INSTR: 0xced48493, REG x9: 0xffffff80cda29ced
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xfff80cda29ced000
PC: 0x000000008000017c, INSTR: 0xfe748493, REG x9: 0xfff80cda29cecfe7
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x80cda29cecfe7000
PC: 0x0000000080000184, INSTR: 0x41048493, REG x9: 0x80cda29cecfe7410
PC: 0x0000000080000188, INSTR: 0x0166d537, REG x10: 0x000000000166d000
PC: 0x000000008000018c, INSTR: 0x8635051b, REG x10: 0x000000000166c863
PC: 0x0000000080000190, INSTR: 0x00d51513, REG x10: 0x0000002cd90c6000
PC: 0x0000000080000194, INSTR: 0xbf550513, REG x10: 0x0000002cd90c5bf5
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0x0002cd90c5bf5000
PC: 0x000000008000019c, INSTR: 0x99350513, REG x10: 0x0002cd90c5bf4993
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0x59b218b7e9326000
PC: 0x00000000800001a4, INSTR: 0x4a450513, REG x10: 0x59b218b7e93264a4
PC: 0x00000000800001a8, INSTR: 0xff5f25b7, REG x11: 0xffffffffff5f2000
PC: 0x00000000800001ac, INSTR: 0x9455859b, REG x11: 0xffffffffff5f1945
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0xfffffff5f1945000
PC: 0x00000000800001b4, INSTR: 0x8b158593, REG x11: 0xfffffff5f19448b1
PC: 0x00000000800001b8, INSTR: 0x00e59593, REG x11: 0xfffd7c65122c4000
PC: 0x00000000800001bc, INSTR: 0x48d58593, REG x11: 0xfffd7c65122c448d
PC: 0x00000000800001c0, INSTR: 0x00c59593, REG x11: 0xd7c65122c448d000
PC: 0x00000000800001c4, INSTR: 0x8d758593, REG x11: 0xd7c65122c448c8d7
PC: 0x00000000800001c8, INSTR: 0x010ca637, REG x12: 0x00000000010ca000
PC: 0x00000000800001cc, INSTR: 0x7096061b, REG x12: 0x00000000010ca709
PC: 0x00000000800001d0, INSTR: 0x00c61613, REG x12: 0x00000010ca709000
PC: 0x00000000800001d4, INSTR: 0x8f560613, REG x12: 0x00000010ca7088f5
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0x00010ca7088f5000
PC: 0x00000000800001dc, INSTR: 0x73160613, REG x12: 0x00010ca7088f5731
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0x10ca7088f5731000
PC: 0x00000000800001e4, INSTR: 0x95f60613, REG x12: 0x10ca7088f573095f
PC: 0x00000000800001e8, INSTR: 0xffe426b7, REG x13: 0xffffffffffe42000
PC: 0x00000000800001ec, INSTR: 0x39b6869b, REG x13: 0xffffffffffe4239b
PC: 0x00000000800001f0, INSTR: 0x01069693, REG x13: 0xffffffe4239b0000
PC: 0x00000000800001f4, INSTR: 0x42768693, REG x13: 0xffffffe4239b0427
PC: 0x00000000800001f8, INSTR: 0x00c69693, REG x13: 0xfffe4239b0427000
