PC: 0x000000008000011c, INSTR: 0x00d31313, REG x6: 0x125a7f4b6035a000
PC: 0x0000000080000120, INSTR: 0xefd30313, REG x6: 0x125a7f4b60359efd
PC: 0x0000000080000124, INSTR: 0xfd2bd3b7, REG x7: 0xfffffffffd2bd000
PC: 0x0000000080000128, INSTR: 0xf353839b, REG x7: 0xfffffffffd2bcf35
PC: 0x000000008000012c, INSTR: 0x00d39393, REG x7: 0xffffffa579e6a000
PC: 0x0000000080000130, INSTR: 0x71538393, REG x7: 0xffffffa579e6a715
PC: 0x0000000080000134, INSTR: 0x00c39393, REG x7: 0xfffa579e6a715000
PC: 0x0000000080000138, INSTR: 0x22b38393, REG x7: 0xfffa579e6a71522b
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0xa579e6a71522b000
PC: 0x0000000080000140, INSTR: 0xf5d38393, REG x7: 0xa579e6a71522af5d
PC: 0x0000000080000144, INSTR: 0xffe78437, REG x8: 0xffffffffffe78000
PC: 0x0000000080000148, INSTR: 0x5cf4041b, REG x8: 0xffffffffffe785cf
PC: 0x000000008000014c, INSTR: 0x00c41413, REG x8: 0xfffffffe785cf000
PC: 0x0000000080000150, INSTR: 0x0d140413, REG x8: 0xfffffffe785cf0d1
PC: 0x0000000080000154, INSTR: 0x00c41413, REG x8: 0xffffe785cf0d1000
PC: 0x0000000080000158, INSTR: 0x29340413, REG x8: 0xffffe785cf0d1293
PC: 0x000000008000015c, INSTR: 0x01241413, REG x8: 0x9e173c344a4c0000
PC: 0x0000000080000160, INSTR: 0x00d40413, REG x8: 0x9e173c344a4c000d
PC: 0x0000000080000164, INSTR: 0xfe29b4b7, REG x9: 0xfffffffffe29b000
PC: 0x0000000080000168, INSTR: 0xc3b4849b, REG x9: 0xfffffffffe29ac3b
PC: 0x000000008000016c, INSTR: 0x00c49493, REG x9: 0xffffffe29ac3b000
PC: 0x0000000080000170, INSTR: 0x77348493, REG x9: 0xffffffe29ac3b773
PC: 0x0000000080000174, INSTR: 0x00d49493, REG x9: 0xfffc535876ee6000
PC: 0x0000000080000178, INSTR: 0x9a548493, REG x9: 0xfffc535876ee59a5
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0x8a6b0eddcb34a000
PC: 0x0000000080000180, INSTR: 0x26248493, REG x9: 0x8a6b0eddcb34a262
PC: 0x0000000080000184, INSTR: 0x008b3537, REG x10: 0x00000000008b3000
PC: 0x0000000080000188, INSTR: 0xfa55051b, REG x10: 0x00000000008b2fa5
PC: 0x000000008000018c, INSTR: 0x00e51513, REG x10: 0x00000022cbe94000
PC: 0x0000000080000190, INSTR: 0xd1150513, REG x10: 0x00000022cbe93d11
PC: 0x0000000080000194, INSTR: 0x00c51513, REG x10: 0x00022cbe93d11000
PC: 0x0000000080000198, INSTR: 0xab350513, REG x10: 0x00022cbe93d10ab3
PC: 0x000000008000019c, INSTR: 0x00d51513, REG x10: 0x4597d27a21566000
PC: 0x00000000800001a0, INSTR: 0xdae50513, REG x10: 0x4597d27a21565dae
PC: 0x00000000800001a4, INSTR: 0xff9805b7, REG x11: 0xffffffffff980000
PC: 0x00000000800001a8, INSTR: 0x3115859b, REG x11: 0xffffffffff980311
PC: 0x00000000800001ac, INSTR: 0x00e59593, REG x11: 0xffffffe600c44000
PC: 0x00000000800001b0, INSTR: 0x55f58593, REG x11: 0xffffffe600c4455f
PC: 0x00000000800001b4, INSTR: 0x00c59593, REG x11: 0xfffe600c4455f000
PC: 0x00000000800001b8, INSTR: 0x3df58593, REG x11: 0xfffe600c4455f3df
PC: 0x00000000800001bc, INSTR: 0x00e59593, REG x11: 0x980311157cf7c000
PC: 0x00000000800001c0, INSTR: 0xcba58593, REG x11: 0x980311157cf7bcba
PC: 0x00000000800001c4, INSTR: 0xff887637, REG x12: 0xffffffffff887000
PC: 0x00000000800001c8, INSTR: 0x43d6061b, REG x12: 0xffffffffff88743d
PC: 0x00000000800001cc, INSTR: 0x00d61613, REG x12: 0xfffffff10e87a000
PC: 0x00000000800001d0, INSTR: 0x91960613, REG x12: 0xfffffff10e879919
PC: 0x00000000800001d4, INSTR: 0x00c61613, REG x12: 0xffff10e879919000
PC: 0x00000000800001d8, INSTR: 0x0af60613, REG x12: 0xffff10e8799190af
PC: 0x00000000800001dc, INSTR: 0x00d61613, REG x12: 0xe21d0f323215e000
PC: 0x00000000800001e0, INSTR: 0xbdd60613, REG x12: 0xe21d0f323215dbdd
PC: 0x00000000800001e4, INSTR: 0xafd3d6b7, REG x13: 0xffffffffafd3d000
PC: 0x00000000800001e8, INSTR: 0x00269693, REG x13: 0xfffffffebf4f4000
PC: 0x00000000800001ec, INSTR: 0x2b568693, REG x13: 0xfffffffebf4f42b5
PC: 0x00000000800001f0, INSTR: 0x00c69693, REG x13: 0xffffebf4f42b5000
PC: 0x00000000800001f4, INSTR: 0x25d68693, REG x13: 0xffffebf4f42b525d
