PC: 0x000000008000011c, INSTR: 0x00d31313, REG x6: 0xfffe30aca5316000
PC: 0x0000000080000120, INSTR: 0xfd130313, REG x6: 0xfffe30aca5315fd1
PC: 0x0000000080000124, INSTR: 0x00d31313, REG x6: 0xc61594a62bfa2000
PC: 0x0000000080000128, INSTR: 0xb2930313, REG x6: 0xc61594a62bfa1b29
PC: 0x000000008000012c, INSTR: 0x00c6b3b7, REG x7: 0x0000000000c6b000
PC: 0x0000000080000130, INSTR: 0x4373839b, REG x7: 0x0000000000c6b437
PC: 0x0000000080000134, INSTR: 0x00c39393, REG x7: 0x0000000c6b437000
PC: 0x0000000080000138, INSTR: 0x17938393, REG x7: 0x0000000c6b437179
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x0000c6b437179000
PC: 0x0000000080000140, INSTR: 0xc0138393, REG x7: 0x0000c6b437178c01
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0x0c6b437178c01000
PC: 0x0000000080000148, INSTR: 0xca738393, REG x7: 0x0c6b437178c00ca7
PC: 0x000000008000014c, INSTR: 0xfe614437, REG x8: 0xfffffffffe614000
PC: 0x0000000080000150, INSTR: 0xfd74041b, REG x8: 0xfffffffffe613fd7
PC: 0x0000000080000154, INSTR: 0x00c41413, REG x8: 0xffffffe613fd7000
PC: 0x0000000080000158, INSTR: 0xc2d40413, REG x8: 0xffffffe613fd6c2d
PC: 0x000000008000015c, INSTR: 0x00d41413, REG x8: 0xfffcc27fad85a000
PC: 0x0000000080000160, INSTR: 0x1c740413, REG x8: 0xfffcc27fad85a1c7
PC: 0x0000000080000164, INSTR: 0x00d41413, REG x8: 0x984ff5b0b438e000
PC: 0x0000000080000168, INSTR: 0xfe840413, REG x8: 0x984ff5b0b438dfe8
PC: 0x000000008000016c, INSTR: 0x001854b7, REG x9: 0x0000000000185000
PC: 0x0000000080000170, INSTR: 0xa074849b, REG x9: 0x0000000000184a07
PC: 0x0000000080000174, INSTR: 0x01049493, REG x9: 0x000000184a070000
PC: 0x0000000080000178, INSTR: 0x0bb48493, REG x9: 0x000000184a0700bb
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0x00030940e0176000
PC: 0x0000000080000180, INSTR: 0x99948493, REG x9: 0x00030940e0175999
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0x30940e0175999000
PC: 0x0000000080000188, INSTR: 0xec548493, REG x9: 0x30940e0175998ec5
PC: 0x000000008000018c, INSTR: 0xff869537, REG x10: 0xffffffffff869000
PC: 0x0000000080000190, INSTR: 0xb9d5051b, REG x10: 0xffffffffff868b9d
PC: 0x0000000080000194, INSTR: 0x00c51513, REG x10: 0xfffffff868b9d000
PC: 0x0000000080000198, INSTR: 0x54d50513, REG x10: 0xfffffff868b9d54d
PC: 0x000000008000019c, INSTR: 0x00f51513, REG x10: 0xfffc345ceaa68000
PC: 0x00000000800001a0, INSTR: 0x3a350513, REG x10: 0xfffc345ceaa683a3
PC: 0x00000000800001a4, INSTR: 0x00d51513, REG x10: 0x868b9d54d0746000
PC: 0x00000000800001a8, INSTR: 0x3b950513, REG x10: 0x868b9d54d07463b9
PC: 0x00000000800001ac, INSTR: 0x01d405b7, REG x11: 0x0000000001d40000
PC: 0x00000000800001b0, INSTR: 0x0955859b, REG x11: 0x0000000001d40095
PC: 0x00000000800001b4, INSTR: 0x00c59593, REG x11: 0x0000001d40095000
PC: 0x00000000800001b8, INSTR: 0x5b558593, REG x11: 0x0000001d400955b5
PC: 0x00000000800001bc, INSTR: 0x00c59593, REG x11: 0x0001d400955b5000
PC: 0x00000000800001c0, INSTR: 0x7c758593, REG x11: 0x0001d400955b57c7
PC: 0x00000000800001c4, INSTR: 0x00c59593, REG x11: 0x1d400955b57c7000
PC: 0x00000000800001c8, INSTR: 0x95658593, REG x11: 0x1d400955b57c6956
PC: 0x00000000800001cc, INSTR: 0xffce1637, REG x12: 0xffffffffffce1000
PC: 0x00000000800001d0, INSTR: 0x1976061b, REG x12: 0xffffffffffce1197
PC: 0x00000000800001d4, INSTR: 0x00e61613, REG x12: 0xfffffff38465c000
PC: 0x00000000800001d8, INSTR: 0xb5760613, REG x12: 0xfffffff38465bb57
PC: 0x00000000800001dc, INSTR: 0x00e61613, REG x12: 0xfffce1196ed5c000
PC: 0x00000000800001e0, INSTR: 0xf0d60613, REG x12: 0xfffce1196ed5bf0d
PC: 0x00000000800001e4, INSTR: 0x00c61613, REG x12: 0xce1196ed5bf0d000
PC: 0x00000000800001e8, INSTR: 0xcde60613, REG x12: 0xce1196ed5bf0ccde
PC: 0x00000000800001ec, INSTR: 0xf95636b7, REG x13: 0xfffffffff9563000
PC: 0x00000000800001f0, INSTR: 0xf296869b, REG x13: 0xfffffffff9562f29
PC: 0x00000000800001f4, INSTR: 0x00c69693, REG x13: 0xffffff9562f29000
PC: 0x00000000800001f8, INSTR: 0x8fd68693, REG x13: 0xffffff9562f288fd
PC: 0x00000000800001fc, INSTR: 0x00c69693, REG x13: 0xfff9562f288fd000
PC: 0x0000000080000200, INSTR: 0x9eb68693, REG x13: 0xfff9562f288fc9eb
PC: 0x0000000080000204, INSTR: 0x00c69693, REG x13: 0x9562f288fc9eb000
PC: 0x0000000080000208, INSTR: 0xb4368693, REG x13: 0x9562f288fc9eab43
PC: 0x000000008000020c, INSTR: 0x672bc737, REG x14: 0x00000000672bc000
PC: 0x0000000080000210, INSTR: 0x11f7071b, REG x14: 0x00000000672bc11f
PC: 0x0000000080000214, INSTR: 0x00c71713, REG x14: 0x00000672bc11f000
PC: 0x0000000080000218, INSTR: 0xd2170713, REG x14: 0x00000672bc11ed21
PC: 0x000000008000021c, INSTR: 0x00c71713, REG x14: 0x00672bc11ed21000
PC: 0x0000000080000220, INSTR: 0x70d70713, REG x14: 0x00672bc11ed2170d
