PC: 0x000000008000011c, INSTR: 0x34530313, REG x6: 0x0000000dbce09345
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x0000dbce09345000
PC: 0x0000000080000124, INSTR: 0xfb330313, REG x6: 0x0000dbce09344fb3
PC: 0x0000000080000128, INSTR: 0x00c31313, REG x6: 0x0dbce09344fb3000
PC: 0x000000008000012c, INSTR: 0x85430313, REG x6: 0x0dbce09344fb2854
PC: 0x0000000080000130, INSTR: 0x020893b7, REG x7: 0x0000000002089000
PC: 0x0000000080000134, INSTR: 0x2893839b, REG x7: 0x0000000002089289
PC: 0x0000000080000138, INSTR: 0x00d39393, REG x7: 0x0000004112512000
PC: 0x000000008000013c, INSTR: 0x3d738393, REG x7: 0x00000041125123d7
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x00041125123d7000
PC: 0x0000000080000144, INSTR: 0x37338393, REG x7: 0x00041125123d7373
PC: 0x0000000080000148, INSTR: 0x00c39393, REG x7: 0x41125123d7373000
PC: 0x000000008000014c, INSTR: 0x09f38393, REG x7: 0x41125123d737309f
PC: 0x0000000080000150, INSTR: 0x0194d437, REG x8: 0x000000000194d000
PC: 0x0000000080000154, INSTR: 0x80f4041b, REG x8: 0x000000000194c80f
PC: 0x0000000080000158, INSTR: 0x00e41413, REG x8: 0x000000653203c000
PC: 0x000000008000015c, INSTR: 0xd3940413, REG x8: 0x000000653203bd39
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x000653203bd39000
PC: 0x0000000080000164, INSTR: 0x47b40413, REG x8: 0x000653203bd3947b
PC: 0x0000000080000168, INSTR: 0x00c41413, REG x8: 0x653203bd3947b000
PC: 0x000000008000016c, INSTR: 0x72c40413, REG x8: 0x653203bd3947b72c
PC: 0x0000000080000170, INSTR: 0x439874b7, REG x9: 0x0000000043987000
PC: 0x0000000080000174, INSTR: 0xaf34849b, REG x9: 0x0000000043986af3
PC: 0x0000000080000178, INSTR: 0x00d49493, REG x9: 0x000008730d5e6000
PC: 0x000000008000017c, INSTR: 0xde948493, REG x9: 0x000008730d5e5de9
PC: 0x0000000080000180, INSTR: 0x01049493, REG x9: 0x08730d5e5de90000
PC: 0x0000000080000184, INSTR: 0xeb648493, REG x9: 0x08730d5e5de8feb6
PC: 0x0000000080000188, INSTR: 0x000f9537, REG x10: 0x00000000000f9000
PC: 0x000000008000018c, INSTR: 0xa295051b, REG x10: 0x00000000000f8a29
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0x00000000f8a29000
PC: 0x0000000080000194, INSTR: 0xfe550513, REG x10: 0x00000000f8a28fe5
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0x00000f8a28fe5000
PC: 0x000000008000019c, INSTR: 0x38950513, REG x10: 0x00000f8a28fe5389
PC: 0x00000000800001a0, INSTR: 0x00f51513, REG x10: 0x07c5147f29c48000
PC: 0x00000000800001a4, INSTR: 0x45850513, REG x10: 0x07c5147f29c48458
