PC: 0x0000000080000118, INSTR: 0x00c31313, REG x6: 0x0001d26e7a2c9000
PC: 0x000000008000011c, INSTR: 0xa3b30313, REG x6: 0x0001d26e7a2c8a3b
PC: 0x0000000080000120, INSTR: 0x00e31313, REG x6: 0x749b9e8b228ec000
PC: 0x0000000080000124, INSTR: 0x64d30313, REG x6: 0x749b9e8b228ec64d
PC: 0x0000000080000128, INSTR: 0xffeab3b7, REG x7: 0xffffffffffeab000
PC: 0x000000008000012c, INSTR: 0xe9b3839b, REG x7: 0xffffffffffeaae9b
PC: 0x0000000080000130, INSTR: 0x00e39393, REG x7: 0xfffffffaaba6c000
PC: 0x0000000080000134, INSTR: 0x24538393, REG x7: 0xfffffffaaba6c245
PC: 0x0000000080000138, INSTR: 0x00e39393, REG x7: 0xfffeaae9b0914000
PC: 0x000000008000013c, INSTR: 0x6f338393, REG x7: 0xfffeaae9b09146f3
PC: 0x0000000080000140, INSTR: 0x00d39393, REG x7: 0xd55d361228de6000
PC: 0x0000000080000144, INSTR: 0x9bc38393, REG x7: 0xd55d361228de59bc
PC: 0x0000000080000148, INSTR: 0xcacff437, REG x8: 0xffffffffcacff000
PC: 0x000000008000014c, INSTR: 0x00641413, REG x8: 0xfffffff2b3fc0000
PC: 0x0000000080000150, INSTR: 0xeeb40413, REG x8: 0xfffffff2b3fbfeeb
PC: 0x0000000080000154, INSTR: 0x00c41413, REG x8: 0xffff2b3fbfeeb000
PC: 0x0000000080000158, INSTR: 0xefd40413, REG x8: 0xffff2b3fbfeeaefd
PC: 0x000000008000015c, INSTR: 0x00c41413, REG x8: 0xf2b3fbfeeaefd000
PC: 0x0000000080000160, INSTR: 0xc5640413, REG x8: 0xf2b3fbfeeaefcc56
PC: 0x0000000080000164, INSTR: 0x00dbe4b7, REG x9: 0x0000000000dbe000
PC: 0x0000000080000168, INSTR: 0x9dd4849b, REG x9: 0x0000000000dbd9dd
PC: 0x000000008000016c, INSTR: 0x00c49493, REG x9: 0x0000000dbd9dd000
PC: 0x0000000080000170, INSTR: 0xe6b48493, REG x9: 0x0000000dbd9dce6b
PC: 0x0000000080000174, INSTR: 0x00d49493, REG x9: 0x0001b7b3b9cd6000
PC: 0x0000000080000178, INSTR: 0xadb48493, REG x9: 0x0001b7b3b9cd5adb
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0x36f67739ab5b6000
PC: 0x0000000080000180, INSTR: 0x53548493, REG x9: 0x36f67739ab5b6535
PC: 0x0000000080000184, INSTR: 0xa6e85537, REG x10: 0xffffffffa6e85000
PC: 0x0000000080000188, INSTR: 0x5855051b, REG x10: 0xffffffffa6e85585
PC: 0x000000008000018c, INSTR: 0x00e51513, REG x10: 0xffffe9ba15614000
PC: 0x0000000080000190, INSTR: 0xc3350513, REG x10: 0xffffe9ba15613c33
PC: 0x0000000080000194, INSTR: 0x00d51513, REG x10: 0xfd3742ac27866000
PC: 0x0000000080000198, INSTR: 0xb0f50513, REG x10: 0xfd3742ac27865b0f
PC: 0x000000008000019c, INSTR: 0x00351513, REG x10: 0xe9ba15613c32d878
PC: 0x00000000800001a0, INSTR: 0x075715b7, REG x11: 0x0000000007571000
PC: 0x00000000800001a4, INSTR: 0xbbb5859b, REG x11: 0x0000000007570bbb
PC: 0x00000000800001a8, INSTR: 0x00c59593, REG x11: 0x0000007570bbb000
PC: 0x00000000800001ac, INSTR: 0x3bf58593, REG x11: 0x0000007570bbb3bf
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0x0007570bbb3bf000
PC: 0x00000000800001b4, INSTR: 0xb0358593, REG x11: 0x0007570bbb3beb03
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0x7570bbb3beb03000
PC: 0x00000000800001bc, INSTR: 0xfcc58593, REG x11: 0x7570bbb3beb02fcc
PC: 0x00000000800001c0, INSTR: 0x67c09637, REG x12: 0x0000000067c09000
PC: 0x00000000800001c4, INSTR: 0x00261613, REG x12: 0x000000019f024000
PC: 0x00000000800001c8, INSTR: 0x73960613, REG x12: 0x000000019f024739
PC: 0x00000000800001cc, INSTR: 0x00c61613, REG x12: 0x000019f024739000
PC: 0x00000000800001d0, INSTR: 0x08b60613, REG x12: 0x000019f02473908b
PC: 0x00000000800001d4, INSTR: 0x00f61613, REG x12: 0x0cf81239c8458000
PC: 0x00000000800001d8, INSTR: 0xf1360613, REG x12: 0x0cf81239c8457f13
PC: 0x00000000800001dc, INSTR: 0x784f16b7, REG x13: 0x00000000784f1000
PC: 0x00000000800001e0, INSTR: 0x00369693, REG x13: 0x00000003c2788000
PC: 0x00000000800001e4, INSTR: 0xd2b68693, REG x13: 0x00000003c2787d2b
PC: 0x00000000800001e8, INSTR: 0x00d69693, REG x13: 0x0000784f0fa56000
PC: 0x00000000800001ec, INSTR: 0x84168693, REG x13: 0x0000784f0fa55841
PC: 0x00000000800001f0, INSTR: 0x01069693, REG x13: 0x784f0fa558410000
PC: 0x00000000800001f4, INSTR: 0x3e568693, REG x13: 0x784f0fa5584103e5
PC: 0x00000000800001f8, INSTR: 0xfe009737, REG x14: 0xfffffffffe009000
PC: 0x00000000800001fc, INSTR: 0x9617071b, REG x14: 0xfffffffffe008961
PC: 0x0000000080000200, INSTR: 0x00c71713, REG x14: 0xffffffe008961000
PC: 0x0000000080000204, INSTR: 0x5f770713, REG x14: 0xffffffe0089615f7
PC: 0x0000000080000208, INSTR: 0x00c71713, REG x14: 0xfffe0089615f7000
PC: 0x000000008000020c, INSTR: 0xec370713, REG x14: 0xfffe0089615f6ec3
PC: 0x0000000080000210, INSTR: 0x00d71713, REG x14: 0xc0112c2bedd86000
PC: 0x0000000080000214, INSTR: 0xf1470713, REG x14: 0xc0112c2bedd85f14
PC: 0x0000000080000218, INSTR: 0x0058f7b7, REG x15: 0x000000000058f000
PC: 0x000000008000021c, INSTR: 0x9c97879b, REG x15: 0x000000000058e9c9
PC: 0x0000000080000220, INSTR: 0x00c79793, REG x15: 0x000000058e9c9000
