PC: 0x000000008000011c, INSTR: 0xa6530313, REG x6: 0xfffff526eef33a65
PC: 0x0000000080000120, INSTR: 0x01031313, REG x6: 0xf526eef33a650000
PC: 0x0000000080000124, INSTR: 0x0f930313, REG x6: 0xf526eef33a6500f9
PC: 0x0000000080000128, INSTR: 0xffc253b7, REG x7: 0xffffffffffc25000
PC: 0x000000008000012c, INSTR: 0x42f3839b, REG x7: 0xffffffffffc2542f
PC: 0x0000000080000130, INSTR: 0x00d39393, REG x7: 0xfffffff84a85e000
PC: 0x0000000080000134, INSTR: 0x6c938393, REG x7: 0xfffffff84a85e6c9
PC: 0x0000000080000138, INSTR: 0x01039393, REG x7: 0xfff84a85e6c90000
PC: 0x000000008000013c, INSTR: 0x3d738393, REG x7: 0xfff84a85e6c903d7
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x84a85e6c903d7000
PC: 0x0000000080000144, INSTR: 0x1da38393, REG x7: 0x84a85e6c903d71da
PC: 0x0000000080000148, INSTR: 0x010b0437, REG x8: 0x00000000010b0000
PC: 0x000000008000014c, INSTR: 0x5f14041b, REG x8: 0x00000000010b05f1
PC: 0x0000000080000150, INSTR: 0x00c41413, REG x8: 0x00000010b05f1000
PC: 0x0000000080000154, INSTR: 0xe2140413, REG x8: 0x00000010b05f0e21
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x00010b05f0e21000
PC: 0x000000008000015c, INSTR: 0xd7340413, REG x8: 0x00010b05f0e20d73
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x10b05f0e20d73000
PC: 0x0000000080000164, INSTR: 0xd8240413, REG x8: 0x10b05f0e20d72d82
PC: 0x0000000080000168, INSTR: 0xff8a24b7, REG x9: 0xffffffffff8a2000
PC: 0x000000008000016c, INSTR: 0x9d34849b, REG x9: 0xffffffffff8a19d3
PC: 0x0000000080000170, INSTR: 0x01049493, REG x9: 0xffffff8a19d30000
PC: 0x0000000080000174, INSTR: 0x7d548493, REG x9: 0xffffff8a19d307d5
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xfff8a19d307d5000
PC: 0x000000008000017c, INSTR: 0xefb48493, REG x9: 0xfff8a19d307d4efb
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x8a19d307d4efb000
PC: 0x0000000080000184, INSTR: 0xb4848493, REG x9: 0x8a19d307d4efab48
PC: 0x0000000080000188, INSTR: 0x02bfe537, REG x10: 0x0000000002bfe000
PC: 0x000000008000018c, INSTR: 0xe215051b, REG x10: 0x0000000002bfde21
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0x0000002bfde21000
PC: 0x0000000080000194, INSTR: 0xc4950513, REG x10: 0x0000002bfde20c49
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0x0002bfde20c49000
PC: 0x000000008000019c, INSTR: 0x4dd50513, REG x10: 0x0002bfde20c494dd
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0x57fbc418929ba000
PC: 0x00000000800001a4, INSTR: 0xd0b50513, REG x10: 0x57fbc418929b9d0b
PC: 0x00000000800001a8, INSTR: 0xfca2c5b7, REG x11: 0xfffffffffca2c000
PC: 0x00000000800001ac, INSTR: 0xdbd5859b, REG x11: 0xfffffffffca2bdbd
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0xffffffca2bdbd000
PC: 0x00000000800001b4, INSTR: 0x09d58593, REG x11: 0xffffffca2bdbd09d
PC: 0x00000000800001b8, INSTR: 0x00d59593, REG x11: 0xfff9457b7a13a000
PC: 0x00000000800001bc, INSTR: 0x44758593, REG x11: 0xfff9457b7a13a447
PC: 0x00000000800001c0, INSTR: 0x00c59593, REG x11: 0x9457b7a13a447000
PC: 0x00000000800001c4, INSTR: 0xbf058593, REG x11: 0x9457b7a13a446bf0
PC: 0x00000000800001c8, INSTR: 0xbc1ed637, REG x12: 0xffffffffbc1ed000
PC: 0x00000000800001cc, INSTR: 0x5d56061b, REG x12: 0xffffffffbc1ed5d5
PC: 0x00000000800001d0, INSTR: 0x00c61613, REG x12: 0xfffffbc1ed5d5000
PC: 0x00000000800001d4, INSTR: 0xf4b60613, REG x12: 0xfffffbc1ed5d4f4b
PC: 0x00000000800001d8, INSTR: 0x01061613, REG x12: 0xfbc1ed5d4f4b0000
PC: 0x00000000800001dc, INSTR: 0x72260613, REG x12: 0xfbc1ed5d4f4b0722
PC: 0x00000000800001e0, INSTR: 0xffd276b7, REG x13: 0xffffffffffd27000
PC: 0x00000000800001e4, INSTR: 0x1016869b, REG x13: 0xffffffffffd27101
PC: 0x00000000800001e8, INSTR: 0x00e69693, REG x13: 0xfffffff49c404000
PC: 0x00000000800001ec, INSTR: 0x32768693, REG x13: 0xfffffff49c404327
PC: 0x00000000800001f0, INSTR: 0x00c69693, REG x13: 0xffff49c404327000
PC: 0x00000000800001f4, INSTR: 0x2d368693, REG x13: 0xffff49c4043272d3
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0xe93880864e5a6000
PC: 0x00000000800001fc, INSTR: 0x7f668693, REG x13: 0xe93880864e5a67f6
PC: 0x0000000080000200, INSTR: 0xff9f6737, REG x14: 0xffffffffff9f6000
PC: 0x0000000080000204, INSTR: 0x19b7071b, REG x14: 0xffffffffff9f619b
PC: 0x0000000080000208, INSTR: 0x00c71713, REG x14: 0xfffffff9f619b000
PC: 0x000000008000020c, INSTR: 0x96970713, REG x14: 0xfffffff9f619a969
PC: 0x0000000080000210, INSTR: 0x00f71713, REG x14: 0xfffcfb0cd4b48000
PC: 0x0000000080000214, INSTR: 0xabf70713, REG x14: 0xfffcfb0cd4b47abf
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0xcfb0cd4b47abf000
PC: 0x000000008000021c, INSTR: 0x42370713, REG x14: 0xcfb0cd4b47abf423
PC: 0x0000000080000220, INSTR: 0xfeb367b7, REG x15: 0xfffffffffeb36000
PC: 0x0000000080000224, INSTR: 0x2d57879b, REG x15: 0xfffffffffeb362d5
PC: 0x0000000080000228, INSTR: 0x00c79793, REG x15: 0xffffffeb362d5000
PC: 0x000000008000022c, INSTR: 0xf1578793, REG x15: 0xffffffeb362d4f15
PC: 0x0000000080000230, INSTR: 0x00d79793, REG x15: 0xfffd66c5a9e2a000
PC: 0x0000000080000234, INSTR: 0x9b578793, REG x15: 0xfffd66c5a9e299b5
PC: 0x0000000080000238, INSTR: 0x00d79793, REG x15: 0xacd8b53c5336a000
PC: 0x000000008000023c, INSTR: 0x29078793, REG x15: 0xacd8b53c5336a290
PC: 0x0000000080000240, INSTR: 0xffb69837, REG x16: 0xffffffffffb69000
PC: 0x0000000080000244, INSTR: 0xbdb8081b, REG x16: 0xffffffffffb68bdb
PC: 0x0000000080000248, INSTR: 0x00d81813, REG x16: 0xfffffff6d17b6000
PC: 0x000000008000024c, INSTR: 0x99f80813, REG x16: 0xfffffff6d17b599f
PC: 0x0000000080000250, INSTR: 0x00f81813, REG x16: 0xfffb68bdaccf8000
PC: 0x0000000080000254, INSTR: 0x59b80813, REG x16: 0xfffb68bdaccf859b
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xb68bdaccf859b000
PC: 0x000000008000025c, INSTR: 0xf1e80813, REG x16: 0xb68bdaccf859af1e
PC: 0x0000000080000260, INSTR: 0xfed8e8b7, REG x17: 0xfffffffffed8e000
PC: 0x0000000080000264, INSTR: 0x1018889b, REG x17: 0xfffffffffed8e101
PC: 0x0000000080000268, INSTR: 0x00e89893, REG x17: 0xffffffb638404000
PC: 0x000000008000026c, INSTR: 0x79988893, REG x17: 0xffffffb638404799
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0xfffb638404799000
PC: 0x0000000080000274, INSTR: 0xf7588893, REG x17: 0xfffb638404798f75
PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0xb638404798f75000
PC: 0x000000008000027c, INSTR: 0x61588893, REG x17: 0xb638404798f75615
PC: 0x0000000080000280, INSTR: 0x00f2d937, REG x18: 0x0000000000f2d000
PC: 0x0000000080000284, INSTR: 0xf719091b, REG x18: 0x0000000000f2cf71
PC: 0x0000000080000288, INSTR: 0x00d91913, REG x18: 0x0000001e59ee2000
PC: 0x000000008000028c, INSTR: 0x5df90913, REG x18: 0x0000001e59ee25df
PC: 0x0000000080000290, INSTR: 0x00c91913, REG x18: 0x0001e59ee25df000
