PC: 0x0000000080000128, INSTR: 0xeb630313, REG x6: 0x06446271cfabaeb6
PC: 0x000000008000012c, INSTR: 0xfecc93b7, REG x7: 0xfffffffffecc9000
PC: 0x0000000080000130, INSTR: 0x3a93839b, REG x7: 0xfffffffffecc93a9
PC: 0x0000000080000134, INSTR: 0x00d39393, REG x7: 0xffffffd992752000
PC: 0x0000000080000138, INSTR: 0x3ff38393, REG x7: 0xffffffd9927523ff
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0xfffd9927523ff000
PC: 0x0000000080000140, INSTR: 0x73738393, REG x7: 0xfffd9927523ff737
PC: 0x0000000080000144, INSTR: 0x00d39393, REG x7: 0xb324ea47fee6e000
PC: 0x0000000080000148, INSTR: 0x77538393, REG x7: 0xb324ea47fee6e775
PC: 0x000000008000014c, INSTR: 0xfd014437, REG x8: 0xfffffffffd014000
PC: 0x0000000080000150, INSTR: 0xbc34041b, REG x8: 0xfffffffffd013bc3
PC: 0x0000000080000154, INSTR: 0x00c41413, REG x8: 0xffffffd013bc3000
PC: 0x0000000080000158, INSTR: 0x93f40413, REG x8: 0xffffffd013bc293f
PC: 0x000000008000015c, INSTR: 0x00c41413, REG x8: 0xfffd013bc293f000
PC: 0x0000000080000160, INSTR: 0xce940413, REG x8: 0xfffd013bc293ece9
PC: 0x0000000080000164, INSTR: 0x00d41413, REG x8: 0xa02778527d9d2000
PC: 0x0000000080000168, INSTR: 0x42340413, REG x8: 0xa02778527d9d2423
PC: 0x000000008000016c, INSTR: 0xfe3ff4b7, REG x9: 0xfffffffffe3ff000
PC: 0x0000000080000170, INSTR: 0x4e14849b, REG x9: 0xfffffffffe3ff4e1
PC: 0x0000000080000174, INSTR: 0x00c49493, REG x9: 0xffffffe3ff4e1000
PC: 0x0000000080000178, INSTR: 0x38148493, REG x9: 0xffffffe3ff4e1381
PC: 0x000000008000017c, INSTR: 0x00c49493, REG x9: 0xfffe3ff4e1381000
PC: 0x0000000080000180, INSTR: 0x68148493, REG x9: 0xfffe3ff4e1381681
PC: 0x0000000080000184, INSTR: 0x00d49493, REG x9: 0xc7fe9c2702d02000
PC: 0x0000000080000188, INSTR: 0x43348493, REG x9: 0xc7fe9c2702d02433
PC: 0x000000008000018c, INSTR: 0x0662e537, REG x10: 0x000000000662e000
PC: 0x0000000080000190, INSTR: 0xe7b5051b, REG x10: 0x000000000662de7b
PC: 0x0000000080000194, INSTR: 0x00c51513, REG x10: 0x000000662de7b000
PC: 0x0000000080000198, INSTR: 0xf0f50513, REG x10: 0x000000662de7af0f
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0x000662de7af0f000
PC: 0x00000000800001a0, INSTR: 0xc8f50513, REG x10: 0x000662de7af0ec8f
PC: 0x00000000800001a4, INSTR: 0x00c51513, REG x10: 0x662de7af0ec8f000
PC: 0x00000000800001a8, INSTR: 0xcdd50513, REG x10: 0x662de7af0ec8ecdd
PC: 0x00000000800001ac, INSTR: 0xffbe05b7, REG x11: 0xffffffffffbe0000
PC: 0x00000000800001b0, INSTR: 0xf095859b, REG x11: 0xffffffffffbdff09
PC: 0x00000000800001b4, INSTR: 0x00c59593, REG x11: 0xfffffffbdff09000
PC: 0x00000000800001b8, INSTR: 0x15758593, REG x11: 0xfffffffbdff09157
PC: 0x00000000800001bc, INSTR: 0x00d59593, REG x11: 0xffff7bfe122ae000
PC: 0x00000000800001c0, INSTR: 0x8b358593, REG x11: 0xffff7bfe122ad8b3
PC: 0x00000000800001c4, INSTR: 0x00d59593, REG x11: 0xef7fc2455b166000
PC: 0x00000000800001c8, INSTR: 0x5bc58593, REG x11: 0xef7fc2455b1665bc
PC: 0x00000000800001cc, INSTR: 0xff249637, REG x12: 0xffffffffff249000
PC: 0x00000000800001d0, INSTR: 0x8316061b, REG x12: 0xffffffffff248831
PC: 0x00000000800001d4, INSTR: 0x00c61613, REG x12: 0xfffffff248831000
PC: 0x00000000800001d8, INSTR: 0xcfd60613, REG x12: 0xfffffff248830cfd
PC: 0x00000000800001dc, INSTR: 0x00c61613, REG x12: 0xffff248830cfd000
PC: 0x00000000800001e0, INSTR: 0xc9d60613, REG x12: 0xffff248830cfcc9d
PC: 0x00000000800001e4, INSTR: 0x00f61613, REG x12: 0x92441867e64e8000
PC: 0x00000000800001e8, INSTR: 0xa1360613, REG x12: 0x92441867e64e7a13
PC: 0x00000000800001ec, INSTR: 0x0008f6b7, REG x13: 0x000000000008f000
PC: 0x00000000800001f0, INSTR: 0xddf6869b, REG x13: 0x000000000008eddf
PC: 0x00000000800001f4, INSTR: 0x00c69693, REG x13: 0x000000008eddf000
PC: 0x00000000800001f8, INSTR: 0xf1568693, REG x13: 0x000000008eddef15
PC: 0x00000000800001fc, INSTR: 0x01069693, REG x13: 0x00008eddef150000
PC: 0x0000000080000200, INSTR: 0x97968693, REG x13: 0x00008eddef14f979
PC: 0x0000000080000204, INSTR: 0x00e69693, REG x13: 0x23b77bc53e5e4000
PC: 0x0000000080000208, INSTR: 0xbad68693, REG x13: 0x23b77bc53e5e3bad
PC: 0x000000008000020c, INSTR: 0x008fb737, REG x14: 0x00000000008fb000
PC: 0x0000000080000210, INSTR: 0xb857071b, REG x14: 0x00000000008fab85
PC: 0x0000000080000214, INSTR: 0x00d71713, REG x14: 0x00000011f570a000
PC: 0x0000000080000218, INSTR: 0xde170713, REG x14: 0x00000011f5709de1
PC: 0x000000008000021c, INSTR: 0x00e71713, REG x14: 0x00047d5c27784000
PC: 0x0000000080000220, INSTR: 0x04b70713, REG x14: 0x00047d5c2778404b
PC: 0x0000000080000224, INSTR: 0x00c71713, REG x14: 0x47d5c2778404b000
PC: 0x0000000080000228, INSTR: 0x37b70713, REG x14: 0x47d5c2778404b37b
PC: 0x000000008000022c, INSTR: 0xe6b8c7b7, REG x15: 0xffffffffe6b8c000
PC: 0x0000000080000230, INSTR: 0x6357879b, REG x15: 0xffffffffe6b8c635
PC: 0x0000000080000234, INSTR: 0x00d79793, REG x15: 0xfffffcd718c6a000
PC: 0x0000000080000238, INSTR: 0x0eb78793, REG x15: 0xfffffcd718c6a0eb
PC: 0x000000008000023c, INSTR: 0x00e79793, REG x15: 0xff35c631a83ac000
PC: 0x0000000080000240, INSTR: 0x67e78793, REG x15: 0xff35c631a83ac67e
PC: 0x0000000080000244, INSTR: 0x00d55837, REG x16: 0x0000000000d55000
PC: 0x0000000080000248, INSTR: 0x4698081b, REG x16: 0x0000000000d55469
PC: 0x000000008000024c, INSTR: 0x00d81813, REG x16: 0x0000001aaa8d2000
PC: 0x0000000080000250, INSTR: 0x6a180813, REG x16: 0x0000001aaa8d26a1
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0x0001aaa8d26a1000
PC: 0x0000000080000258, INSTR: 0x54b80813, REG x16: 0x0001aaa8d26a154b
PC: 0x000000008000025c, INSTR: 0x00d81813, REG x16: 0x35551a4d42a96000
PC: 0x0000000080000260, INSTR: 0x54f80813, REG x16: 0x35551a4d42a9654f
PC: 0x0000000080000264, INSTR: 0xffbd68b7, REG x17: 0xffffffffffbd6000
PC: 0x0000000080000268, INSTR: 0xd1f8889b, REG x17: 0xffffffffffbd5d1f
PC: 0x000000008000026c, INSTR: 0x00c89893, REG x17: 0xfffffffbd5d1f000
PC: 0x0000000080000270, INSTR: 0x4cf88893, REG x17: 0xfffffffbd5d1f4cf
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0xffff7aba3e99e000
PC: 0x0000000080000278, INSTR: 0x07588893, REG x17: 0xffff7aba3e99e075
PC: 0x000000008000027c, INSTR: 0x00f89893, REG x17: 0xbd5d1f4cf03a8000
PC: 0x0000000080000280, INSTR: 0xffb88893, REG x17: 0xbd5d1f4cf03a7ffb
PC: 0x0000000080000284, INSTR: 0xf1e17937, REG x18: 0xfffffffff1e17000
PC: 0x0000000080000288, INSTR: 0xa619091b, REG x18: 0xfffffffff1e16a61
PC: 0x000000008000028c, INSTR: 0x01391913, REG x18: 0xffff8f0b53080000
PC: 0x0000000080000290, INSTR: 0x8a590913, REG x18: 0xffff8f0b5307f8a5
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0xf8f0b5307f8a5000
PC: 0x0000000080000298, INSTR: 0x9d390913, REG x18: 0xf8f0b5307f8a49d3
PC: 0x000000008000029c, INSTR: 0x00195913, REG x18: 0x7c785a983fc524e9
PC: 0x00000000800002a0, INSTR: 0x015a59b7, REG x19: 0x00000000015a5000
PC: 0x00000000800002a4, INSTR: 0xa459899b, REG x19: 0x00000000015a4a45
PC: 0x00000000800002a8, INSTR: 0x00c99993, REG x19: 0x00000015a4a45000
PC: 0x00000000800002ac, INSTR: 0xed398993, REG x19: 0x00000015a4a44ed3
PC: 0x00000000800002b0, INSTR: 0x00d99993, REG x19: 0x0002b49489da6000
PC: 0x00000000800002b4, INSTR: 0xbdb98993, REG x19: 0x0002b49489da5bdb
PC: 0x00000000800002b8, INSTR: 0x00c99993, REG x19: 0x2b49489da5bdb000
PC: 0x00000000800002bc, INSTR: 0xde198993, REG x19: 0x2b49489da5bdade1
PC: 0x00000000800002c0, INSTR: 0xfe9bca37, REG x20: 0xfffffffffe9bc000
