PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0x0000001893c6b000
PC: 0x0000000080000120, INSTR: 0x89d30313, REG x6: 0x0000001893c6a89d
PC: 0x0000000080000124, INSTR: 0x00e31313, REG x6: 0x000624f1aa274000
PC: 0x0000000080000128, INSTR: 0x48330313, REG x6: 0x000624f1aa274483
PC: 0x000000008000012c, INSTR: 0x00c31313, REG x6: 0x624f1aa274483000
PC: 0x0000000080000130, INSTR: 0xe1b30313, REG x6: 0x624f1aa274482e1b
PC: 0x0000000080000134, INSTR: 0x001df3b7, REG x7: 0x00000000001df000
PC: 0x0000000080000138, INSTR: 0xba13839b, REG x7: 0x00000000001deba1
PC: 0x000000008000013c, INSTR: 0x00e39393, REG x7: 0x000000077ae84000
PC: 0x0000000080000140, INSTR: 0x9f938393, REG x7: 0x000000077ae839f9
PC: 0x0000000080000144, INSTR: 0x01039393, REG x7: 0x00077ae839f90000
PC: 0x0000000080000148, INSTR: 0x6ef38393, REG x7: 0x00077ae839f906ef
PC: 0x000000008000014c, INSTR: 0x00c39393, REG x7: 0x77ae839f906ef000
PC: 0x0000000080000150, INSTR: 0x00d38393, REG x7: 0x77ae839f906ef00d
PC: 0x0000000080000154, INSTR: 0xf91ff437, REG x8: 0xfffffffff91ff000
PC: 0x0000000080000158, INSTR: 0xa194041b, REG x8: 0xfffffffff91fea19
PC: 0x000000008000015c, INSTR: 0x00e41413, REG x8: 0xfffffe47fa864000
PC: 0x0000000080000160, INSTR: 0xc2d40413, REG x8: 0xfffffe47fa863c2d
PC: 0x0000000080000164, INSTR: 0x01241413, REG x8: 0xf91fea18f0b40000
PC: 0x0000000080000168, INSTR: 0x2f340413, REG x8: 0xf91fea18f0b402f3
PC: 0x000000008000016c, INSTR: 0x00341413, REG x8: 0xc8ff50c785a01798
PC: 0x0000000080000170, INSTR: 0x0024b4b7, REG x9: 0x000000000024b000
PC: 0x0000000080000174, INSTR: 0x5bd4849b, REG x9: 0x000000000024b5bd
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0x000000024b5bd000
PC: 0x000000008000017c, INSTR: 0xced48493, REG x9: 0x000000024b5bcced
PC: 0x0000000080000180, INSTR: 0x00d49493, REG x9: 0x0000496b799da000
PC: 0x0000000080000184, INSTR: 0xf0348493, REG x9: 0x0000496b799d9f03
PC: 0x0000000080000188, INSTR: 0x01049493, REG x9: 0x496b799d9f030000
PC: 0x000000008000018c, INSTR: 0xdf248493, REG x9: 0x496b799d9f02fdf2
PC: 0x0000000080000190, INSTR: 0xffddc537, REG x10: 0xffffffffffddc000
PC: 0x0000000080000194, INSTR: 0xec35051b, REG x10: 0xffffffffffddbec3
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0xfffffffbb7d86000
PC: 0x000000008000019c, INSTR: 0x0e950513, REG x10: 0xfffffffbb7d860e9
PC: 0x00000000800001a0, INSTR: 0x00e51513, REG x10: 0xfffeedf6183a4000
PC: 0x00000000800001a4, INSTR: 0x25b50513, REG x10: 0xfffeedf6183a425b
