PC: 0x000000008000011c, INSTR: 0x00d31313, REG x6: 0x1b6791b676d9a000
PC: 0x0000000080000120, INSTR: 0x58630313, REG x6: 0x1b6791b676d9a586
PC: 0x0000000080000124, INSTR: 0x0031c3b7, REG x7: 0x000000000031c000
PC: 0x0000000080000128, INSTR: 0xff13839b, REG x7: 0x000000000031bff1
PC: 0x000000008000012c, INSTR: 0x00c39393, REG x7: 0x000000031bff1000
PC: 0x0000000080000130, INSTR: 0x73d38393, REG x7: 0x000000031bff173d
PC: 0x0000000080000134, INSTR: 0x00d39393, REG x7: 0x0000637fe2e7a000
PC: 0x0000000080000138, INSTR: 0x60538393, REG x7: 0x0000637fe2e7a605
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x0637fe2e7a605000
PC: 0x0000000080000140, INSTR: 0x2d738393, REG x7: 0x0637fe2e7a6052d7
PC: 0x0000000080000144, INSTR: 0x19a32437, REG x8: 0x0000000019a32000
PC: 0x0000000080000148, INSTR: 0x5834041b, REG x8: 0x0000000019a32583
PC: 0x000000008000014c, INSTR: 0x00c41413, REG x8: 0x0000019a32583000
PC: 0x0000000080000150, INSTR: 0x71340413, REG x8: 0x0000019a32583713
PC: 0x0000000080000154, INSTR: 0x00f41413, REG x8: 0x00cd192c1b898000
PC: 0x0000000080000158, INSTR: 0xaed40413, REG x8: 0x00cd192c1b897aed
PC: 0x000000008000015c, INSTR: 0x00641413, REG x8: 0x33464b06e25ebb40
PC: 0x0000000080000160, INSTR: 0xffc834b7, REG x9: 0xffffffffffc83000
PC: 0x0000000080000164, INSTR: 0xe154849b, REG x9: 0xffffffffffc82e15
PC: 0x0000000080000168, INSTR: 0x00c49493, REG x9: 0xfffffffc82e15000
PC: 0x000000008000016c, INSTR: 0x88748493, REG x9: 0xfffffffc82e14887
PC: 0x0000000080000170, INSTR: 0x00c49493, REG x9: 0xffffc82e14887000
PC: 0x0000000080000174, INSTR: 0xbc948493, REG x9: 0xffffc82e14886bc9
PC: 0x0000000080000178, INSTR: 0x01149493, REG x9: 0x905c2910d7920000
PC: 0x000000008000017c, INSTR: 0xdeb48493, REG x9: 0x905c2910d791fdeb
PC: 0x0000000080000180, INSTR: 0xffe03537, REG x10: 0xffffffffffe03000
PC: 0x0000000080000184, INSTR: 0xdff5051b, REG x10: 0xffffffffffe02dff
PC: 0x0000000080000188, INSTR: 0x00e51513, REG x10: 0xfffffff80b7fc000
PC: 0x000000008000018c, INSTR: 0xc0550513, REG x10: 0xfffffff80b7fbc05
PC: 0x0000000080000190, INSTR: 0x00d51513, REG x10: 0xffff016ff780a000
PC: 0x0000000080000194, INSTR: 0x41550513, REG x10: 0xffff016ff780a415
PC: 0x0000000080000198, INSTR: 0x00f51513, REG x10: 0x80b7fbc0520a8000
PC: 0x000000008000019c, INSTR: 0xc5550513, REG x10: 0x80b7fbc0520a7c55
PC: 0x00000000800001a0, INSTR: 0xfff765b7, REG x11: 0xfffffffffff76000
PC: 0x00000000800001a4, INSTR: 0x84f5859b, REG x11: 0xfffffffffff7584f
PC: 0x00000000800001a8, INSTR: 0x00c59593, REG x11: 0xffffffff7584f000
PC: 0x00000000800001ac, INSTR: 0x62d58593, REG x11: 0xffffffff7584f62d
PC: 0x00000000800001b0, INSTR: 0x01359593, REG x11: 0xfffbac27b1680000
PC: 0x00000000800001b4, INSTR: 0xb0f58593, REG x11: 0xfffbac27b167fb0f
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0xbac27b167fb0f000
PC: 0x00000000800001bc, INSTR: 0xeed58593, REG x11: 0xbac27b167fb0eeed
PC: 0x00000000800001c0, INSTR: 0xff17f637, REG x12: 0xffffffffff17f000
PC: 0x00000000800001c4, INSTR: 0x4676061b, REG x12: 0xffffffffff17f467
PC: 0x00000000800001c8, INSTR: 0x00d61613, REG x12: 0xffffffe2fe8ce000
PC: 0x00000000800001cc, INSTR: 0x06560613, REG x12: 0xffffffe2fe8ce065
PC: 0x00000000800001d0, INSTR: 0x00e61613, REG x12: 0xfff8bfa338194000
PC: 0x00000000800001d4, INSTR: 0x36b60613, REG x12: 0xfff8bfa33819436b
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0x8bfa33819436b000
PC: 0x00000000800001dc, INSTR: 0x40e60613, REG x12: 0x8bfa33819436b40e
PC: 0x00000000800001e0, INSTR: 0x01b446b7, REG x13: 0x0000000001b44000
PC: 0x00000000800001e4, INSTR: 0xe616869b, REG x13: 0x0000000001b43e61
PC: 0x00000000800001e8, INSTR: 0x00d69693, REG x13: 0x0000003687cc2000
PC: 0x00000000800001ec, INSTR: 0xa7968693, REG x13: 0x0000003687cc1a79
PC: 0x00000000800001f0, INSTR: 0x00d69693, REG x13: 0x0006d0f9834f2000
PC: 0x00000000800001f4, INSTR: 0xdd968693, REG x13: 0x0006d0f9834f1dd9
