PC: 0x00000000800001f0, INSTR: 0xc836869b, REG x13: 0x0000000000b0ec83
PC: 0x00000000800001f4, INSTR: 0x00c69693, REG x13: 0x0000000b0ec83000
PC: 0x00000000800001f8, INSTR: 0x07168693, REG x13: 0x0000000b0ec83071
PC: 0x00000000800001fc, INSTR: 0x00e69693, REG x13: 0x0002c3b20c1c4000
PC: 0x0000000080000200, INSTR: 0x6b968693, REG x13: 0x0002c3b20c1c46b9
PC: 0x0000000080000204, INSTR: 0x00d69693, REG x13: 0x5876418388d72000
PC: 0x0000000080000208, INSTR: 0xf7e68693, REG x13: 0x5876418388d71f7e
PC: 0x000000008000020c, INSTR: 0xfdd1f737, REG x14: 0xfffffffffdd1f000
PC: 0x0000000080000210, INSTR: 0xa7b7071b, REG x14: 0xfffffffffdd1ea7b
PC: 0x0000000080000214, INSTR: 0x00c71713, REG x14: 0xffffffdd1ea7b000
PC: 0x0000000080000218, INSTR: 0x4fd70713, REG x14: 0xffffffdd1ea7b4fd
PC: 0x000000008000021c, INSTR: 0x00c71713, REG x14: 0xfffdd1ea7b4fd000
PC: 0x0000000080000220, INSTR: 0xaa970713, REG x14: 0xfffdd1ea7b4fcaa9
PC: 0x0000000080000224, INSTR: 0x00c71713, REG x14: 0xdd1ea7b4fcaa9000
PC: 0x0000000080000228, INSTR: 0xa4f70713, REG x14: 0xdd1ea7b4fcaa8a4f
PC: 0x000000008000022c, INSTR: 0x002b97b7, REG x15: 0x00000000002b9000
PC: 0x0000000080000230, INSTR: 0xa297879b, REG x15: 0x00000000002b8a29
PC: 0x0000000080000234, INSTR: 0x00c79793, REG x15: 0x00000002b8a29000
PC: 0x0000000080000238, INSTR: 0x54178793, REG x15: 0x00000002b8a29541
PC: 0x000000008000023c, INSTR: 0x00d79793, REG x15: 0x0000571452a82000
PC: 0x0000000080000240, INSTR: 0xa0b78793, REG x15: 0x0000571452a81a0b
PC: 0x0000000080000244, INSTR: 0x01079793, REG x15: 0x571452a81a0b0000
PC: 0x0000000080000248, INSTR: 0xfee78793, REG x15: 0x571452a81a0affee
PC: 0x000000008000024c, INSTR: 0xffcbf837, REG x16: 0xffffffffffcbf000
PC: 0x0000000080000250, INSTR: 0x22d8081b, REG x16: 0xffffffffffcbf22d
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0xfffffffcbf22d000
PC: 0x0000000080000258, INSTR: 0xdc580813, REG x16: 0xfffffffcbf22cdc5
PC: 0x000000008000025c, INSTR: 0x00e81813, REG x16: 0xffff2fc8b3714000
PC: 0x0000000080000260, INSTR: 0x94d80813, REG x16: 0xffff2fc8b371394d
PC: 0x0000000080000264, INSTR: 0x00d81813, REG x16: 0xe5f9166e2729a000
PC: 0x0000000080000268, INSTR: 0x16780813, REG x16: 0xe5f9166e2729a167
PC: 0x000000008000026c, INSTR: 0xffd348b7, REG x17: 0xffffffffffd34000
PC: 0x0000000080000270, INSTR: 0x6f58889b, REG x17: 0xffffffffffd346f5
PC: 0x0000000080000274, INSTR: 0x01089893, REG x17: 0xffffffd346f50000
PC: 0x0000000080000278, INSTR: 0xf3788893, REG x17: 0xffffffd346f4ff37
PC: 0x000000008000027c, INSTR: 0x00c89893, REG x17: 0xfffd346f4ff37000
PC: 0x0000000080000280, INSTR: 0x2d188893, REG x17: 0xfffd346f4ff372d1
PC: 0x0000000080000284, INSTR: 0x00d89893, REG x17: 0xa68de9fe6e5a2000
PC: 0x0000000080000288, INSTR: 0x06488893, REG x17: 0xa68de9fe6e5a2064
PC: 0x000000008000028c, INSTR: 0x005f6937, REG x18: 0x00000000005f6000
PC: 0x0000000080000290, INSTR: 0x2899091b, REG x18: 0x00000000005f6289
PC: 0x0000000080000294, INSTR: 0x00e91913, REG x18: 0x00000017d8a24000
PC: 0x0000000080000298, INSTR: 0xb4f90913, REG x18: 0x00000017d8a23b4f
PC: 0x000000008000029c, INSTR: 0x00c91913, REG x18: 0x00017d8a23b4f000
PC: 0x00000000800002a0, INSTR: 0x72f90913, REG x18: 0x00017d8a23b4f72f
PC: 0x00000000800002a4, INSTR: 0x00e91913, REG x18: 0x5f6288ed3dcbc000
PC: 0x00000000800002a8, INSTR: 0x19a90913, REG x18: 0x5f6288ed3dcbc19a
PC: 0x00000000800002ac, INSTR: 0xffa1d9b7, REG x19: 0xffffffffffa1d000
PC: 0x00000000800002b0, INSTR: 0x5039899b, REG x19: 0xffffffffffa1d503
PC: 0x00000000800002b4, INSTR: 0x00d99993, REG x19: 0xfffffff43aa06000
PC: 0x00000000800002b8, INSTR: 0xd5198993, REG x19: 0xfffffff43aa05d51
PC: 0x00000000800002bc, INSTR: 0x00c99993, REG x19: 0xffff43aa05d51000
PC: 0x00000000800002c0, INSTR: 0xbc598993, REG x19: 0xffff43aa05d50bc5
PC: 0x00000000800002c4, INSTR: 0x00c99993, REG x19: 0xf43aa05d50bc5000
PC: 0x00000000800002c8, INSTR: 0x32f98993, REG x19: 0xf43aa05d50bc532f
PC: 0x00000000800002cc, INSTR: 0xfe6bba37, REG x20: 0xfffffffffe6bb000
PC: 0x00000000800002d0, INSTR: 0xc33a0a1b, REG x20: 0xfffffffffe6bac33
PC: 0x00000000800002d4, INSTR: 0x00ca1a13, REG x20: 0xffffffe6bac33000
PC: 0x00000000800002d8, INSTR: 0x8fda0a13, REG x20: 0xffffffe6bac328fd
PC: 0x00000000800002dc, INSTR: 0x00ea1a13, REG x20: 0xfff9aeb0ca3f4000
PC: 0x00000000800002e0, INSTR: 0xa51a0a13, REG x20: 0xfff9aeb0ca3f3a51
PC: 0x00000000800002e4, INSTR: 0x00ca1a13, REG x20: 0x9aeb0ca3f3a51000
PC: 0x00000000800002e8, INSTR: 0x07fa0a13, REG x20: 0x9aeb0ca3f3a5107f
PC: 0x00000000800002ec, INSTR: 0xff77fab7, REG x21: 0xffffffffff77f000
PC: 0x00000000800002f0, INSTR: 0x0b1a8a9b, REG x21: 0xffffffffff77f0b1
PC: 0x00000000800002f4, INSTR: 0x00ea9a93, REG x21: 0xffffffddfc2c4000
PC: 0x00000000800002f8, INSTR: 0x69ba8a93, REG x21: 0xffffffddfc2c469b
PC: 0x00000000800002fc, INSTR: 0x00ca9a93, REG x21: 0xfffddfc2c469b000
PC: 0x0000000080000300, INSTR: 0x2bfa8a93, REG x21: 0xfffddfc2c469b2bf
PC: 0x0000000080000304, INSTR: 0x00da9a93, REG x21: 0xbbf8588d3657e000
PC: 0x0000000080000308, INSTR: 0x0a2a8a93, REG x21: 0xbbf8588d3657e0a2
PC: 0x000000008000030c, INSTR: 0xfff40b37, REG x22: 0xfffffffffff40000
PC: 0x0000000080000310, INSTR: 0xa41b0b1b, REG x22: 0xfffffffffff3fa41
PC: 0x0000000080000314, INSTR: 0x00cb1b13, REG x22: 0xffffffff3fa41000
