PC: 0x000000008000011c, INSTR: 0xe7f30313, REG x6: 0xffffe0166106de7f
PC: 0x0000000080000120, INSTR: 0x01031313, REG x6: 0xe0166106de7f0000
PC: 0x0000000080000124, INSTR: 0xbf730313, REG x6: 0xe0166106de7efbf7
PC: 0x0000000080000128, INSTR: 0xf86923b7, REG x7: 0xfffffffff8692000
PC: 0x000000008000012c, INSTR: 0xc5f3839b, REG x7: 0xfffffffff8691c5f
PC: 0x0000000080000130, INSTR: 0x00c39393, REG x7: 0xffffff8691c5f000
PC: 0x0000000080000134, INSTR: 0xa4738393, REG x7: 0xffffff8691c5ea47
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0xfff8691c5ea47000
PC: 0x000000008000013c, INSTR: 0xe5338393, REG x7: 0xfff8691c5ea46e53
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x8691c5ea46e53000
PC: 0x0000000080000144, INSTR: 0xa2838393, REG x7: 0x8691c5ea46e52a28
PC: 0x0000000080000148, INSTR: 0xffcb8437, REG x8: 0xffffffffffcb8000
PC: 0x000000008000014c, INSTR: 0x6474041b, REG x8: 0xffffffffffcb8647
PC: 0x0000000080000150, INSTR: 0x00c41413, REG x8: 0xfffffffcb8647000
PC: 0x0000000080000154, INSTR: 0xfc740413, REG x8: 0xfffffffcb8646fc7
PC: 0x0000000080000158, INSTR: 0x00d41413, REG x8: 0xffff970c8df8e000
PC: 0x000000008000015c, INSTR: 0xe3f40413, REG x8: 0xffff970c8df8de3f
PC: 0x0000000080000160, INSTR: 0x00f41413, REG x8: 0xcb8646fc6f1f8000
PC: 0x0000000080000164, INSTR: 0x20c40413, REG x8: 0xcb8646fc6f1f820c
PC: 0x0000000080000168, INSTR: 0x00cc34b7, REG x9: 0x0000000000cc3000
PC: 0x000000008000016c, INSTR: 0x8bd4849b, REG x9: 0x0000000000cc28bd
PC: 0x0000000080000170, INSTR: 0x00d49493, REG x9: 0x000000198517a000
PC: 0x0000000080000174, INSTR: 0x29548493, REG x9: 0x000000198517a295
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0x000198517a295000
PC: 0x000000008000017c, INSTR: 0x50f48493, REG x9: 0x000198517a29550f
PC: 0x0000000080000180, INSTR: 0x00e49493, REG x9: 0x66145e8a5543c000
PC: 0x0000000080000184, INSTR: 0xc1948493, REG x9: 0x66145e8a5543bc19
PC: 0x0000000080000188, INSTR: 0x0075b537, REG x10: 0x000000000075b000
PC: 0x000000008000018c, INSTR: 0xf1b5051b, REG x10: 0x000000000075af1b
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0x000000075af1b000
PC: 0x0000000080000194, INSTR: 0x60f50513, REG x10: 0x000000075af1b60f
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0x0000eb5e36c1e000
PC: 0x000000008000019c, INSTR: 0x17f50513, REG x10: 0x0000eb5e36c1e17f
PC: 0x00000000800001a0, INSTR: 0x00c51513, REG x10: 0x0eb5e36c1e17f000
PC: 0x00000000800001a4, INSTR: 0xbca50513, REG x10: 0x0eb5e36c1e17ebca
PC: 0x00000000800001a8, INSTR: 0xfe5665b7, REG x11: 0xfffffffffe566000
