PC: 0x0000000080000118, INSTR: 0x00c31313, REG x6: 0xfffffffe4f6bb000
PC: 0x000000008000011c, INSTR: 0x49d30313, REG x6: 0xfffffffe4f6bb49d
PC: 0x0000000080000120, INSTR: 0x00e31313, REG x6: 0xffff93daed274000
PC: 0x0000000080000124, INSTR: 0x6df30313, REG x6: 0xffff93daed2746df
PC: 0x0000000080000128, INSTR: 0x00e31313, REG x6: 0xe4f6bb49d1b7c000
PC: 0x000000008000012c, INSTR: 0x1fa30313, REG x6: 0xe4f6bb49d1b7c1fa
PC: 0x0000000080000130, INSTR: 0x0049b3b7, REG x7: 0x000000000049b000
PC: 0x0000000080000134, INSTR: 0x2c53839b, REG x7: 0x000000000049b2c5
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0x000000049b2c5000
PC: 0x000000008000013c, INSTR: 0xaf938393, REG x7: 0x000000049b2c4af9
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x000049b2c4af9000
PC: 0x0000000080000144, INSTR: 0x55538393, REG x7: 0x000049b2c4af9555
PC: 0x0000000080000148, INSTR: 0x00d39393, REG x7: 0x09365895f2aaa000
PC: 0x000000008000014c, INSTR: 0x7cd38393, REG x7: 0x09365895f2aaa7cd
PC: 0x0000000080000150, INSTR: 0x01254437, REG x8: 0x0000000001254000
PC: 0x0000000080000154, INSTR: 0x9614041b, REG x8: 0x0000000001253961
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x0000001253961000
PC: 0x000000008000015c, INSTR: 0xa6540413, REG x8: 0x0000001253960a65
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x0001253960a65000
PC: 0x0000000080000164, INSTR: 0xc4d40413, REG x8: 0x0001253960a64c4d
PC: 0x0000000080000168, INSTR: 0x00c41413, REG x8: 0x1253960a64c4d000
PC: 0x000000008000016c, INSTR: 0x37c40413, REG x8: 0x1253960a64c4d37c
PC: 0x0000000080000170, INSTR: 0xfe1144b7, REG x9: 0xfffffffffe114000
PC: 0x0000000080000174, INSTR: 0x5a14849b, REG x9: 0xfffffffffe1145a1
PC: 0x0000000080000178, INSTR: 0x00e49493, REG x9: 0xffffff8451684000
PC: 0x000000008000017c, INSTR: 0x1fb48493, REG x9: 0xffffff84516841fb
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0xfff84516841fb000
PC: 0x0000000080000184, INSTR: 0x14f48493, REG x9: 0xfff84516841fb14f
PC: 0x0000000080000188, INSTR: 0x00c49493, REG x9: 0x84516841fb14f000
PC: 0x000000008000018c, INSTR: 0xbf648493, REG x9: 0x84516841fb14ebf6
PC: 0x0000000080000190, INSTR: 0xffe31537, REG x10: 0xffffffffffe31000
PC: 0x0000000080000194, INSTR: 0x27b5051b, REG x10: 0xffffffffffe3127b
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0xfffffffc624f6000
PC: 0x000000008000019c, INSTR: 0xce950513, REG x10: 0xfffffffc624f5ce9
PC: 0x00000000800001a0, INSTR: 0x00c51513, REG x10: 0xffffc624f5ce9000
PC: 0x00000000800001a4, INSTR: 0x36350513, REG x10: 0xffffc624f5ce9363
PC: 0x00000000800001a8, INSTR: 0x01151513, REG x10: 0x8c49eb9d26c60000
PC: 0x00000000800001ac, INSTR: 0x67450513, REG x10: 0x8c49eb9d26c60674
PC: 0x00000000800001b0, INSTR: 0xffe085b7, REG x11: 0xffffffffffe08000
PC: 0x00000000800001b4, INSTR: 0xb6f5859b, REG x11: 0xffffffffffe07b6f
PC: 0x00000000800001b8, INSTR: 0x00f59593, REG x11: 0xfffffff03db78000
PC: 0x00000000800001bc, INSTR: 0x8e958593, REG x11: 0xfffffff03db778e9
PC: 0x00000000800001c0, INSTR: 0x00f59593, REG x11: 0xfff81edbbc748000
PC: 0x00000000800001c4, INSTR: 0xa5d58593, REG x11: 0xfff81edbbc747a5d
PC: 0x00000000800001c8, INSTR: 0x00c59593, REG x11: 0x81edbbc747a5d000
PC: 0x00000000800001cc, INSTR: 0x9d058593, REG x11: 0x81edbbc747a5c9d0
PC: 0x00000000800001d0, INSTR: 0x001bf637, REG x12: 0x00000000001bf000
PC: 0x00000000800001d4, INSTR: 0x25b6061b, REG x12: 0x00000000001bf25b
PC: 0x00000000800001d8, INSTR: 0x01061613, REG x12: 0x0000001bf25b0000
PC: 0x00000000800001dc, INSTR: 0xfc360613, REG x12: 0x0000001bf25affc3
PC: 0x00000000800001e0, INSTR: 0x00d61613, REG x12: 0x00037e4b5ff86000
PC: 0x00000000800001e4, INSTR: 0x17960613, REG x12: 0x00037e4b5ff86179
PC: 0x00000000800001e8, INSTR: 0x00d61613, REG x12: 0x6fc96bff0c2f2000
PC: 0x00000000800001ec, INSTR: 0x0fa60613, REG x12: 0x6fc96bff0c2f20fa
PC: 0x00000000800001f0, INSTR: 0xfed046b7, REG x13: 0xfffffffffed04000
PC: 0x00000000800001f4, INSTR: 0xf8d6869b, REG x13: 0xfffffffffed03f8d
PC: 0x00000000800001f8, INSTR: 0x00e69693, REG x13: 0xffffffb40fe34000
PC: 0x00000000800001fc, INSTR: 0x04768693, REG x13: 0xffffffb40fe34047
PC: 0x0000000080000200, INSTR: 0x00c69693, REG x13: 0xfffb40fe34047000
PC: 0x0000000080000204, INSTR: 0x09d68693, REG x13: 0xfffb40fe3404709d
PC: 0x0000000080000208, INSTR: 0x00c69693, REG x13: 0xb40fe3404709d000
PC: 0x000000008000020c, INSTR: 0xa3568693, REG x13: 0xb40fe3404709ca35
PC: 0x0000000080000210, INSTR: 0x20479737, REG x14: 0x0000000020479000
PC: 0x0000000080000214, INSTR: 0x9417071b, REG x14: 0x0000000020478941
PC: 0x0000000080000218, INSTR: 0x01371713, REG x14: 0x0001023c4a080000
PC: 0x000000008000021c, INSTR: 0x58970713, REG x14: 0x0001023c4a080589
PC: 0x0000000080000220, INSTR: 0x00e71713, REG x14: 0x408f128201624000
PC: 0x0000000080000224, INSTR: 0x80070713, REG x14: 0x408f128201623800
