PC: 0x000000008000011c, INSTR: 0x5c930313, REG x6: 0xffffffce6d7915c9
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0xfffce6d7915c9000
PC: 0x0000000080000124, INSTR: 0x1e930313, REG x6: 0xfffce6d7915c91e9
PC: 0x0000000080000128, INSTR: 0x00d31313, REG x6: 0x9cdaf22b923d2000
PC: 0x000000008000012c, INSTR: 0x3cd30313, REG x6: 0x9cdaf22b923d23cd
PC: 0x0000000080000130, INSTR: 0xfa7e93b7, REG x7: 0xfffffffffa7e9000
PC: 0x0000000080000134, INSTR: 0xe413839b, REG x7: 0xfffffffffa7e8e41
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0xffffffa7e8e41000
PC: 0x000000008000013c, INSTR: 0xfad38393, REG x7: 0xffffffa7e8e40fad
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0xfffa7e8e40fad000
PC: 0x0000000080000144, INSTR: 0x3db38393, REG x7: 0xfffa7e8e40fad3db
PC: 0x0000000080000148, INSTR: 0x00c39393, REG x7: 0xa7e8e40fad3db000
PC: 0x000000008000014c, INSTR: 0xc4638393, REG x7: 0xa7e8e40fad3dac46
PC: 0x0000000080000150, INSTR: 0xfed7c437, REG x8: 0xfffffffffed7c000
PC: 0x0000000080000154, INSTR: 0x6754041b, REG x8: 0xfffffffffed7c675
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xffffffed7c675000
PC: 0x000000008000015c, INSTR: 0x5c140413, REG x8: 0xffffffed7c6755c1
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0xfffed7c6755c1000
PC: 0x0000000080000164, INSTR: 0xc3b40413, REG x8: 0xfffed7c6755c0c3b
PC: 0x0000000080000168, INSTR: 0x00e41413, REG x8: 0xb5f19d57030ec000
PC: 0x000000008000016c, INSTR: 0x6ca40413, REG x8: 0xb5f19d57030ec6ca
PC: 0x0000000080000170, INSTR: 0x01ca24b7, REG x9: 0x0000000001ca2000
PC: 0x0000000080000174, INSTR: 0xa774849b, REG x9: 0x0000000001ca1a77
PC: 0x0000000080000178, INSTR: 0x00d49493, REG x9: 0x00000039434ee000
PC: 0x000000008000017c, INSTR: 0x6b548493, REG x9: 0x00000039434ee6b5
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x00039434ee6b5000
PC: 0x0000000080000184, INSTR: 0x0ff48493, REG x9: 0x00039434ee6b50ff
PC: 0x0000000080000188, INSTR: 0x00d49493, REG x9: 0x72869dcd6a1fe000
PC: 0x000000008000018c, INSTR: 0xef148493, REG x9: 0x72869dcd6a1fdef1
PC: 0x0000000080000190, INSTR: 0x00b1f537, REG x10: 0x0000000000b1f000
PC: 0x0000000080000194, INSTR: 0x5175051b, REG x10: 0x0000000000b1f517
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0x0000000b1f517000
PC: 0x000000008000019c, INSTR: 0xeaf50513, REG x10: 0x0000000b1f516eaf
PC: 0x00000000800001a0, INSTR: 0x00c51513, REG x10: 0x0000b1f516eaf000
PC: 0x00000000800001a4, INSTR: 0xd4550513, REG x10: 0x0000b1f516eaed45
PC: 0x00000000800001a8, INSTR: 0x00d51513, REG x10: 0x163ea2dd5da8a000
PC: 0x00000000800001ac, INSTR: 0xd8f50513, REG x10: 0x163ea2dd5da89d8f
PC: 0x00000000800001b0, INSTR: 0x470be5b7, REG x11: 0x00000000470be000
PC: 0x00000000800001b4, INSTR: 0xb4d5859b, REG x11: 0x00000000470bdb4d
PC: 0x00000000800001b8, INSTR: 0x01059593, REG x11: 0x0000470bdb4d0000
PC: 0x00000000800001bc, INSTR: 0x90d58593, REG x11: 0x0000470bdb4cf90d
PC: 0x00000000800001c0, INSTR: 0x00f59593, REG x11: 0x2385eda67c868000
PC: 0x00000000800001c4, INSTR: 0x55458593, REG x11: 0x2385eda67c868554
PC: 0x00000000800001c8, INSTR: 0x032f1637, REG x12: 0x00000000032f1000
PC: 0x00000000800001cc, INSTR: 0x7bf6061b, REG x12: 0x00000000032f17bf
PC: 0x00000000800001d0, INSTR: 0x00d61613, REG x12: 0x00000065e2f7e000
PC: 0x00000000800001d4, INSTR: 0x66360613, REG x12: 0x00000065e2f7e663
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0x00065e2f7e663000
PC: 0x00000000800001dc, INSTR: 0xfad60613, REG x12: 0x00065e2f7e662fad
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0x65e2f7e662fad000
PC: 0x00000000800001e4, INSTR: 0x9e060613, REG x12: 0x65e2f7e662fac9e0
PC: 0x00000000800001e8, INSTR: 0x003416b7, REG x13: 0x0000000000341000
PC: 0x00000000800001ec, INSTR: 0x6b56869b, REG x13: 0x00000000003416b5
PC: 0x00000000800001f0, INSTR: 0x00e69693, REG x13: 0x0000000d05ad4000
PC: 0x00000000800001f4, INSTR: 0x81b68693, REG x13: 0x0000000d05ad381b
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0x0001a0b5a7036000
PC: 0x00000000800001fc, INSTR: 0x29768693, REG x13: 0x0001a0b5a7036297
PC: 0x0000000080000200, INSTR: 0x00c69693, REG x13: 0x1a0b5a7036297000
PC: 0x0000000080000204, INSTR: 0x4c368693, REG x13: 0x1a0b5a70362974c3
PC: 0x0000000080000208, INSTR: 0x03f53737, REG x14: 0x0000000003f53000
PC: 0x000000008000020c, INSTR: 0x99b7071b, REG x14: 0x0000000003f5299b
PC: 0x0000000080000210, INSTR: 0x00c71713, REG x14: 0x0000003f5299b000
PC: 0x0000000080000214, INSTR: 0x5f170713, REG x14: 0x0000003f5299b5f1
PC: 0x0000000080000218, INSTR: 0x00d71713, REG x14: 0x0007ea5336be2000
PC: 0x000000008000021c, INSTR: 0x8b370713, REG x14: 0x0007ea5336be18b3
PC: 0x0000000080000220, INSTR: 0x00c71713, REG x14: 0x7ea5336be18b3000
PC: 0x0000000080000224, INSTR: 0x25a70713, REG x14: 0x7ea5336be18b325a
PC: 0x0000000080000228, INSTR: 0xfff657b7, REG x15: 0xfffffffffff65000
PC: 0x000000008000022c, INSTR: 0x4617879b, REG x15: 0xfffffffffff65461
PC: 0x0000000080000230, INSTR: 0x00f79793, REG x15: 0xfffffffb2a308000
PC: 0x0000000080000234, INSTR: 0x5f378793, REG x15: 0xfffffffb2a3085f3
PC: 0x0000000080000238, INSTR: 0x01079793, REG x15: 0xfffb2a3085f30000
PC: 0x000000008000023c, INSTR: 0x88578793, REG x15: 0xfffb2a3085f2f885
PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0xb2a3085f2f885000
PC: 0x0000000080000244, INSTR: 0x58378793, REG x15: 0xb2a3085f2f885583
PC: 0x0000000080000248, INSTR: 0xffacb837, REG x16: 0xffffffffffacb000
PC: 0x000000008000024c, INSTR: 0xc9d8081b, REG x16: 0xffffffffffacac9d
PC: 0x0000000080000250, INSTR: 0x00e81813, REG x16: 0xffffffeb2b274000
PC: 0x0000000080000254, INSTR: 0xa9b80813, REG x16: 0xffffffeb2b273a9b
PC: 0x0000000080000258, INSTR: 0x00d81813, REG x16: 0xfffd6564e7536000
PC: 0x000000008000025c, INSTR: 0xac580813, REG x16: 0xfffd6564e7535ac5
PC: 0x0000000080000260, INSTR: 0x00d81813, REG x16: 0xacac9cea6b58a000
PC: 0x0000000080000264, INSTR: 0x30380813, REG x16: 0xacac9cea6b58a303
PC: 0x0000000080000268, INSTR: 0xfff318b7, REG x17: 0xfffffffffff31000
PC: 0x000000008000026c, INSTR: 0xa018889b, REG x17: 0xfffffffffff30a01
PC: 0x0000000080000270, INSTR: 0x00f89893, REG x17: 0xfffffff985008000
PC: 0x0000000080000274, INSTR: 0xe9f88893, REG x17: 0xfffffff985007e9f
PC: 0x0000000080000278, INSTR: 0x00e89893, REG x17: 0xfffe61401fa7c000
