PC: 0x00000000800001f4, INSTR: 0x01269693, REG x13: 0x000100dabac40000
PC: 0x00000000800001f8, INSTR: 0xafd68693, REG x13: 0x000100dabac3fafd
PC: 0x00000000800001fc, INSTR: 0x00d69693, REG x13: 0x201b57587f5fa000
PC: 0x0000000080000200, INSTR: 0x2d868693, REG x13: 0x201b57587f5fa2d8
PC: 0x0000000080000204, INSTR: 0xffcea737, REG x14: 0xffffffffffcea000
PC: 0x0000000080000208, INSTR: 0xb737071b, REG x14: 0xffffffffffce9b73
PC: 0x000000008000020c, INSTR: 0x00c71713, REG x14: 0xfffffffce9b73000
PC: 0x0000000080000210, INSTR: 0x2dd70713, REG x14: 0xfffffffce9b732dd
PC: 0x0000000080000214, INSTR: 0x00d71713, REG x14: 0xffff9d36e65ba000
PC: 0x0000000080000218, INSTR: 0x6fb70713, REG x14: 0xffff9d36e65ba6fb
PC: 0x000000008000021c, INSTR: 0x00d71713, REG x14: 0xf3a6dccb74df6000
PC: 0x0000000080000220, INSTR: 0x39b70713, REG x14: 0xf3a6dccb74df639b
PC: 0x0000000080000224, INSTR: 0x004f37b7, REG x15: 0x00000000004f3000
PC: 0x0000000080000228, INSTR: 0x8ed7879b, REG x15: 0x00000000004f28ed
PC: 0x000000008000022c, INSTR: 0x00c79793, REG x15: 0x00000004f28ed000
PC: 0x0000000080000230, INSTR: 0x7f778793, REG x15: 0x00000004f28ed7f7
PC: 0x0000000080000234, INSTR: 0x00d79793, REG x15: 0x00009e51dafee000
PC: 0x0000000080000238, INSTR: 0x30178793, REG x15: 0x00009e51dafee301
PC: 0x000000008000023c, INSTR: 0x00d79793, REG x15: 0x13ca3b5fdc602000
PC: 0x0000000080000240, INSTR: 0x01e78793, REG x15: 0x13ca3b5fdc60201e
PC: 0x0000000080000244, INSTR: 0x00356837, REG x16: 0x0000000000356000
PC: 0x0000000080000248, INSTR: 0x6118081b, REG x16: 0x0000000000356611
PC: 0x000000008000024c, INSTR: 0x00e81813, REG x16: 0x0000000d59844000
PC: 0x0000000080000250, INSTR: 0x29f80813, REG x16: 0x0000000d5984429f
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0x0000d5984429f000
PC: 0x0000000080000258, INSTR: 0xfa780813, REG x16: 0x0000d5984429efa7
PC: 0x000000008000025c, INSTR: 0x00d81813, REG x16: 0x1ab308853df4e000
PC: 0x0000000080000260, INSTR: 0x87180813, REG x16: 0x1ab308853df4d871
PC: 0x0000000080000264, INSTR: 0xfc9c18b7, REG x17: 0xfffffffffc9c1000
PC: 0x0000000080000268, INSTR: 0x0878889b, REG x17: 0xfffffffffc9c1087
PC: 0x000000008000026c, INSTR: 0x01589893, REG x17: 0xffff938210e00000
PC: 0x0000000080000270, INSTR: 0x71b88893, REG x17: 0xffff938210e0071b
PC: 0x0000000080000274, INSTR: 0x00e89893, REG x17: 0xe4e0843801c6c000
PC: 0x0000000080000278, INSTR: 0x56a88893, REG x17: 0xe4e0843801c6c56a
PC: 0x000000008000027c, INSTR: 0x049df937, REG x18: 0x00000000049df000
PC: 0x0000000080000280, INSTR: 0xb2f9091b, REG x18: 0x00000000049deb2f
PC: 0x0000000080000284, INSTR: 0x00c91913, REG x18: 0x00000049deb2f000
PC: 0x0000000080000288, INSTR: 0x9c990913, REG x18: 0x00000049deb2e9c9
PC: 0x000000008000028c, INSTR: 0x00c91913, REG x18: 0x00049deb2e9c9000
PC: 0x0000000080000290, INSTR: 0x68f90913, REG x18: 0x00049deb2e9c968f
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0x49deb2e9c968f000
PC: 0x0000000080000298, INSTR: 0x15f90913, REG x18: 0x49deb2e9c968f15f
