PC: 0x000000008000011c, INSTR: 0x26b30313, REG x6: 0x1f8643dafa56a26b
PC: 0x0000000080000120, INSTR: 0xffc843b7, REG x7: 0xffffffffffc84000
PC: 0x0000000080000124, INSTR: 0x86d3839b, REG x7: 0xffffffffffc8386d
PC: 0x0000000080000128, INSTR: 0x00c39393, REG x7: 0xfffffffc8386d000
PC: 0x000000008000012c, INSTR: 0x53738393, REG x7: 0xfffffffc8386d537
PC: 0x0000000080000130, INSTR: 0x00c39393, REG x7: 0xffffc8386d537000
PC: 0x0000000080000134, INSTR: 0xdab38393, REG x7: 0xffffc8386d536dab
PC: 0x0000000080000138, INSTR: 0x00d39393, REG x7: 0xf9070daa6db56000
PC: 0x000000008000013c, INSTR: 0x67638393, REG x7: 0xf9070daa6db56676
PC: 0x0000000080000140, INSTR: 0xffcfb437, REG x8: 0xffffffffffcfb000
PC: 0x0000000080000144, INSTR: 0xcf94041b, REG x8: 0xffffffffffcfacf9
PC: 0x0000000080000148, INSTR: 0x00d41413, REG x8: 0xfffffff9f59f2000
PC: 0x000000008000014c, INSTR: 0x63f40413, REG x8: 0xfffffff9f59f263f
PC: 0x0000000080000150, INSTR: 0x00c41413, REG x8: 0xffff9f59f263f000
PC: 0x0000000080000154, INSTR: 0x60f40413, REG x8: 0xffff9f59f263f60f
PC: 0x0000000080000158, INSTR: 0x00d41413, REG x8: 0xf3eb3e4c7ec1e000
PC: 0x000000008000015c, INSTR: 0x03f40413, REG x8: 0xf3eb3e4c7ec1e03f
PC: 0x0000000080000160, INSTR: 0x01dd54b7, REG x9: 0x0000000001dd5000
PC: 0x0000000080000164, INSTR: 0xd3d4849b, REG x9: 0x0000000001dd4d3d
PC: 0x0000000080000168, INSTR: 0x00c49493, REG x9: 0x0000001dd4d3d000
PC: 0x000000008000016c, INSTR: 0x5b148493, REG x9: 0x0000001dd4d3d5b1
PC: 0x0000000080000170, INSTR: 0x00d49493, REG x9: 0x0003ba9a7ab62000
PC: 0x0000000080000174, INSTR: 0xf2548493, REG x9: 0x0003ba9a7ab61f25
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0x3ba9a7ab61f25000
PC: 0x000000008000017c, INSTR: 0xf9a48493, REG x9: 0x3ba9a7ab61f24f9a
PC: 0x0000000080000180, INSTR: 0x025a8537, REG x10: 0x00000000025a8000
PC: 0x0000000080000184, INSTR: 0xc9b5051b, REG x10: 0x00000000025a7c9b
PC: 0x0000000080000188, INSTR: 0x00c51513, REG x10: 0x00000025a7c9b000
PC: 0x000000008000018c, INSTR: 0xb9b50513, REG x10: 0x00000025a7c9ab9b
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0x00025a7c9ab9b000
PC: 0x0000000080000194, INSTR: 0xde150513, REG x10: 0x00025a7c9ab9ade1
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0x25a7c9ab9ade1000
PC: 0x000000008000019c, INSTR: 0x15550513, REG x10: 0x25a7c9ab9ade1155
PC: 0x00000000800001a0, INSTR: 0x001195b7, REG x11: 0x0000000000119000
PC: 0x00000000800001a4, INSTR: 0xb555859b, REG x11: 0x0000000000118b55
PC: 0x00000000800001a8, INSTR: 0x00d59593, REG x11: 0x00000002316aa000
PC: 0x00000000800001ac, INSTR: 0x0e958593, REG x11: 0x00000002316aa0e9
PC: 0x00000000800001b0, INSTR: 0x00e59593, REG x11: 0x00008c5aa83a4000
PC: 0x00000000800001b4, INSTR: 0xae358593, REG x11: 0x00008c5aa83a3ae3
PC: 0x00000000800001b8, INSTR: 0x00f59593, REG x11: 0x462d541d1d718000
PC: 0x00000000800001bc, INSTR: 0x0e458593, REG x11: 0x462d541d1d7180e4
PC: 0x00000000800001c0, INSTR: 0xb71d3637, REG x12: 0xffffffffb71d3000
PC: 0x00000000800001c4, INSTR: 0xa6d6061b, REG x12: 0xffffffffb71d2a6d
PC: 0x00000000800001c8, INSTR: 0x00f61613, REG x12: 0xffffdb8e95368000
PC: 0x00000000800001cc, INSTR: 0x89f60613, REG x12: 0xffffdb8e9536789f
PC: 0x00000000800001d0, INSTR: 0x00f61613, REG x12: 0xedc74a9b3c4f8000
PC: 0x00000000800001d4, INSTR: 0x6f760613, REG x12: 0xedc74a9b3c4f86f7
PC: 0x00000000800001d8, INSTR: 0x00165613, REG x12: 0x76e3a54d9e27c37b
PC: 0x00000000800001dc, INSTR: 0x0068d6b7, REG x13: 0x000000000068d000
PC: 0x00000000800001e0, INSTR: 0xc5f6869b, REG x13: 0x000000000068cc5f
PC: 0x00000000800001e4, INSTR: 0x00d69693, REG x13: 0x0000000d198be000
PC: 0x00000000800001e8, INSTR: 0x15f68693, REG x13: 0x0000000d198be15f
PC: 0x00000000800001ec, INSTR: 0x00f69693, REG x13: 0x00068cc5f0af8000
PC: 0x00000000800001f0, INSTR: 0x7c168693, REG x13: 0x00068cc5f0af87c1
PC: 0x00000000800001f4, INSTR: 0x00c69693, REG x13: 0x68cc5f0af87c1000
PC: 0x00000000800001f8, INSTR: 0x12768693, REG x13: 0x68cc5f0af87c1127
PC: 0x00000000800001fc, INSTR: 0xff5a8737, REG x14: 0xffffffffff5a8000
PC: 0x0000000080000200, INSTR: 0xf617071b, REG x14: 0xffffffffff5a7f61
PC: 0x0000000080000204, INSTR: 0x00c71713, REG x14: 0xfffffff5a7f61000
PC: 0x0000000080000208, INSTR: 0x03d70713, REG x14: 0xfffffff5a7f6103d
