PC: 0x0000000080000110, INSTR: 0x7a13031b, REG x6: 0x0000000000f5b7a1
PC: 0x0000000080000114, INSTR: 0x00d31313, REG x6: 0x0000001eb6f42000
PC: 0x0000000080000118, INSTR: 0x19130313, REG x6: 0x0000001eb6f42191
PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0x0001eb6f42191000
PC: 0x0000000080000120, INSTR: 0xc6930313, REG x6: 0x0001eb6f42190c69
PC: 0x0000000080000124, INSTR: 0x00e31313, REG x6: 0x7adbd086431a4000
PC: 0x0000000080000128, INSTR: 0x19e30313, REG x6: 0x7adbd086431a419e
PC: 0x000000008000012c, INSTR: 0xa7a813b7, REG x7: 0xffffffffa7a81000
PC: 0x0000000080000130, INSTR: 0x7873839b, REG x7: 0xffffffffa7a81787
PC: 0x0000000080000134, INSTR: 0x00e39393, REG x7: 0xffffe9ea05e1c000
PC: 0x0000000080000138, INSTR: 0xceb38393, REG x7: 0xffffe9ea05e1bceb
PC: 0x000000008000013c, INSTR: 0x00f39393, REG x7: 0xf4f502f0de758000
PC: 0x0000000080000140, INSTR: 0xb0838393, REG x7: 0xf4f502f0de757b08
PC: 0x0000000080000144, INSTR: 0xfa5b2437, REG x8: 0xfffffffffa5b2000
PC: 0x0000000080000148, INSTR: 0x5ab4041b, REG x8: 0xfffffffffa5b25ab
PC: 0x000000008000014c, INSTR: 0x00c41413, REG x8: 0xffffffa5b25ab000
PC: 0x0000000080000150, INSTR: 0x6f740413, REG x8: 0xffffffa5b25ab6f7
PC: 0x0000000080000154, INSTR: 0x00c41413, REG x8: 0xfffa5b25ab6f7000
PC: 0x0000000080000158, INSTR: 0xa2340413, REG x8: 0xfffa5b25ab6f6a23
PC: 0x000000008000015c, INSTR: 0x00c41413, REG x8: 0xa5b25ab6f6a23000
PC: 0x0000000080000160, INSTR: 0xe0d40413, REG x8: 0xa5b25ab6f6a22e0d
PC: 0x0000000080000164, INSTR: 0x005e64b7, REG x9: 0x00000000005e6000
PC: 0x0000000080000168, INSTR: 0x7674849b, REG x9: 0x00000000005e6767
PC: 0x000000008000016c, INSTR: 0x00c49493, REG x9: 0x00000005e6767000
PC: 0x0000000080000170, INSTR: 0xb9f48493, REG x9: 0x00000005e6766b9f
PC: 0x0000000080000174, INSTR: 0x00f49493, REG x9: 0x0002f33b35cf8000
PC: 0x0000000080000178, INSTR: 0xb0d48493, REG x9: 0x0002f33b35cf7b0d
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0x5e6766b9ef61a000
PC: 0x0000000080000180, INSTR: 0x6fe48493, REG x9: 0x5e6766b9ef61a6fe
PC: 0x0000000080000184, INSTR: 0xffe3c537, REG x10: 0xffffffffffe3c000
PC: 0x0000000080000188, INSTR: 0x4435051b, REG x10: 0xffffffffffe3c443
PC: 0x000000008000018c, INSTR: 0x00c51513, REG x10: 0xfffffffe3c443000
PC: 0x0000000080000190, INSTR: 0x10d50513, REG x10: 0xfffffffe3c44310d
PC: 0x0000000080000194, INSTR: 0x00e51513, REG x10: 0xffff8f110c434000
PC: 0x0000000080000198, INSTR: 0xad150513, REG x10: 0xffff8f110c433ad1
PC: 0x000000008000019c, INSTR: 0x00f51513, REG x10: 0xc78886219d688000
PC: 0x00000000800001a0, INSTR: 0x4bd50513, REG x10: 0xc78886219d6884bd
PC: 0x00000000800001a4, INSTR: 0xffe365b7, REG x11: 0xffffffffffe36000
PC: 0x00000000800001a8, INSTR: 0xcf75859b, REG x11: 0xffffffffffe35cf7
PC: 0x00000000800001ac, INSTR: 0x00c59593, REG x11: 0xfffffffe35cf7000
PC: 0x00000000800001b0, INSTR: 0x81358593, REG x11: 0xfffffffe35cf6813
PC: 0x00000000800001b4, INSTR: 0x00d59593, REG x11: 0xffffc6b9ed026000
PC: 0x00000000800001b8, INSTR: 0xaf558593, REG x11: 0xffffc6b9ed025af5
PC: 0x00000000800001bc, INSTR: 0x00d59593, REG x11: 0xf8d73da04b5ea000
PC: 0x00000000800001c0, INSTR: 0x06d58593, REG x11: 0xf8d73da04b5ea06d
PC: 0x00000000800001c4, INSTR: 0xff305637, REG x12: 0xffffffffff305000
PC: 0x00000000800001c8, INSTR: 0xe1f6061b, REG x12: 0xffffffffff304e1f
PC: 0x00000000800001cc, INSTR: 0x00d61613, REG x12: 0xffffffe609c3e000
PC: 0x00000000800001d0, INSTR: 0x98360613, REG x12: 0xffffffe609c3d983
PC: 0x00000000800001d4, INSTR: 0x00c61613, REG x12: 0xfffe609c3d983000
PC: 0x00000000800001d8, INSTR: 0x67d60613, REG x12: 0xfffe609c3d98367d
PC: 0x00000000800001dc, INSTR: 0x00c61613, REG x12: 0xe609c3d98367d000
PC: 0x00000000800001e0, INSTR: 0xcd360613, REG x12: 0xe609c3d98367ccd3
PC: 0x00000000800001e4, INSTR: 0x90a986b7, REG x13: 0xffffffff90a98000
PC: 0x00000000800001e8, INSTR: 0xddf6869b, REG x13: 0xffffffff90a97ddf
