PC: 0x000000008000011c, INSTR: 0x68730313, REG x6: 0x000000527a0e5687
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x000527a0e5687000
PC: 0x0000000080000124, INSTR: 0x23f30313, REG x6: 0x000527a0e568723f
PC: 0x0000000080000128, INSTR: 0x00c31313, REG x6: 0x527a0e568723f000
PC: 0x000000008000012c, INSTR: 0xf3c30313, REG x6: 0x527a0e568723ef3c
PC: 0x0000000080000130, INSTR: 0xffdf13b7, REG x7: 0xffffffffffdf1000
PC: 0x0000000080000134, INSTR: 0x90f3839b, REG x7: 0xffffffffffdf090f
PC: 0x0000000080000138, INSTR: 0x00f39393, REG x7: 0xffffffef84878000
PC: 0x000000008000013c, INSTR: 0xffb38393, REG x7: 0xffffffef84877ffb
PC: 0x0000000080000140, INSTR: 0x00e39393, REG x7: 0xfffbe121dffec000
PC: 0x0000000080000144, INSTR: 0x86938393, REG x7: 0xfffbe121dffeb869
PC: 0x0000000080000148, INSTR: 0x00c39393, REG x7: 0xbe121dffeb869000
PC: 0x000000008000014c, INSTR: 0xea938393, REG x7: 0xbe121dffeb868ea9
PC: 0x0000000080000150, INSTR: 0xffce4437, REG x8: 0xffffffffffce4000
PC: 0x0000000080000154, INSTR: 0x2794041b, REG x8: 0xffffffffffce4279
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xfffffffce4279000
PC: 0x000000008000015c, INSTR: 0x7d340413, REG x8: 0xfffffffce42797d3
PC: 0x0000000080000160, INSTR: 0x00e41413, REG x8: 0xffff3909e5f4c000
PC: 0x0000000080000164, INSTR: 0x7f940413, REG x8: 0xffff3909e5f4c7f9
PC: 0x0000000080000168, INSTR: 0x00d41413, REG x8: 0xe7213cbe98ff2000
PC: 0x000000008000016c, INSTR: 0x52c40413, REG x8: 0xe7213cbe98ff252c
PC: 0x0000000080000170, INSTR: 0x002614b7, REG x9: 0x0000000000261000
PC: 0x0000000080000174, INSTR: 0x6354849b, REG x9: 0x0000000000261635
PC: 0x0000000080000178, INSTR: 0x00e49493, REG x9: 0x00000009858d4000
PC: 0x000000008000017c, INSTR: 0xeb748493, REG x9: 0x00000009858d3eb7
PC: 0x0000000080000180, INSTR: 0x00e49493, REG x9: 0x000261634fadc000
PC: 0x0000000080000184, INSTR: 0xac748493, REG x9: 0x000261634fadbac7
PC: 0x0000000080000188, INSTR: 0x00d49493, REG x9: 0x4c2c69f5b758e000
PC: 0x000000008000018c, INSTR: 0x21d48493, REG x9: 0x4c2c69f5b758e21d
PC: 0x0000000080000190, INSTR: 0xffafc537, REG x10: 0xffffffffffafc000
PC: 0x0000000080000194, INSTR: 0x8cf5051b, REG x10: 0xffffffffffafb8cf
PC: 0x0000000080000198, INSTR: 0x00d51513, REG x10: 0xfffffff5f719e000
PC: 0x000000008000019c, INSTR: 0x9d950513, REG x10: 0xfffffff5f719d9d9
PC: 0x00000000800001a0, INSTR: 0x00e51513, REG x10: 0xfffd7dc676764000
PC: 0x00000000800001a4, INSTR: 0x8cd50513, REG x10: 0xfffd7dc6767638cd
PC: 0x00000000800001a8, INSTR: 0x00c51513, REG x10: 0xd7dc6767638cd000
PC: 0x00000000800001ac, INSTR: 0x6d150513, REG x10: 0xd7dc6767638cd6d1
PC: 0x00000000800001b0, INSTR: 0x00e115b7, REG x11: 0x0000000000e11000
PC: 0x00000000800001b4, INSTR: 0x1ab5859b, REG x11: 0x0000000000e111ab
