PC: 0x00000000800001f4, INSTR: 0x00e69693, REG x13: 0xffffff819fe2c000
PC: 0x00000000800001f8, INSTR: 0xd9f68693, REG x13: 0xffffff819fe2bd9f
PC: 0x00000000800001fc, INSTR: 0x00c69693, REG x13: 0xfff819fe2bd9f000
PC: 0x0000000080000200, INSTR: 0x13f68693, REG x13: 0xfff819fe2bd9f13f
PC: 0x0000000080000204, INSTR: 0x00c69693, REG x13: 0x819fe2bd9f13f000
PC: 0x0000000080000208, INSTR: 0x85668693, REG x13: 0x819fe2bd9f13e856
PC: 0x000000008000020c, INSTR: 0x01a79737, REG x14: 0x0000000001a79000
PC: 0x0000000080000210, INSTR: 0xf4d7071b, REG x14: 0x0000000001a78f4d
PC: 0x0000000080000214, INSTR: 0x00d71713, REG x14: 0x00000034f1e9a000
PC: 0x0000000080000218, INSTR: 0x46170713, REG x14: 0x00000034f1e9a461
PC: 0x000000008000021c, INSTR: 0x00c71713, REG x14: 0x00034f1e9a461000
PC: 0x0000000080000220, INSTR: 0xe5570713, REG x14: 0x00034f1e9a460e55
PC: 0x0000000080000224, INSTR: 0x00d71713, REG x14: 0x69e3d348c1caa000
PC: 0x0000000080000228, INSTR: 0xa6770713, REG x14: 0x69e3d348c1ca9a67
PC: 0x000000008000022c, INSTR: 0xad1337b7, REG x15: 0xffffffffad133000
PC: 0x0000000080000230, INSTR: 0x4497879b, REG x15: 0xffffffffad133449
PC: 0x0000000080000234, INSTR: 0x00f79793, REG x15: 0xffffd6899a248000
PC: 0x0000000080000238, INSTR: 0x6b578793, REG x15: 0xffffd6899a2486b5
PC: 0x000000008000023c, INSTR: 0x01079793, REG x15: 0xd6899a2486b50000
PC: 0x0000000080000240, INSTR: 0x42978793, REG x15: 0xd6899a2486b50429
PC: 0x0000000080000244, INSTR: 0x0017d793, REG x15: 0x6b44cd12435a8214
PC: 0x0000000080000248, INSTR: 0x9ffd1837, REG x16: 0xffffffff9ffd1000
PC: 0x000000008000024c, INSTR: 0x00581813, REG x16: 0xfffffff3ffa20000
PC: 0x0000000080000250, INSTR: 0x01380813, REG x16: 0xfffffff3ffa20013
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0xffff3ffa20013000
PC: 0x0000000080000258, INSTR: 0x75f80813, REG x16: 0xffff3ffa2001375f
PC: 0x000000008000025c, INSTR: 0x00e81813, REG x16: 0xcffe88004dd7c000
PC: 0x0000000080000260, INSTR: 0x50780813, REG x16: 0xcffe88004dd7c507
PC: 0x0000000080000264, INSTR: 0x004558b7, REG x17: 0x0000000000455000
PC: 0x0000000080000268, INSTR: 0x5fd8889b, REG x17: 0x00000000004555fd
PC: 0x000000008000026c, INSTR: 0x00e89893, REG x17: 0x00000011557f4000
PC: 0x0000000080000270, INSTR: 0x48788893, REG x17: 0x00000011557f4487
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0x00022aafe890e000
PC: 0x0000000080000278, INSTR: 0x75188893, REG x17: 0x00022aafe890e751
PC: 0x000000008000027c, INSTR: 0x00c89893, REG x17: 0x22aafe890e751000
PC: 0x0000000080000280, INSTR: 0x44e88893, REG x17: 0x22aafe890e75144e
PC: 0x0000000080000284, INSTR: 0xff90e937, REG x18: 0xffffffffff90e000
