PC: 0x000000008000011c, INSTR: 0xd5930313, REG x6: 0xfffffff8c94bdd59
PC: 0x0000000080000120, INSTR: 0x00d31313, REG x6: 0xffff19297bab2000
PC: 0x0000000080000124, INSTR: 0x93b30313, REG x6: 0xffff19297bab193b
PC: 0x0000000080000128, INSTR: 0x00e31313, REG x6: 0xc64a5eeac64ec000
PC: 0x000000008000012c, INSTR: 0xd3b30313, REG x6: 0xc64a5eeac64ebd3b
PC: 0x0000000080000130, INSTR: 0x00bbc3b7, REG x7: 0x0000000000bbc000
PC: 0x0000000080000134, INSTR: 0x4833839b, REG x7: 0x0000000000bbc483
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0x0000000bbc483000
PC: 0x000000008000013c, INSTR: 0x9ad38393, REG x7: 0x0000000bbc4829ad
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x0000bbc4829ad000
PC: 0x0000000080000144, INSTR: 0x47f38393, REG x7: 0x0000bbc4829ad47f
PC: 0x0000000080000148, INSTR: 0x00d39393, REG x7: 0x177890535a8fe000
PC: 0x000000008000014c, INSTR: 0x86438393, REG x7: 0x177890535a8fd864
PC: 0x0000000080000150, INSTR: 0xfde40437, REG x8: 0xfffffffffde40000
PC: 0x0000000080000154, INSTR: 0xd894041b, REG x8: 0xfffffffffde3fd89
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xffffffde3fd89000
PC: 0x000000008000015c, INSTR: 0xae740413, REG x8: 0xffffffde3fd88ae7
PC: 0x0000000080000160, INSTR: 0x00d41413, REG x8: 0xfffbc7fb115ce000
PC: 0x0000000080000164, INSTR: 0xe9940413, REG x8: 0xfffbc7fb115cde99
PC: 0x0000000080000168, INSTR: 0x00c41413, REG x8: 0xbc7fb115cde99000
PC: 0x000000008000016c, INSTR: 0x5e740413, REG x8: 0xbc7fb115cde995e7
PC: 0x0000000080000170, INSTR: 0x021dc4b7, REG x9: 0x00000000021dc000
PC: 0x0000000080000174, INSTR: 0x8b14849b, REG x9: 0x00000000021db8b1
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0x00000021db8b1000
PC: 0x000000008000017c, INSTR: 0x0fd48493, REG x9: 0x00000021db8b10fd
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x00021db8b10fd000
PC: 0x0000000080000184, INSTR: 0x4ad48493, REG x9: 0x00021db8b10fd4ad
PC: 0x0000000080000188, INSTR: 0x00c49493, REG x9: 0x21db8b10fd4ad000
PC: 0x000000008000018c, INSTR: 0x5ce48493, REG x9: 0x21db8b10fd4ad5ce
PC: 0x0000000080000190, INSTR: 0xf85b3537, REG x10: 0xfffffffff85b3000
PC: 0x0000000080000194, INSTR: 0x3435051b, REG x10: 0xfffffffff85b3343
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xffffff85b3343000
PC: 0x000000008000019c, INSTR: 0xb8750513, REG x10: 0xffffff85b3342b87
PC: 0x00000000800001a0, INSTR: 0x00c51513, REG x10: 0xfff85b3342b87000
PC: 0x00000000800001a4, INSTR: 0x05d50513, REG x10: 0xfff85b3342b8705d
PC: 0x00000000800001a8, INSTR: 0x00c51513, REG x10: 0x85b3342b8705d000
PC: 0x00000000800001ac, INSTR: 0x04f50513, REG x10: 0x85b3342b8705d04f
PC: 0x00000000800001b0, INSTR: 0xfe2345b7, REG x11: 0xfffffffffe234000
PC: 0x00000000800001b4, INSTR: 0xb615859b, REG x11: 0xfffffffffe233b61
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0xffffffe233b61000
PC: 0x00000000800001bc, INSTR: 0x99558593, REG x11: 0xffffffe233b60995
PC: 0x00000000800001c0, INSTR: 0x00c59593, REG x11: 0xfffe233b60995000
PC: 0x00000000800001c4, INSTR: 0x0b158593, REG x11: 0xfffe233b609950b1
PC: 0x00000000800001c8, INSTR: 0x00d59593, REG x11: 0xc4676c132a162000
PC: 0x00000000800001cc, INSTR: 0x78a58593, REG x11: 0xc4676c132a16278a
PC: 0x00000000800001d0, INSTR: 0xfc1db637, REG x12: 0xfffffffffc1db000
PC: 0x00000000800001d4, INSTR: 0x4276061b, REG x12: 0xfffffffffc1db427
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0xffffffc1db427000
PC: 0x00000000800001dc, INSTR: 0xba360613, REG x12: 0xffffffc1db426ba3
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0xfffc1db426ba3000
PC: 0x00000000800001e4, INSTR: 0xd3360613, REG x12: 0xfffc1db426ba2d33
PC: 0x00000000800001e8, INSTR: 0x00d61613, REG x12: 0x83b684d745a66000
PC: 0x00000000800001ec, INSTR: 0x66060613, REG x12: 0x83b684d745a66660
PC: 0x00000000800001f0, INSTR: 0xffc986b7, REG x13: 0xffffffffffc98000
PC: 0x00000000800001f4, INSTR: 0xcc36869b, REG x13: 0xffffffffffc97cc3
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0xfffffff92f986000
PC: 0x00000000800001fc, INSTR: 0x7f368693, REG x13: 0xfffffff92f9867f3
PC: 0x0000000080000200, INSTR: 0x00e69693, REG x13: 0xfffe4be619fcc000
PC: 0x0000000080000204, INSTR: 0xe3d68693, REG x13: 0xfffe4be619fcbe3d
PC: 0x0000000080000208, INSTR: 0x00c69693, REG x13: 0xe4be619fcbe3d000
PC: 0x000000008000020c, INSTR: 0x9c768693, REG x13: 0xe4be619fcbe3c9c7
PC: 0x0000000080000210, INSTR: 0x00450737, REG x14: 0x0000000000450000
PC: 0x0000000080000214, INSTR: 0x2a97071b, REG x14: 0x00000000004502a9
PC: 0x0000000080000218, INSTR: 0x00d71713, REG x14: 0x00000008a0552000
PC: 0x000000008000021c, INSTR: 0x45770713, REG x14: 0x00000008a0552457
PC: 0x0000000080000220, INSTR: 0x00e71713, REG x14: 0x000228154915c000
PC: 0x0000000080000224, INSTR: 0xcdf70713, REG x14: 0x000228154915bcdf
